variable,rhat,ess_bulk,ess_tail
log_phi,1.0091805830772267,256.66912615832405,204.18231034272694
phi,1.0044585506869426,256.66912615832405,204.18231034272694
eta[1],1.0070635497391123,361.0961998882317,217.62640366188117
weight[1],1.0045429855608903,406.7060234043104,207.27392544785627
lambda[1],1.0041512609559202,420.74114101240684,210.39718180758877
attack_prob[1],1.0041512609559202,420.74114101240684,210.39718180758877
X[1],1.0041512609559202,420.74114101240684,210.39718180758877
S_start[2],1.0041512609559202,420.74114101240684,210.39718180758877
S_end[1],1.0041512609559202,420.74114101240684,210.39718180758877
U_start[2],1.0041512609559202,420.74114101240684,210.39718180758877
U_end[1],1.0041512609559202,420.74114101240684,210.39718180758877
S_end_prop[1],1.0041512609559202,420.74114101240684,210.39718180758877
log_sigma_year,1.0062370898052342,437.50128633635285,288.05884300254553
sigma_year,1.0062370898052342,437.50128633635285,288.05884300254553
expected_cases[1],1.0042848545267908,439.97043294278257,203.84727777787376
eta[3],1.0037179303531547,443.89790454128365,295.02597684194495
log_mean_weight,1.003442673826606,467.90220042421817,422.114140731122
eta[8],1.0028521861205018,472.82877847436123,294.91815947592227
z_year[1],1.0034303229684438,480.29328416197245,308.3326346785259
eta[2],1.0037518161414392,514.0042530640854,341.3265206130286
lambda[3],1.004318193518672,566.2851900551033,326.0442452976478
attack_prob[3],1.004318193518672,566.2851900551033,326.0442452976478
X[3],1.0042227701782058,572.8115892909591,331.76741602964387
S_start[4],1.0048521261320855,576.6152218424237,345.5999645336591
S_end[3],1.0048521261320855,576.6152218424237,345.5999645336591
S_end_prop[3],1.0048521261320855,576.6152218424237,345.5999645336591
U_start[4],1.0048521261320855,576.6152218424238,345.5999645336591
U_end[3],1.0048521261320855,576.6152218424238,345.5999645336591
expected_cases[3],1.0032060152881184,591.8664658920595,308.79631869383036
weight[11],1.0020238636529326,593.6327971917453,266.70561373531626
