variable,rhat,ess_bulk,ess_tail
log_phi,1.0091805830772267,256.66912615832405,204.18231034272694
eta[1],1.0070635497391123,361.0961998882317,217.62640366188117
log_sigma_year,1.0062370898052342,437.50128633635285,288.05884300254553
sigma_year,1.0062370898052342,437.50128633635285,288.05884300254553
weight[5],1.005627638461649,677.5117516014111,320.44404596492285
S_start[9],1.0051106247584256,704.4520303272258,776.6710191967699
S_end[8],1.0051106247584256,704.4520303272258,776.6710191967699
U_start[9],1.0051106247584256,704.4520303272267,776.6710191967699
U_end[8],1.0051106247584256,704.4520303272267,776.6710191967699
S_end_prop[8],1.0051106247584256,704.4520303272258,776.6710191967699
z_year[2],1.0049692656884148,732.055099607922,660.3784729443473
X[5],1.0049173083963738,694.9096146939238,322.1914190338263
S_start[4],1.0048521261320855,576.6152218424237,345.5999645336591
S_end[3],1.0048521261320855,576.6152218424237,345.5999645336591
U_start[4],1.0048521261320855,576.6152218424238,345.5999645336591
U_end[3],1.0048521261320855,576.6152218424238,345.5999645336591
S_end_prop[3],1.0048521261320855,576.6152218424237,345.5999645336591
S_start[10],1.0047997583280273,822.8054698463419,1302.6359886460218
S_end[9],1.0047997583280273,822.8054698463419,1302.6359886460218
U_start[10],1.0047997583280273,822.805469846342,1302.6359886460218
U_end[9],1.0047997583280273,822.805469846342,1302.6359886460218
S_end_prop[9],1.0047997583280273,822.8054698463419,1302.6359886460218
z_year[11],1.0047018469420694,966.25262750393,1257.5621579100068
lambda[5],1.0045949282965034,699.0742193214523,331.12882524720766
attack_prob[5],1.0045949282965034,699.0742193214523,331.12882524720766
weight[1],1.0045429855608903,406.7060234043104,207.27392544785627
S_start[11],1.0044751698775296,1000.2279062926722,1887.1804687536087
S_end[10],1.0044751698775296,1000.2279062926722,1887.1804687536087
U_start[11],1.0044751698775296,1000.2279062926724,1887.180468753609
U_end[10],1.0044751698775296,1000.2279062926724,1887.180468753609
