variable,rhat,ess_bulk,ess_tail
lambda[3],1.0059671138506678,681.8514665247541,2368.693750976297
attack_prob[3],1.0059671138506678,681.8514665247541,2368.693750976297
X[3],1.005951794894964,682.8642657685397,2352.18966389993
case_shape[3],1.0057423195757536,687.7817156235402,2867.9574272840186
weight[3],1.0057320338862556,692.7420603599259,2820.1652840320676
eta[3],1.0055709050244535,726.1006959310738,1785.090907616561
case_shape[6],1.0055185191004676,1047.6865909595917,2300.559873807828
weight[6],1.0054882864995378,1056.1850502421341,2364.268428198916
log_kappa,1.0053552144439133,724.5463793691691,1607.8170877672576
kappa,1.0053552144439133,724.5463793691691,1607.8170877672576
X[5],1.005106318491324,1041.6395077445848,1987.0475069977863
lambda[5],1.0049527422113307,1070.2955419280238,1948.1209013253106
attack_prob[5],1.0049527422113307,1070.2955419280238,1948.1209013253106
X[6],1.004809073528684,1169.3998609077062,2328.8762839164906
S_start[4],1.0046990825116235,858.147106477448,2124.579632767483
S_end[3],1.0046990825116235,858.147106477448,2124.579632767483
U_start[4],1.0046990825116235,858.1471064774465,2124.579632767483
U_end[3],1.0046990825116235,858.1471064774465,2124.579632767483
S_end_prop[3],1.0046990825116235,858.147106477448,2124.579632767483
lambda[6],1.0046706428895962,1191.6369310222758,2265.5798038043317
attack_prob[6],1.0046706428895962,1191.6369310222758,2265.5798038043317
weight[1],1.0046689021459034,719.697692610465,1892.4711117546829
X[10],1.0046142703120167,1021.453514090389,2231.377789602013
case_shape[5],1.004607166815442,950.2760669952568,2016.3572903763727
case_shape[1],1.0045907110403955,726.8219741390022,1940.128741434745
lambda[10],1.00453823212379,1042.0331749653535,2283.9040895743515
attack_prob[10],1.00453823212379,1042.0331749653535,2283.9040895743515
weight[5],1.0045091753341229,960.69543289926,2016.9591041114543
weight[10],1.0044935766343794,887.3491118715986,2305.2512656913063
case_shape[10],1.004470629076079,883.760326188567,2362.824099124558
