variable,rhat,ess_bulk,ess_tail
log_sigma_year,1.0082778173144562,594.4491300616177,1272.2703751651536
sigma_year,1.0082778173144562,594.4491300616177,1272.2703751651536
case_shape[1],1.0077001862011878,707.7373751185563,2582.162362381481
weight[1],1.0075402321849933,708.939237294061,2533.123449281622
lambda[1],1.007387428727765,748.1055353432567,2320.355190127081
attack_prob[1],1.007387428727765,748.1055353432567,2320.355190127081
X[1],1.007387428727765,748.1055353432567,2320.355190127081
S_start[2],1.007387428727765,748.1055353432569,2320.355190127081
S_end[1],1.007387428727765,748.1055353432569,2320.355190127081
U_start[2],1.007387428727765,748.1055353432567,2320.355190127081
U_end[1],1.007387428727765,748.1055353432567,2320.355190127081
S_end_prop[1],1.007387428727765,748.1055353432569,2320.355190127081
max_annual_multiplier,1.007046244914105,648.5578626280486,1257.734002555919
weight[6],1.0063400295818399,815.9704547560488,1845.642642232186
case_shape[6],1.006337584035003,809.7304466622537,1837.2598608024227
X[6],1.0061211267640913,864.0172442436234,2103.810740484456
lambda[6],1.0060846020677547,884.8934222485374,2046.7526526971164
attack_prob[6],1.0060846020677547,884.8934222485374,2046.7526526971164
X[3],1.005914899217149,769.6958487939685,2140.2537784075425
lambda[3],1.0058725102988508,772.2906743718943,2115.914351080181
attack_prob[3],1.0058725102988508,772.2906743718943,2115.914351080181
eta[3],1.0057987703678002,698.1048923865983,1992.0773966362144
eta[8],1.0056833603737056,913.0879527712337,2188.6488328204764
eta[1],1.0054720932270875,947.3615103547503,1880.9058912523608
case_shape[3],1.0053004107322512,726.7262840485009,2494.4590568444078
weight[3],1.0052921509317947,723.9392659981652,2546.915140153613
log_mean_weight,1.004966438584613,969.6565779578685,1921.353413326723
weight[7],1.0045137260852284,888.5548941536678,2285.6016223524703
case_shape[7],1.004479526929665,886.4382131056522,2229.231960031003
log_kappa,1.0044029963797414,649.9300794391061,1673.4525646613415
