variable,rhat,ess_bulk,ess_tail
max_annual_multiplier,1.003136985632546,933.0836211364787,1428.5365365926873
log_sigma_year,1.0028811729198408,996.0751060013115,1450.6845558429973
sigma_year,1.0045277336293559,996.0751060013115,1450.6845558429973
log_kappa,1.003934585650179,1095.9653445599401,823.2139983520898
kappa,1.0038464487360999,1095.9653445599401,823.2139983520898
eta[3],1.0034810263101366,1127.5566723252446,1134.233027629798
weight[1],1.003368022733221,1177.0130679588478,1380.3428499915626
case_shape[1],1.0035051137025135,1179.7367446976866,1407.1113452873433
weight[3],1.0025232864239715,1183.3643999136468,1347.5249503554326
case_shape[3],1.0024829339197912,1184.307663261491,1342.6249806344206
X[3],1.0011925517807676,1191.7931896872733,1477.6753003108852
lambda[3],1.0013116200649805,1192.2407422259241,1492.66169332876
attack_prob[3],1.001313855292006,1192.2407422259241,1492.66169332876
lambda[1],1.0036578870803088,1231.2392416781106,1168.6378240283302
attack_prob[1],1.0036807905750607,1231.2392416781106,1168.6378240283302
X[1],1.003677799541342,1231.2392416781106,1168.6378240283302
S_start[2],1.003677799541342,1231.2392416781106,1168.6378240283302
S_end[1],1.003677799541342,1231.2392416781106,1168.6378240283302
U_start[2],1.0036807905750607,1231.2392416781106,1168.6378240283302
U_end[1],1.0036807905750607,1231.2392416781106,1168.6378240283302
S_end_prop[1],1.003677799541342,1231.2392416781106,1168.6378240283302
S_start[4],1.0020135209216665,1373.8033909495796,1435.7285945004528
S_end[3],1.0020135209216665,1373.8033909495796,1435.7285945004528
S_end_prop[3],1.0020135209216665,1373.8033909495796,1435.7285945004528
U_start[4],1.0020135209216665,1373.80339094958,1435.7285945004528
U_end[3],1.0020135209216665,1373.80339094958,1435.7285945004528
eta[8],1.0021117806312303,1434.4772062740744,1359.1114005665704
case_shape[5],1.0011993181148822,1487.1255771923204,1682.7184790151973
log_mean_weight,1.003215816021481,1499.855096749472,1080.1030590143978
weight[5],1.0011921361062057,1504.2970371104127,1675.149551067752
