variable,rhat,ess_bulk,ess_tail
eta[3],1.008542089089787,643.3150422035251,1992.6691042321713
log_sigma_year,1.0084969038157672,519.1170942580525,1577.8184396558968
sigma_year,1.0084969038157672,519.1170942580525,1577.8184396558968
log_mean_weight,1.0081444880217072,879.1816020442262,1707.9819845468792
max_annual_multiplier,1.0079032378262018,590.0951204680058,1642.7110693432123
kappa,1.007060210379255,592.3003335797583,1505.699439874055
weight[1],1.006907886163387,617.44643459536,1866.3045515810486
case_shape[1],1.0068444537136343,616.6310865266985,1955.2611737768782
log_kappa,1.006776320083283,592.3003335797583,1505.699439874055
case_shape[7],1.006592963273789,758.996524031424,2297.1439678943725
weight[7],1.00655089338929,760.0806621654077,2287.3326910701603
X[7],1.006535103961282,748.8615656136556,2203.207859108009
lambda[7],1.0064434646120632,754.4455947064746,2229.658258377601
attack_prob[7],1.0064434646120632,754.4455947064746,2229.658258377601
weight[3],1.0063457022034044,686.0429157184124,2947.66782780831
case_shape[3],1.006318545802008,688.5108491642038,2946.42901046945
lambda[1],1.0058955584044649,626.26410292763,1708.80230277548
attack_prob[1],1.0058955584044649,626.26410292763,1708.80230277548
X[1],1.0058955584044649,626.26410292763,1708.80230277548
S_start[2],1.0058955584044649,626.2641029276299,1708.80230277548
S_end[1],1.0058955584044649,626.2641029276299,1708.80230277548
U_start[2],1.0058955584044649,626.26410292763,1708.80230277548
U_end[1],1.0058955584044649,626.26410292763,1708.80230277548
S_end_prop[1],1.0058955584044649,626.2641029276299,1708.80230277548
case_shape[10],1.0058907199871647,765.515354957242,2166.78110500118
weight[10],1.0058655429892402,765.8956333007085,2176.8200210310974
S_start[4],1.005838870838379,744.9063545480196,2228.2336615326462
S_end[3],1.005838870838379,744.9063545480196,2228.2336615326462
U_start[4],1.005838870838379,744.9063545480196,2228.2336615326462
U_end[3],1.005838870838379,744.9063545480196,2228.2336615326462
