year,N_start,N_end,births,deaths,observed_cases,reconciliation
2015,8786893.520547945,8844843.573770491,132516,55697,25,-18868.946777453646
2016,8844843.573770491,8898880.695890412,126246,57558,30862,-14650.877880079672
2017,8898880.695890412,8950621.52328767,127797,58193,107387,-17863.172602741048
2018,8950621.52328767,9006371.978082191,131491,58995,1481,-16745.545205479488
2019,9006371.978082191,9062425.62295082,129185,57712,1205,-15419.355131370947
2020,9062425.62295082,9109391.312328767,121904,70868,1017,-4070.310622053221
2021,9109391.312328767,9146374.90410959,120266,75232,1318,-8050.408219177276
2022,9146374.90410959,9179952.063013699,112308,65539,50986,-13191.84109589085
2023,9179952.063013699,9215265.049180327,111091,61067,2008,-14711.013833371922
2024,9215265.049180327,9251390.575342465,105453,62005,892,-7322.473837861791
2025,9251390.575342465,9285660.657534247,107390,62979,690,-10140.917808217928
