muni6,name_muni,R_2025,median_A,lo95_A,hi95_A
290010,Abaíra,4.050222762251924e-4,0.002984999347353577,0.00155251791558603,0.00582659292451032
290020,Abaré,0.00164212600580217,0.012102408542256186,0.006294542777790609,0.02362339142363989
290030,Acajutiba,5.633802816901409e-4,0.004152092049924496,0.002159530554130652,0.008104708693304777
290035,Adustina,1.3783597518952445e-4,0.001015846090780976,5.283482747873062e-4,0.0019828887568044077
290040,Água Fria,2.0225173599406729e-4,0.001490587889560301,7.752646262216492e-4,0.0029095647402311024
290050,Érico Cardoso,0.00100484150908924,0.007405645133349331,0.0038517250451631166,0.014455507192543572
290060,Aiquara,8.727907484180668e-4,0.006432435861763893,0.0033455524622141896,0.012555843709898304
290070,Alagoinhas,7.630462294349736e-4,0.005623622774757225,0.0029248834228552487,0.010977074651143736
290080,Alcobaça,0.00562478028202023,0.04145442474749817,0.021560720660747407,0.08091729002807313
290090,Almadina,0.00490936555891238,0.036181844430516474,0.018818416743415684,0.07062543545997262
290100,Amargosa,0.00261759751198652,0.019291597829472935,0.010033687704853498,0.037656385926971944
290110,Amélia Rodrigues,3.2219089810712846e-4,0.0023745351231948385,0.0012350114324871228,0.00463499248670672
290115,América Dourada,0.00430259440020549,0.031709963205578603,0.016492561722963487,0.06189651177442006
290120,Anagé,7.478033277248083e-5,5.511283147217035e-4,2.8664548390965847e-4,0.0010757792432690956
290130,Andaraí,0.00730897009966777,0.05386684204304036,0.02801650104279134,0.10514580547294067
290135,Andorinha,1.9366083532373635e-4,0.0014272732661447254,7.423342715606302e-4,0.002785977263691688
290140,Angical,1.410636196924813e-4,0.0010396337125992356,5.40720374323869e-4,0.002029321192074479
290150,Anguera,0.00165361183637946,0.012187058693098659,0.0063385698814670335,0.023788624950539912
290160,Antas,0.00106780565936999,0.007869688615713775,0.0040930771314275395,0.015361300513204399
290170,Antônio Cardoso,0.00147851800313097,0.010896623552484858,0.0056674060246035855,0.021269749940900168
290180,Antônio Gonçalves,9.779516358463726e-4,0.007207467752024875,0.0037486516775783233,0.014068673296299412
290190,Aporá,0,0,0,0
290195,Apuarema,0.0070412617941135,0.05189384163227698,0.02699033047163713,0.101294591822391
290200,Aracatu,6.925207756232688e-5,5.103852762199433e-4,2.6545475994334543e-4,9.96250549211633e-4
290205,Araçás,3.346440224211495e-4,0.002466314193463057,0.001282746334336788,0.004814141363880526
290210,Araci,8.547348334260953e-4,0.0062993644293251015,0.003276341129522582,0.012296093882016522
290225,Arataca,2.875491229751749e-4,0.0021192265087556735,0.0011022237324590936,0.00413664083119409
290230,Aratuípe,6.671855887912822e-4,0.004917133362803946,0.002557433604080001,0.009598037093705759
290240,Aurelino Leal,8.819119851838787e-5,6.499659042786825e-4,3.380515683554024e-4,0.0012687060526162784
290250,Baianópolis,7.073136228603763e-5,5.212875504750305e-4,2.7112510493576943e-4,0.0010175313290858665
290260,Baixa Grande,0.00101996993772815,0.007517141098545388,0.003909714834553155,0.014673142617656395
290265,Banzaê,0.00138346354166666,0.010196075651568284,0.005303046425040049,0.01990230996260339
290270,Barra,0.00121173707169755,0.008930457855039682,0.004644790233079003,0.017431877362701586
290280,Barra da Estiva,3.964964135097142e-4,0.0029221640512841363,0.0015198368622499727,0.0057039410747495144
290290,Barra do Choça,3.110339286177134e-4,0.002292308666529944,0.0011922449081927088,0.004474489908695777
290300,Barra do Mendes,6.260434056761269e-4,0.004613916979517517,0.0023997287564160525,0.009006171492455747
290310,Barra do Rocha,0.00322143099355713,0.023741828481468854,0.012348282119032904,0.04634304860659596
290320,Barreiras,0.02564177260915669,0.1889789253487009,0.09828918975549118,0.3688788978444884
290323,Barro Alto,2.873150409423933e-4,0.0021175013327441403,0.0011013264569981057,0.004133273360326383
290327,Barrocas,3.8022813688212925e-4,0.0028022674481429583,0.001457477845468406,0.005469907958409117
290330,Barro Preto,0.02526954177897574,0.18623559775815315,0.09686236692002799,0.36352403800411
290340,Belmonte,0.01870706873873435,0.13787041171279468,0.07170731357214656,0.2691172331736998
290350,Belo Campo,5.767012687427913e-4,0.004250267236802757,0.002210592118559347,0.008296342520539781
290360,Biritinga,0.01659937191565724,0.12233676329241418,0.06362816022545112,0.23879620611610186
290370,Boa Nova,0.00114220445459737,0.0084180050126967,0.004378260118311705,0.016431591011554475
290380,Boa Vista do Tupim,4.634457189201715e-4,0.0034155779810524766,0.0017764647125857527,0.006667064270937773
290390,Bom Jesus da Lapa,0.00492260331658583,0.03627940621991717,0.018869159275756768,0.07081587196118279
290395,Bom Jesus da Serra,0,0,0,0
290400,Boninal,0,0,0,0
290405,Bonito,0.00103500761035007,0.007627968195218932,0.003967356740997995,0.01488947243960245
290410,Boquira,0.00813871196036801,0.05998200917840324,0.031197039940687853,0.11708235400005929
290420,Botuporã,4.3756016452262185e-4,0.0032248023928485086,0.0016772410665887407,0.006294678362919393
290430,Brejões,4.5372050816696913e-4,0.0033439035338548007,0.0017391863582495043,0.0065271587706969055
290440,Brejolândia,7.476236249065471e-4,0.0055099587440256195,0.0028657660082316945,0.010755207253477717
290450,Brotas de Macaúbas,0.01100164203612479,0.08108169902089828,0.04217112826764987,0.15826805933518395
290460,Brumado,0.02635542168674699,0.19423849292286097,0.10102472565916173,0.37914535208701755
290470,Buerarema,0.00936454849498327,0.06901637955894559,0.03589587576598439,0.13471706423319302
290475,Buritirama,0.0019781415360269,0.014578830698018835,0.00758254633021493,0.028457263103933456
290480,Caatiba,0.00277415143603133,0.02044539451802735,0.01063378499851377,0.03990854843676102
290485,Cabaceiras do Paraguaçu,2.93703007518797e-4,0.002164580412539938,0.0011258125979740096,0.004225169739960051
290490,Cachoeira,1.311561413863204e-4,9.666159602093227e-4,5.027433580670087e-4,0.0018867936167113884
290500,Caculé,0.01584166917099557,0.11675252180480383,0.0607237592706703,0.22789600207776134
290510,Caém,0.00186341190720208,0.01373327753399041,0.00714276853364743,0.026806778963227293
290515,Caetanos,0,0,0,0
290520,Caetité,2.740727206285401e-4,0.0020199059168507167,0.001050566435295608,0.0039427712216195815
290530,Cafarnaum,0.00110760369939635,0.00816299871364672,0.004245629654518345,0.015933829462940582
290540,Cairu,4.8444396598126816e-4,0.003570334293117872,0.0018569544946838827,0.006969142069950684
290550,Caldeirão Grande,0.00110318452599838,0.008130429567495736,0.004228690226059316,0.015870255862266626
290560,Camacan,0.00289081609962197,0.02130520881743557,0.011080980105973937,0.04158686971269908
290570,Camaçari,0.00620577298561106,0.045736319702015596,0.02378776256460559,0.08927536852065528
290580,Camamu,0.00132517195683725,0.00976646880551113,0.005079605061224186,0.01906373550469705
290590,Campo Alegre de Lourdes,0.01184615384615384,0.0873057201420662,0.04540828284397026,0.17041708625498922
290600,Campo Formoso,0.00451326019810416,0.03326256242332536,0.017300078851372153,0.06492712001383016
290610,Canápolis,0,0,0,0
290620,Canarana,9.997200783780542e-4,0.007367900376510559,0.003832093747332655,0.014381831017930962
290630,Canavieiras,7.8506629448709e-4,0.0057859098480062664,0.003009290003684331,0.011293852178606404
290640,Candeal,5.037783375314861e-4,0.003712827903584877,0.0019310663645248907,0.007247283592249865
290650,Candeias,0.03339834878563604,0.2461446077903646,0.12802143952166575,0.4804639007473208
290660,Candiba,7.453230975627934e-4,0.005493003941727644,0.0028569477033479223,0.010722112193944979
290670,Cândido Sales,0.01503645774302013,0.11081814306052964,0.057637249611454854,0.2163123448707982
290680,Cansanção,0.0403020767778477,0.29702483033792787,0.15448457999910975,0.5797799508348946
290682,Canudos,0,0,0,0
290685,Capela do Alto Alegre,5.437245129134571e-4,0.004007229753665236,0.0020841867151328904,0.007821943596166368
290687,Capim Grosso,7.901346050737929e-4,0.005823263111472401,0.003028717683220741,0.01136676417465495
290689,Caraíbas,3.899015498586606e-4,0.002873560147622957,0.0014945576502902456,0.005609068303193674
290690,Caravelas,0.01412270856715301,0.10408384508801094,0.05413469666768313,0.20316727904255635
290700,Cardeal da Silva,0,0,0,0
290710,Carinhanha,0.00772035875028746,0.05689876133659961,0.02959342233291988,0.11106398415502335
290720,Casa Nova,6.567626853712679e-5,4.840316946195361e-4,2.517480877423065e-4,9.448094685880902e-4
290730,Castro Alves,0.00965842167255594,0.07118221411855241,0.03702234065414796,0.13894468201537216
290740,Catolândia,0.00140173815531258,0.010330758885079817,0.005373096066136652,0.020165205958250495
290750,Catu,0.01099602865752659,0.0810403286261431,0.042149611251544254,0.15818730606815948
290755,Caturama,5.489679402722881e-4,0.0040458736213306885,0.0021042856464547144,0.007897374797220016
290760,Central,0.00771650739003977,0.05687037695257776,0.029578659426939394,0.11100857903366045
290770,Chorrochó,0.00182932406475807,0.013482051383181145,0.007012104149971469,0.02631639610466654
290780,Cícero Dantas,6.19348445435402e-5,4.564575367655135e-4,2.3740658575386524e-4,8.909858745581557e-4
290790,Cipó,0.00128671328671328,0.009483029814722611,0.004932186566287184,0.01851047454009319
290800,Coaraci,0.01002449165574984,0.07388013649236272,0.0384255479358897,0.14421091278626255
290810,Cocos,0.01102441479989932,0.08124953345617417,0.04225842006818212,0.15859566507953182
290820,Conceição da Feira,6.502856612011705e-4,0.004792581515194563,0.0024926533638416418,0.009354917136356715
290830,Conceição do Almeida,0.00780959464484938,0.05755642661247136,0.029935478395396058,0.11234771905650254
290840,Conceição do Coité,0.00808647923911677,0.05959705593509382,0.030996823211183144,0.11633094149280947
290850,Conceição do Jacuípe,3.721226941683058e-4,0.0027425306320935554,0.001426408332096824,0.005353304211063307
290860,Conde,2.044153720359771e-4,0.0015065338079754663,7.835582039210768e-4,0.0029406905009435776
290870,Condeúba,0.01280810610804349,0.09439527309378926,0.04909560625353955,0.18425559483056844
290880,Contendas do Sincorá,0.00155590131140253,0.011466935701336238,0.005964029147604642,0.02238297521989589
290890,Coração de Maria,0.0043297662630245,0.0319102188397552,0.016596716003610765,0.06228740233264452
290900,Cordeiros,0.00903458957150232,0.06658459437314385,0.034631088197048715,0.1299703220370571
290910,Coribe,0.00103712922630159,0.007643604427106337,0.003975489248684796,0.014919993705264345
290920,Coronel João Sá,0.00613706102966246,0.04522991510231423,0.02352437818086407,0.08828688808424398
290930,Correntina,1.751006828926633e-4,0.001290485622240585,6.711901126916315e-4,0.0025189735476476944
290940,Cotegipe,0.02369457030379558,0.17462811564796088,0.09082523865502698,0.34086672211739555
290950,Cravolândia,0.00111333778668448,0.008205258727027365,0.004267609367158659,0.01601631922802937
290960,Crisópolis,4.91497100167109e-5,3.622315633842515e-4,1.8839903340125367e-4,7.070607456313761e-4
290970,Cristópolis,0.00501752697779916,0.036978990127772796,0.01923301749614951,0.07218143026565167
290980,Cruz das Almas,0.00713766857215046,0.05260435605682379,0.027359873726100215,0.10268148603477914
290990,Curaçá,6.089628255875107e-4,0.004488033729608093,0.0023342560450300876,0.008760452693928406
291000,Dário Meira,0.0288583318255835,0.21268484901108176,0.1106187975404947,0.4151518617574179
291005,Dias d'Ávila,7.437314067148321e-4,0.005481273238452175,0.0028508464869393705,0.010699214355536748
291010,Dom Basílio,0.00145997242274312,0.010759943304005768,0.005596317722805909,0.02100295585619974
291020,Dom Macedo Costa,6.510416666666666e-4,0.004798153247796862,0.0024955512588423876,0.009365792923578113
291030,Elísio Medrado,6.196554715578138e-4,0.004566838138936659,0.002375242739857422,0.00891427557975956
291040,Encruzilhada,0.00113110539845758,0.008336205375298255,0.004335715585542504,0.016271921566763523
291050,Entre Rios,0.00774630233141138,0.057089964579652486,0.029692868405034073,0.11143720482728346
291060,Esplanada,9.074144542341128e-4,0.006687611306006363,0.0034782708995415835,0.013053935422799383
291070,Euclides da Cunha,1.6983695652173913e-4,0.0012516921515991816,6.510133718719271e-4,0.002443250327889942
291072,Eunápolis,0.02351590441656273,0.17331135460026015,0.09014038251966011,0.3382964600466163
291075,Fátima,1.6233766233766234e-4,0.0011964226280220748,6.222673268801797e-4,0.002335366547177919
291077,Feira da Mata,0.01149031040987823,0.08468316704463563,0.04404427562167512,0.1652979731351861
291080,Feira de Santana,0.00875900037227265,0.06455351206452317,0.03357470884642706,0.1260057349697268
291085,Filadélfia,5.902237484573697e-4,0.004349927417222503,0.0022624260379568053,0.008490874992583343
291090,Firmino Alves,6.008411776487082e-4,0.00442817748164389,0.0023031244143292056,0.008643615820518315
291100,Floresta Azul,0.02068965517241379,0.15248200114377888,0.07930689793617739,0.29763843994377887
291110,Formosa do Rio Preto,3.990278231218486e-4,0.0029408204474471577,0.0015295401773642756,0.005740357573793877
291120,Gandu,0.00831106281753839,0.06125222868574552,0.03185768951289768,0.11956176894553225
291125,Gavião,6.683002895967921e-4,0.004925348666929816,0.0025617064381255788,0.009614073021128969
291130,Gentio do Ouro,0.00700603050727208,0.05163418833812188,0.026855283074935312,0.10078775953517756
291140,Glória,0.00155212019618799,0.01143906902063694,0.005949535502548428,0.02232858063360023
291150,Gongogi,0.00912575287461215,0.06725646457944859,0.034980532337852754,0.13128178436408078
291160,Governador Mangabeira,0.001732777595654,0.012770507440584007,0.006642025436356956,0.02492749231643279
291165,Guajeru,0.00856059679589091,0.0630912849704193,0.0328141948576169,0.12315152930697301
291170,Guanambi,0.00820426150949854,0.06046510695563552,0.03144830229181629,0.118025340501267
291180,Guaratinga,0.00103023746973677,0.007592812433540359,0.003949071996684584,0.014820849874430454
291185,Heliópolis,0,0,0,0
291190,Iaçu,2.370136282836263e-4,0.0017467817630533629,9.085127553423442e-4,0.0034096443841080733
291200,Ibiassucê,0,0,0,0
291210,Ibicaraí,0.00488003253355022,0.03596566110752001,0.01870597836640214,0.07020345472443744
291220,Ibicoara,3.207037155816191e-4,0.0023635746424296453,0.0012293108139035762,0.004613598090177847
291230,Ibicuí,0.00701065619742007,0.05166827950515965,0.02687301411653045,0.1008543040564776
