muni6,name_muni,cumulative_cases,population_at_checkpoint,checkpoint,cumulative_reported_incidence,q,A_i,muni_max_pop
291280,Ibirapuã,1224,9297,2025-12-21,0.13165537270087124,0.05,2.633107454017425,9297
291280,Ibirapuã,1224,9297,2025-12-21,0.13165537270087124,0.1,1.3165537270087124,9297
291970,Macarani,1127,21599,2022-12-31,0.05217834158988842,0.05,1.0435668317977682,22768
292470,Piripá,645,9152,2022-12-31,0.07047639860139861,0.05,1.409527972027972,12238
292470,Piripá,1162,9143,2025-12-21,0.1270917641911845,0.05,2.54183528382369,12238
292470,Piripá,1162,9143,2025-12-21,0.1270917641911845,0.1,1.270917641911845,12238
293135,Teixeira de Freitas,14829,153738,2025-12-21,0.09645630878507591,0.05,1.9291261757015181,164290
293240,Uibaí,1118,13891,2020-12-31,0.08048376646749694,0.05,1.6096753293499388,14483
293240,Uibaí,1122,13432,2022-12-31,0.08353186420488386,0.05,1.670637284097677,14483
293240,Uibaí,1124,13886,2025-12-21,0.0809448365259974,0.05,1.618896730519948,14483
