uf,ensemble_id,population_valid_member
RO,1,1847002.224805989
AC,1,1043746.7574866614
AM,1,4421603.470109693
RR,1,642204.9111020697
PA,1,9101773.136145487
AP,1,809802.386247158
TO,1,1694476.827267029
MA,1,6976988.781082074
PI,1,3445902.713711337
CE,1,9231781.187078971
RN,1,3507821.7576041836
PB,1,3955894.870931454
PE,1,8629317.96753044
AL,1,3240735.70037111
SE,1,2355418.1888673343
BA,1,11954097.590811327
MG,1,21621219.42816297
ES,1,3526464.369977629
RJ,1,14734392.121075094
SP,1,44800008.41187476
PR,1,11565177.68314045
SC,1,6731200.931452617
RS,1,11148654.159974465
MS,1,3016644.6672508125
MT,1,3856895.956432085
GO,1,7355714.437435157
DF,1,3202296.1569077363
RO,2,1847002.224805989
AC,2,1043746.7574866614
AM,2,4421603.470109693
RR,2,642204.9111020697
PA,2,9101773.136145487
AP,2,809802.386247158
TO,2,1694476.827267029
MA,2,6976988.781082074
PI,2,3445902.713711337
CE,2,9231781.187078971
RN,2,3507821.7576041836
PB,2,3955894.870931454
PE,2,8629317.96753044
AL,2,3240735.70037111
SE,2,2355418.1888673343
BA,2,11954097.590811327
MG,2,21621219.42816297
ES,2,3526464.369977629
RJ,2,14734392.121075094
SP,2,44800008.41187476
PR,2,11565177.68314045
SC,2,6731200.931452617
RS,2,11148654.159974465
MS,2,3016644.6672508125
MT,2,3856895.956432085
GO,2,7355714.437435157
DF,2,3202296.1569077363
RO,3,1847002.224805989
AC,3,1043746.7574866614
AM,3,4421603.470109693
RR,3,642204.9111020697
PA,3,9101773.136145487
AP,3,809802.386247158
TO,3,1694476.827267029
MA,3,6976988.781082074
PI,3,3445902.713711337
CE,3,9231781.187078971
RN,3,3507821.7576041836
PB,3,3955894.870931454
PE,3,8629317.96753044
AL,3,3240735.70037111
SE,3,2355418.1888673343
BA,3,11954097.590811327
MG,3,21621219.42816297
ES,3,3526464.369977629
RJ,3,14734392.121075094
SP,3,44800008.41187476
PR,3,11565177.68314045
SC,3,6731200.931452617
RS,3,11148654.159974465
MS,3,3016644.6672508125
MT,3,3856895.956432085
GO,3,7355714.437435157
DF,3,3202296.1569077363
RO,4,1847002.224805989
AC,4,1043746.7574866614
AM,4,4421603.470109693
RR,4,642204.9111020697
PA,4,9101773.136145487
AP,4,809802.386247158
TO,4,1694476.827267029
MA,4,6976988.781082074
PI,4,3445902.713711337
CE,4,9231781.187078971
RN,4,3507821.7576041836
PB,4,3955894.870931454
PE,4,8629317.96753044
AL,4,3240735.70037111
SE,4,2355418.1888673343
BA,4,11954097.590811327
MG,4,21621219.42816297
ES,4,3526464.369977629
RJ,4,14734392.121075094
SP,4,44800008.41187476
PR,4,11565177.68314045
SC,4,6731200.931452617
RS,4,11148654.159974465
MS,4,3016644.6672508125
MT,4,3856895.956432085
GO,4,7355714.437435157
DF,4,3202296.1569077363
RO,5,1847002.224805989
AC,5,1043746.7574866614
AM,5,4421603.470109693
RR,5,642204.9111020697
PA,5,9101773.136145487
AP,5,809802.386247158
TO,5,1694476.827267029
