uf,state_name,n_cells,n_valid_cells,population_total,population_valid_foi,population_coverage,population_coverage_min_member,population_coverage_max_member,foi_pwmean_mid,foi_pwmean_mean,foi_pwmean_sd,foi_pwmean_lo,foi_pwmean_q25,foi_pwmean_q75,foi_pwmean_hi,foi_equiv_mid,foi_equiv_mean,foi_equiv_sd,foi_equiv_lo,foi_equiv_q25,foi_equiv_q75,foi_equiv_hi,arithmetic_minus_equivalent,arithmetic_vs_equivalent_relative_difference
AL,Alagoas,1358,1298,3477978.1425930643,3240735.70037111,0.9317872532559752,0.9317872532559752,0.9317872532559752,0.008681401316747758,0.008643194314605617,0.001264558886814507,0.006402574717498322,0.00781719166065912,0.009453287495013799,0.010846262277874,0.008675993866179864,0.008638119641541262,0.0012629693817560643,0.0064001348398196765,0.007813886232594878,0.009449499681592354,0.01084009220995482,5.407450567894434e-6,6.232658357416975e-4
AP,Amapa,6797,6584,898573.6943083857,809802.386247158,0.901208650304911,0.901208650304911,0.901208650304911,0.009055516498961174,0.009162571200991076,0.0019784922191438737,0.005988715642554163,0.00777799741408373,0.01052208322229825,0.013249878949270882,0.009044323198808085,0.009152208524694491,0.001976606596723644,0.005983836324233036,0.007767602229318162,0.010511173791598532,0.013233991303855053,1.1193300153089503e-5,0.0012376050597754649
BA,Bahia,27164,26919,15266071.593260087,11954097.590811327,0.7830500150470286,0.7830500150470286,0.7830500150470286,0.0100822169363435,0.010082135274541888,0.0014711361281783471,0.007305294259598799,0.00900885965113194,0.010975281036182347,0.013076477798348852,0.010075771791206715,0.010073692906471003,0.0014686961894224714,0.007298647029034004,0.009004780878708709,0.01097011304296652,0.013062035041133641,6.445145136785291e-6,6.396676374121604e-4
CE,Ceara,7072,6958,9674504.683195401,9231781.187078971,0.954238122713875,0.954238122713875,0.954238122713875,0.012308149948215762,0.012607401074664105,0.002048385819338857,0.009402286927818113,0.011125982008763129,0.013827200839190885,0.017353295118720455,0.012299640243754021,0.012598103830608488,0.002046740958700418,0.009397290698727594,0.011117843803030221,0.013821249404549199,0.017342554349202607,8.509704461740972e-6,6.918661272277743e-4
ES,Espirito Santo,2354,2265,4010031.912677152,3526464.369977629,0.8794105500330827,0.8794105500330827,0.8794105500330827,0.013565901348274996,0.013611793799620077,0.002115884138689791,0.009906244710608567,0.012309325591575219,0.014618611096316202,0.018447919370695984,0.013559535309385699,0.01360575825851445,0.002113715714462077,0.009902406760486055,0.012306642619608975,0.01461460401162473,0.018434361840585486,6.3660388892970016e-6,4.694879834776144e-4
MA,Maranhao,15620,15322,7766371.485614014,6976988.781082074,0.8983588789186626,0.8983588789186626,0.8983588789186626,0.012379926353482987,0.01258194564263934,0.002082191345886855,0.009350635488870569,0.011077551196902595,0.014039055596504996,0.01687864728078163,0.01237315248465224,0.012573881127102312,0.0020811673382680118,0.009342539320858826,0.011069578761137682,0.014031760826434071,0.016870270498069936,6.773868830746779e-6,5.474650732017682e-4
PA,Para,58218,57713,9595782.414332904,9101773.136145487,0.9485180825432712,0.9485180825432712,0.9485180825432712,0.010566305982729896,0.010669589968368866,0.001835078205200344,0.007087196742799654,0.009420232599418385,0.011732827941801126,0.01440468284367891,0.010559833088049645,0.010659994949893678,0.00183398148817684,0.007082198430229523,0.009414712141722369,0.011716382527885373,0.014395926773917607,6.472894680250446e-6,6.129732000760215e-4
PB,Paraiba,2685,2654,4183993.89873866,3955894.870931454,0.9454829444478945,0.9454829444478945,0.9454829444478945,0.011532700506647363,0.011584498805912747,0.0016710088077309987,0.00836979434259123,0.010508910749029298,0.012645981773836246,0.015317627128453422,0.01152689508359123,0.01157534051499604,0.0016677397047474903,0.008366059173296626,0.010502830782985001,0.012634089031799394,0.015301576032243852,5.80542305613288e-6,5.036415282721726e-4
PE,Pernambuco,4665,4591,9858577.02394141,8629317.96753044,0.8753107011868211,0.8753107011868211,0.8753107011868211,0.010844850166820876,0.010982532185847823,0.0017549653849329716,0.0077655936580246195,0.009748162960058322,0.012048688628205349,0.015067583694438655,0.010839882886850281,0.010975002677536228,0.0017520616407555357,0.0077626256046964045,0.009741089395735973,0.012037669525655085,0.015053065418371845,4.967279970595137e-6,4.58241110392519e-4
RJ,Rio de Janeiro,2335,2114,17835849.29389062,14734392.121075094,0.8261110462579496,0.8261110462579496,0.8261110462579496,0.012594438704990475,0.012800655426783207,0.0022271987516146712,0.00933036844112509,0.01110525232560039,0.014392323353981154,0.017299153975820634,0.012591634903437808,0.012793870758487765,0.002224425720279728,0.009324127829728357,0.011099333320891167,0.01438572957525947,0.017277387949680305,2.803801552667129e-6,2.2267176376767613e-4
RN,Rio Grande do Norte,2535,2450,3658388.2368735946,3507821.7576041836,0.9588434934948067,0.9588434934948067,0.9588434934948067,0.011672973727864112,0.011817480392718826,0.001743830065425782,0.008657735762401603,0.01080749311323067,0.01275517664505813,0.016264905266293737,0.011665293957308712,0.01181001809924447,0.0017423116500619599,0.008652995132678386,0.010796566284840402,0.012747973646489986,0.01625417762532274,7.679770555400756e-6,6.583435088310923e-4
RS,Rio Grande do Sul,15067,14757,11508148.351196822,11148654.159974465,0.9687617694652876,0.9687617694652876,0.9687617694652876,0.014927104263291299,0.014784482073119751,0.003112334496090598,0.009480304196366845,0.012666725172329694,0.015987373727250752,0.0212791907439729,0.014920428864341674,0.014780752438571819,0.0031111704935282494,0.009477558340117443,0.012663571200837324,0.015983312345446483,0.02127543954327115,6.6753989496244615e-6,4.473999380525847e-4
SC,Santa Catarina,5114,4958,7432976.180653965,6731200.931452617,0.905586237309911,0.905586237309911,0.905586237309911,0.015230361241705397,0.015391307254204987,0.0030936978727542763,0.010493901679460528,0.013217346284467026,0.01679946300208754,0.022233335360850356,0.015226331564213354,0.015387521593173317,0.003092821239373507,0.010487040092634278,0.013215233674918576,0.01679690525400536,0.02223007063378963,4.029677492042513e-6,2.6465189432190724e-4
SE,Sergipe,1062,1027,2381290.96161077,2355418.1888673343,0.9891349804956491,0.9891349804956491,0.9891349804956491,0.011041102260055329,0.011161008059506624,0.001900152537741042,0.007460423356497995,0.00987275144458913,0.012173555071301391,0.014996718133941711,0.011037260629191194,0.011155819912788557,0.0018968366081958878,0.007458457591669366,0.009870445657438241,0.012167619082045545,0.014981614473475022,3.841630864134457e-6,3.480601748203866e-4
