draw,cum_X_A,cum_X_B,cum_X_C,total_effect,direct_only,indirect,indirect_fraction
3,2544698.872217326,2035096.5629968846,2459163.8563835314,509602.3092204414,85535.0158337946,424067.2933866468,0.8321533982751357
5,2305287.1869565975,1745484.033878922,2227337.74776317,559803.1530776755,77949.43919342756,481853.71388424793,0.8607556267504415
8,2348349.5246731816,1798987.0774940876,2269503.536355352,549362.447179094,78845.98831782956,470516.4588612644,0.8564772879495247
37,2464896.2819749922,1937485.688001681,2381440.811983895,527410.5939733114,83455.46999109723,443955.12398221414,0.8417637587398931
40,2470857.388696918,1928363.262071764,2388635.5050103134,542494.1266251537,82221.88368660444,460272.24293854926,0.8484372831866304
41,2428063.4089291394,1889122.0017102882,2346791.6935604443,538941.4072188511,81271.71536869509,457669.69185015606,0.8492012039154887
51,2385251.7790545006,1838206.0321078845,2305206.106523919,547045.7469466161,80045.67253058171,467000.0744160344,0.8536764558039914
53,2598988.8386578704,2089948.104229712,2511902.434130087,509040.7344281585,87086.4045277834,421954.3299003751,0.8289205585371989
54,2566526.1508611497,2065445.5654159049,2479850.846768716,501080.5854452448,86675.30409243377,414405.281352811,0.8270232241877487
62,2525926.994766853,1988688.7222547743,2442107.6309433077,537238.2725120785,83819.36382354517,453418.90868853335,0.8439810264603577
70,2533563.4440560425,2004626.2554393467,2449401.415519573,528937.1886166958,84162.02853646968,444775.16008022614,0.8408846450056299
72,2489156.507318923,1943183.8980192824,2407067.8663695753,545972.6092996404,82088.64094934752,463883.9683502929,0.8496469611275028
80,2324543.6099045393,1763764.7106180382,2246658.8626029426,560778.8992865011,77884.74730159668,482894.1519849044,0.8611132704873664
82,2369450.798104028,1824707.1714582955,2289536.9647354684,544743.6266457327,79913.83336855983,464829.79327717284,0.8533001040129088
85,2633259.8479245724,2140575.097604165,2544996.1306953197,492684.75032040756,88263.71722925268,404421.0330911549,0.8208515340248462
90,2670806.327120405,2177091.96674264,2580830.683466667,493714.36037776526,89975.64365373831,403738.71672402695,0.8177576937707595
94,2239204.7116360883,1667355.9688118235,2164412.381311315,571848.7428242648,74792.33032477321,497056.4124994916,0.8692095921110424
95,2415015.033576078,1864410.0417242714,2335116.3334593885,550604.9918518064,79898.70011668932,470706.2917351171,0.8548892558202709
100,2785954.2524551554,2316786.577120392,2692858.7294465452,469167.67533476325,93095.52300861012,376072.1523261531,0.8015730240959502
122,2395338.6443935186,1842762.4429629552,2315438.4679923635,552576.2014305633,79900.17640115507,472676.0250294083,0.8554042389189008
127,2413147.2734115627,1870149.8062002882,2332401.420502318,542997.4672112744,80745.8529092446,462251.61430202983,0.8512960781862593
128,2490422.776759764,1963547.8517205568,2406598.0240171035,526874.9250392073,83824.7527426607,443050.17229654663,0.8409019887662658
130,2495973.1685999655,1984899.744105301,2411256.3355937786,511073.4244946644,84716.83300618688,426356.59148847754,0.834237452103966
133,2544961.3539955835,2022837.3217827755,2460188.586729215,522124.03221280803,84772.7672663685,437351.26494643954,0.8376386413260964
150,2598340.607019538,2087992.1733705418,2511437.5548747955,510348.4336489963,86903.05214474257,423445.3815042537,0.8297181956190501
153,2621830.9836725467,2115876.564656809,2533767.656647899,505954.4190157377,88063.3270246475,417891.0919910902,0.8259461253526312
158,2346156.07068926,1787991.7753817667,2267229.274610361,558164.2953074933,78926.79607889894,479237.49922859436,0.8585957633936114
159,2443823.343638379,1906703.1246246407,2361835.9043406206,537120.2190137384,81987.43929775851,455132.77971597994,0.8473573766254712
161,2530913.8504358022,1998988.1255203835,2446058.0210305145,531925.7249154188,84855.82940528775,447069.895510131,0.8404742891147432
169,2597532.964772812,2064367.7700711722,2512753.35241663,533165.1947016399,84779.61235618219,448385.58234545775,0.840988096749967
188,2495084.425702704,1964279.9152120836,2411215.850323769,530804.5104906205,83868.57537893532,446935.9351116852,0.841997244331221
223,2447265.954866041,1912492.9588465623,2365222.4912207047,534772.9960194787,82043.46364533622,452729.53237414244,0.8465826355182156
234,2569973.14379252,2069557.7118018738,2483558.604374188,500415.43199064606,86414.53941833181,414000.89257231425,0.8273143994089552
246,2500051.9073894145,1964346.5633236011,2416958.743464551,535705.3440658133,83093.16392486356,452612.1801409498,0.8448901717234778
270,2556042.0859079566,2042023.7479184018,2470497.666156112,514018.33798955474,85544.41975184437,428473.9182377104,0.8335771052713246
292,2316390.544406922,1751916.2995059052,2239291.1647087093,564474.2449010168,77099.37969821272,487374.8652028041,0.863413821986276
297,2412638.8212961815,1874346.0027305079,2331457.8361771945,538292.8185656737,81180.98511898704,457111.8334466866,0.8491880583967281
304,2523843.2961607445,2008753.0240038428,2438884.2425765987,515090.27215690166,84959.05358414585,430131.2185727558,0.8350598755663037
322,2557387.1118020327,2038266.4213570748,2471802.0884958603,519120.69044495793,85585.02330617234,433535.6671387856,0.8351346326943467
325,2565892.926925444,2040034.8494813775,2480295.968577473,525858.0774440665,85596.95834797109,440261.11909609544,0.8372242207174697
330,2390588.592297885,1846173.8556567854,2310527.153106053,544414.7366410997,80061.4391918322,464353.29744926747,0.8529403526330112
332,2414592.695099878,1868201.4901517746,2333545.9138942966,546391.2049481035,81046.7812055815,465344.423742522,0.8516689498812863
