t,week_start,doses_median,infections_averted_median,NNV_infection_median,NNV_infection_lo95,NNV_infection_hi95,NNV_reported_case_median,frac_draws_denominator_above_tol
1,2015-01-04,0,0,NA,NA,NA,NA,0
2,2015-01-11,2644.3643759838897,3.552464494369634e-4,NA,NA,NA,NA,0
3,2015-01-18,5288.573280289378,0.0014882375411020554,NA,NA,NA,NA,0
4,2015-01-25,7932.68124740409,0.004057781803273652,NA,NA,NA,NA,0
5,2015-02-01,10576.663300043478,0.009151555789799204,NA,NA,NA,NA,0
6,2015-02-08,13220.507961564994,0.017839855694390394,NA,NA,NA,NA,0
7,2015-02-15,15864.17303071044,0.03239397220785811,NA,NA,NA,NA,0
8,2015-02-22,18507.758658920113,0.05491446538186473,NA,NA,NA,NA,0
9,2015-03-01,21151.16697286232,0.08991983266862036,NA,NA,NA,NA,0
10,2015-03-08,23794.374455980927,0.14145799792395763,NA,NA,NA,NA,0
11,2015-03-15,26437.36936768243,0.21553165033934718,NA,NA,NA,NA,0
12,2015-03-22,29080.17011892052,0.31886195039001564,NA,NA,NA,NA,0
13,2015-03-29,31722.80090997174,0.4600425977488811,NA,NA,NA,NA,0
14,2015-04-05,34365.254723847174,0.6444257133188884,32312.782800983347,31481.558567703905,33055.25489421013,646255.6560196669,0.02
15,2015-04-12,37007.472869139136,0.8787148124211939,32193.146766504193,24728.55530545289,36409.26804302498,643862.9353300838,0.31
16,2015-04-19,39649.4238438089,1.166357840013447,31322.802580317177,21198.900832626263,39208.71359830003,626456.0516063435,0.78
17,2015-04-26,42291.09733054845,1.5145035468994195,27460.283519439534,17488.165994829043,40350.47346106476,549205.6703887907,0.965
18,2015-05-03,44932.51384200383,1.9314145933408895,23264.15867784251,14499.7879832162,37225.56484589055,465283.1735568503,1
19,2015-05-10,47573.630528275826,2.387958378309264,19922.35041747374,12242.698224818521,31916.93342425813,398447.00834947475,1
20,2015-05-17,50214.43659157357,2.906616589782729,17276.37557080327,10495.930207824664,27732.89440118389,345527.51141606533,1
21,2015-05-24,52854.954503896384,3.4508661438689643,15316.564659297308,9173.682034041109,24867.846607341457,306331.2931859461,1
22,2015-05-31,55495.187649870255,4.025481294743855,13785.983836168623,8255.573813096302,22670.454864528987,275719.6767233725,1
23,2015-06-07,58135.14049983641,4.6196278895292835,12584.400567288369,7543.278938512752,20914.518355948574,251688.01134576736,1
24,2015-06-14,60774.805074939344,5.237846050145521,11603.07713889957,6938.535005325359,19443.094653638927,232061.5427779914,1
25,2015-06-21,63414.176304531546,5.894062938106714,10759.018029761173,6468.664220594232,18179.938578955916,215180.36059522344,1
26,2015-06-28,66053.24541331959,6.528831057987475,10117.16410256903,6098.475064626696,16857.75751453189,202343.28205138055,1
27,2015-07-05,68692.02528372305,7.189427234544411,9554.593941403095,5799.472812682017,15692.26954917885,191091.87882806186,1
28,2015-07-12,71330.51440837566,7.868846310655954,9064.926727011825,5549.658878169079,14641.206677445029,181298.53454023646,1
29,2015-07-19,73968.71311277447,8.539574859418366,8661.879798513324,5344.083730018135,13757.022977943474,173237.5959702665,1
30,2015-07-26,76606.60239771218,9.219070573536726,8309.592626659352,5170.750260950833,13028.662948800456,166191.85253318702,1
31,2015-08-02,79244.17795483102,9.989306715935157,7932.934950931647,5023.384197190561,12440.48088790371,158658.69901863293,1
32,2015-08-09,81881.39509533373,10.70144198235306,7651.440018484845,4896.663622058699,11892.413343575261,153028.80036969687,1
33,2015-08-16,84518.25362844195,11.533187062267103,7328.274151343528,4791.64799728159,11398.55600599725,146565.48302687056,1
34,2015-08-23,87154.76175459684,12.338459256359016,7063.862213165334,4672.6907509202065,10949.074178979912,141277.24426330667,1
35,2015-08-30,89790.89814858043,13.036779701146685,6887.51403945719,4543.287530949001,10531.871418884408,137750.2807891438,1
36,2015-09-06,92426.64506971223,13.956070634565265,6622.782696826427,4473.028207364256,10145.61231652599,132455.65393652854,1
37,2015-09-13,95061.96579400777,14.768669169521843,6436.752663519142,4376.008415695029,9857.50380422287,128735.05327038284,1
38,2015-09-20,97696.82929762667,15.557006147771062,6279.931125732854,4221.757315290595,9527.672672016664,125598.62251465705,1
39,2015-09-27,100331.24066141807,16.199731811804668,6193.389384807202,4201.4836655084755,9206.223823594772,123867.78769614402,1
40,2015-10-04,102965.23536085684,16.890767771806225,6095.953139593259,4121.039461270517,9075.931775261835,121919.06279186517,1
41,2015-10-11,105598.79499918506,17.770830300091575,5942.279251737336,3994.005439453141,8912.555935511475,118845.58503474673,1
42,2015-10-18,108231.93850291347,18.690091649242333,5790.9000836452415,3871.678138474759,8797.733139339898,115818.00167290482,1
43,2015-10-25,110864.63635044343,19.686152514100627,5631.605073025357,3768.122825330748,8681.777348633548,112632.10146050714,1
44,2015-11-01,113496.92313741877,20.576086157593863,5516.065189931853,3675.9042406301373,8562.44004571088,110321.30379863705,1
45,2015-11-08,116128.77990394676,21.622717393818192,5370.693095494584,3586.8603797309092,8432.755727538219,107413.86190989165,1
46,2015-11-15,118760.23496079007,22.448221461066055,5290.468653925911,3502.436784985503,8294.180681012891,105809.37307851821,1
47,2015-11-22,121391.23658304458,23.37588809959891,5193.011527427037,3450.089624951038,8146.015933327628,103860.23054854074,1
48,2015-11-29,124021.78603808438,24.46250841864031,5069.897390809665,3394.5474511753673,7991.16937298369,101397.94781619331,1
49,2015-12-06,126651.89545709068,25.69446998840459,4929.149989476609,3328.720609748468,7825.674953490332,98582.99978953219,1
50,2015-12-13,129281.5222253476,26.91659289456055,4803.041944804945,3233.3920636406247,7646.367056332042,96060.8388960989,1
51,2015-12-20,131910.64934089396,28.18531891377671,4680.130998531447,3112.3446466737746,7444.506058822794,93602.61997062893,1
