draw,cum_inf_A,cum_inf_B,cum_inf_C,peak_A,peak_B,peak_C,final_S_prop_A,final_S_prop_B,doses_B,infections_averted_B,pct_reduction_B,reported_cases_A,reported_cases_B
3,2544698.872217326,2035096.5629968846,2459163.8563835314,125896.98718240374,79680.45511981068,121503.09472617817,0.7328531191803952,0.7028713708441011,913032.0590248329,509602.3092204414,20.026035881267116,127234.9436108663,101754.82814984424
5,2305287.1869565975,1745484.033878922,2227337.74776317,108494.9006304675,66552.35732321237,104708.05933153768,0.7579722510498853,0.7316316442753074,913032.0590248336,559803.1530776755,24.283445301091465,115264.35934782989,87274.2016939461
8,2348349.5246731816,1798987.0774940876,2269503.536355352,110786.43749363389,69585.16640455546,106919.86299621286,0.7534821500439809,0.7264589516149214,913032.0590248331,549362.447179094,23.39355540592061,117417.47623365908,89949.3538747044
37,2464896.2819749922,1937485.688001681,2381440.811983895,118996.59301754228,74560.49659568442,114843.26254840878,0.7412137695928656,0.7125502990696547,913032.0590248337,527410.5939733114,21.396867601695796,123244.81409874962,96874.28440008406
40,2470857.388696918,1928363.262071764,2388635.5050103134,104992.08128571644,68524.03176734809,101328.17646209963,0.7406596464467791,0.7140692302068563,913032.0590248329,542494.1266251537,21.95570368030243,123542.8694348459,96418.16310358822
41,2428063.4089291394,1889122.0017102882,2346791.6935604443,106401.09947533446,68305.30585818391,102717.25787516886,0.745137504737026,0.717714184792709,913032.0590248338,538941.4072188511,22.196348136416383,121403.17044645698,94456.10008551442
51,2385251.7790545006,1838206.0321078845,2305206.106523919,111221.02042532347,69863.05973856912,107339.29985899525,0.7496040106584064,0.7225924745348228,913032.0590248338,547045.7469466161,22.93450744908203,119262.58895272504,91910.30160539423
53,2598988.8386578704,2089948.104229712,2511902.434130087,127030.17364666375,81544.07936747278,122596.97491307581,0.7271487297297529,0.6976493527958824,913032.0590248333,509040.7344281585,19.58610698347706,129949.44193289353,104497.4052114856
54,2566526.1508611497,2065445.5654159049,2479850.846768716,123570.00948447632,78720.38935793158,119257.40281830491,0.7305557462671955,0.6998683955342716,913032.0590248336,501080.5854452448,19.523689064189607,128326.30754305748,103272.27827079524
62,2525926.994766853,1988688.7222547743,2442107.6309433077,108975.57406066234,71842.06780068344,105172.7892779427,0.7348695515309897,0.7080845280253274,913032.0590248333,537238.2725120785,21.268954867860955,126296.34973834264,99434.43611273872
70,2533563.4440560425,2004626.2554393467,2449401.415519573,115643.95863954228,75691.48628098305,111608.38083487473,0.7340745215188316,0.7064154484263852,913032.059024834,528937.1886166958,20.877203207901818,126678.17220280213,100231.31277196734
72,2489156.507318923,1943183.8980192824,2407067.8663695753,108150.91548166035,72149.84307861475,104377.06440739789,0.7387633252758178,0.712797550671408,913032.0590248337,545972.6092996404,21.93404101728055,124457.82536594615,97159.19490096412
80,2324543.6099045393,1763764.7106180382,2246658.8626029426,101307.76095587185,63808.82322284133,97772.06894785496,0.755972315162685,0.7301038144141935,913032.0590248338,560778.8992865011,24.124258064985508,116227.18049522697,88188.23553090192
82,2369450.798104028,1824707.1714582955,2289536.9647354684,108895.26563281997,68112.33742126844,105094.55822992684,0.7512206228682903,0.7237427862585601,913032.0590248331,544743.6266457327,22.990290707096435,118472.53990520141,91235.35857291479
