week_of_year,mean_T_anom,mean_P_anom,n
1,7.105427357601002e-16,-8.81239525796218e-17,10
2,-1.1787988120348646e-17,1.2490009027033011e-17,10
3,-7.105427357601002e-16,-2.661065812148422e-16,10
4,-1.42110715556365e-15,2.8311229229027735e-16,10
5,-1.42110715556365e-15,1.776302629291626e-16,10
6,-3.324545795696773e-16,-3.0273881570811156e-17,11
7,0,-3.7343372554585956e-16,11
8,3.2296411441665933e-16,-2.1952137077815595e-16,11
9,1.2963238634364467e-15,4.0371623145213364e-16,11
10,3.2171697390632017e-16,4.0371623145213364e-16,11
11,-9.488937413593135e-16,-2.434840868619705e-16,11
12,1.6148741661679592e-15,-3.3306690738754696e-16,11
13,9.739609884063477e-16,-4.021493745057036e-16,11
14,3.2225938300454375e-16,-2.441192075664208e-16,11
15,1.6199261786773646e-15,2.4223047810003414e-16,11
16,-9.746090456139924e-16,-2.422329421958807e-16,11
17,9.689219124001365e-16,-4.051367827076743e-16,11
18,-3.2296411441665933e-16,3.2801551090210314e-16,11
19,-1.6135983805434038e-15,-7.695371328800523e-17,11
20,3.217049614390682e-16,-3.2550459723446057e-16,11
21,3.232795186850187e-16,4.037149994042104e-16,11
22,9.897361300160118e-16,-3.6367220984972017e-16,11
23,9.783840404509192e-16,-4.037199275959035e-16,11
24,-9.689194483042901e-16,4.434571692654205e-16,11
25,1.6167622796103842e-15,1.6148698540002277e-16,11
26,6.346032443225382e-16,2.510605655661746e-16,11
27,6.408990092104938e-16,-4.0370668308072824e-17,11
28,1.2918983472960286e-15,8.57899609937621e-17,11
29,1.6173770715241004e-15,2.018513394624888e-16,11
30,-1.6148747821919209e-15,1.816679303833325e-16,11
31,1.6130131577798462e-15,-2.0122792321330962e-16,11
32,-1.2918136440013032e-15,0,11
33,3.217148178224544e-16,-1.602099677275441e-16,11
34,7.903587427834672e-19,-1.5643066072288582e-16,11
35,-9.71445146547012e-16,-8.010282777990632e-17,11
36,9.143181644643737e-18,1.0785840339553523e-16,11
37,3.2281180249214397e-16,7.553439408038784e-17,11
38,-1.2918958832001822e-15,9.005284680830738e-17,11
39,3.239248807878313e-16,-1.0408340855860843e-16,11
40,1.2917444183086141e-15,-3.408152567770485e-17,11
41,-1.6072930672840428e-15,1.3877787807814457e-17,11
42,-9.70182297425651e-16,-3.532527805625498e-17,11
43,1.290007769757757e-15,1.00919509491628e-16,11
44,3.2738839850915413e-16,-3.9745866004979967e-17,11
45,9.701859935694209e-16,-3.0554788497318763e-19,11
46,6.424784946481375e-16,-6.071532165918825e-17,11
47,6.459430134083979e-16,2.0816681711721685e-17,11
48,6.459473255761294e-16,1.5643066072288582e-16,11
49,-1.5946889090169179e-15,-2.01839018983256e-16,11
50,3.229668865244867e-16,3.279218752599339e-17,11
51,-1.6148743201739495e-15,-1.6149191359171589e-16,11
52,-0.013534923057637371,0.08155786929563545,10
53,1.7763568394002505e-15,0,2
