draw,cum_X_v49,cum_X_age,final_S_v49,final_S_age,final_N,cum_rel_diff,final_S_frac_v49,final_S_frac_age,final_S_frac_diff
12,3540892.2461177204,3540892.246117725,5949237.75750604,5949237.757506106,9284654.835616438,1.31509589939738e-15,0.6407602504171122,0.6407602504171193,7.105427357601002e-15
27,3451930.551146598,3451930.5511466083,6031174.355720794,6031174.3557208525,9284654.835616438,2.9677735890043966e-15,0.649585198642483,0.6495851986424893,6.328271240363392e-15
65,3458686.7384542082,3458686.7384542148,6023271.05942079,6023271.059420857,9284654.835616438,1.884894040800585e-15,0.6487339773057794,0.6487339773057866,7.216449660063518e-15
83,3488381.8118320773,3488381.8118320853,5993931.739480059,5993931.7394801155,9284654.835616438,2.2693163510315416e-15,0.645573997698548,0.6455739976985541,6.106226635438361e-15
137,3767421.266838176,3767421.266838184,5732911.857225411,5732911.857225475,9284654.835616438,2.1012361834638434e-15,0.6174609566780718,0.6174609566780787,6.8833827526759706e-15
144,3591041.9873864367,3591041.9873864427,5896298.406764788,5896298.406764863,9284654.835616438,1.685749360843988e-15,0.635058439022016,0.6350584390220242,8.215650382226158e-15
194,3732793.418344767,3732793.418344782,5761459.219075185,5761459.219075253,9284654.835616438,4.116708523336796e-15,0.6205356387589032,0.6205356387589105,7.327471962526033e-15
203,3522752.149986339,3522752.149986341,5959542.143917633,5959542.143917701,9284654.835616438,6.6093393386978e-16,0.6418700801947432,0.6418700801947506,7.327471962526033e-15
211,3624771.7090987847,3624771.7090987926,5863546.841549505,5863546.841549577,9284654.835616438,2.1839284014384885e-15,0.6315309449153266,0.6315309449153343,7.771561172376096e-15
216,3342428.605826708,3342428.605826714,6133962.732114486,6133962.7321145525,9284654.835616438,1.811137184635041e-15,0.6606559792168335,0.6606559792168407,7.216449660063518e-15
228,3631947.8692985205,3631947.869298525,5862735.676553017,5862735.676553068,9284654.835616438,1.2821254711392037e-15,0.6314435787169219,0.6314435787169272,5.3290705182007514e-15
237,3460019.3424861417,3460019.342486147,6017701.681805261,6017701.6818053285,9284654.835616438,1.4804177819146535e-15,0.6481341297385695,0.6481341297385768,7.216449660063518e-15
256,3607243.55588848,3607243.5558884856,5883643.742648625,5883643.742648686,9284654.835616438,1.5490873740895872e-15,0.6336954735332379,0.6336954735332444,6.5503158452884236e-15
369,3480546.3554830877,3480546.3554830975,5998978.670992152,5998978.670992231,9284654.835616438,2.809583908588756e-15,0.646117575419147,0.6461175754191556,8.548717289613705e-15
378,3653619.477645356,3653619.477645367,5839167.056972295,5839167.056972354,9284654.835616438,2.931397118284578e-15,0.628905130061802,0.6289051300618084,6.328271240363392e-15
428,3469897.475424792,3469897.475424804,6006440.69365695,6006440.693657018,9284654.835616438,3.355007537007502e-15,0.6469212695571535,0.6469212695571608,7.327471962526033e-15
451,3285417.689714851,3285417.6897148555,6189197.764988655,6189197.764988727,9284654.835616438,1.4173579474095883e-15,0.6666050461290772,0.6666050461290849,7.66053886991358e-15
455,3384604.2139816587,3384604.213981662,6090812.24069043,6090812.240690478,9284654.835616438,9.630753863889856e-16,0.6560084729618321,0.6560084729618373,5.218048215738236e-15
460,3759245.9025135064,3759245.9025135175,5737128.111074223,5737128.111074299,9284654.835616438,2.9729023280741845e-15,0.6179150665963682,0.6179150665963763,8.104628079763643e-15
473,3553805.4267011047,3553805.42670112,5928732.42692431,5928732.426924391,9284654.835616438,4.324047221521628e-15,0.6385517320666969,0.6385517320667057,8.770761894538737e-15
493,3553985.1305070645,3553985.1305070766,5928158.133032701,5928158.133032776,9284654.835616438,3.406652820821968e-15,0.6384898779749966,0.6384898779750047,8.104628079763643e-15
503,3587221.4618970877,3587221.4618970957,5895102.982042167,5895102.982042224,9284654.835616438,2.206789284775603e-15,0.6349296862849693,0.6349296862849754,6.106226635438361e-15
541,3482923.06090619,3482923.0609061965,6000679.477551825,6000679.477551898,9284654.835616438,1.8717777878826195e-15,0.6463007601028844,0.6463007601028923,7.882583474838611e-15
604,3543727.8003152106,3543727.800315218,5942508.301073763,5942508.301073841,9284654.835616438,2.102469776674469e-15,0.6400354570293749,0.6400354570293834,8.43769498715119e-15
611,3696173.167709476,3696173.167709473,5792352.042364908,5792352.042364964,9284654.835616438,-7.559082318585905e-16,0.6238629378170455,0.6238629378170515,5.995204332975845e-15
620,3680550.994287685,3680550.99428769,5812723.5222708685,5812723.522270939,9284654.835616438,1.3917139494426352e-15,0.6260570398344747,0.6260570398344824,7.66053886991358e-15
632,3499269.0274254302,3499269.0274254363,5981233.801591599,5981233.801591661,9284654.835616438,1.7299603681670952e-15,0.6442063714255982,0.6442063714256049,6.661338147750939e-15
638,3529178.116565931,3529178.1165659395,5956890.7015462965,5956890.701546354,9284654.835616438,2.3750297929692826e-15,0.6415845076647698,0.641584507664776,6.217248937900877e-15
657,3850494.8587097838,3850494.8587097917,5655490.814824396,5655490.814824456,9284654.835616438,2.0559024683087427e-15,0.609122354568274,0.6091223545682806,6.5503158452884236e-15
682,3585590.4646164216,3585590.4646164263,5901278.49230527,5901278.492305326,9284654.835616438,1.2987018230414517e-15,0.6355948171242346,0.6355948171242406,5.995204332975845e-15
718,3502377.336282678,3502377.3362826896,5975717.4242181815,5975717.424218255,9284654.835616438,3.323894333741169e-15,0.6436122322280637,0.6436122322280716,7.882583474838611e-15
725,3736804.037192551,3736804.037192554,5763641.130975671,5763641.130975737,9284654.835616438,8.723039738533155e-16,0.6207706406991063,0.6207706406991134,7.105427357601002e-15
763,3487070.8168460615,3487070.8168460615,5999571.502170992,5999571.502171059,9284654.835616438,0,0.6461814260618834,0.6461814260618907,7.216449660063518e-15
856,3724121.607719421,3724121.6077194302,5772090.6096607465,5772090.609660802,9284654.835616438,2.5007845412056835e-15,0.6216806883890498,0.6216806883890558,5.995204332975845e-15
857,3669540.527530019,3669540.5275300294,5829758.703912199,5829758.703912256,9284654.835616438,2.7917795821881564e-15,0.6278918071944828,0.627891807194489,6.217248937900877e-15
871,3638713.0003521894,3638713.000352203,5854418.425498048,5854418.425498119,9284654.835616438,3.7112510194174084e-15,0.6305477725504864,0.6305477725504941,7.66053886991358e-15
876,3558318.542306918,3558318.542306922,5929532.652400263,5929532.652400324,9284654.835616438,1.0469243419805651e-15,0.6386379200284598,0.6386379200284664,6.661338147750939e-15
955,3400082.911839335,3400082.9118393473,6074609.337330944,6074609.337331008,9284654.835616438,3.560852421522751e-15,0.6542633457981027,0.6542633457981096,6.8833827526759706e-15
975,3316209.4743895233,3316209.474389524,6158065.753177729,6158065.753177792,9284654.835616438,2.808394891239265e-16,0.6632519853678411,0.6632519853678479,6.772360450213455e-15
999,3747251.419075405,3747251.4190754155,5746891.521845515,5746891.521845579,9284654.835616438,2.733883365450295e-15,0.6189666308111023,0.6189666308111091,6.8833827526759706e-15
1010,3940332.5956309545,3940332.5956309573,5573683.584228175,5573683.584228233,9284654.835616438,7.090690077645705e-16,0.6003113398300197,0.6003113398300259,6.217248937900877e-15
1030,3658413.5900777197,3658413.590077721,5829902.086137901,5829902.086137956,9284654.835616438,3.8185509306878015e-16,0.6279072501192055,0.6279072501192113,5.88418203051333e-15
1093,3439409.167175426,3439409.167175436,6038439.203796064,6038439.203796143,9284654.835616438,2.843188047176521e-15,0.6503676561709418,0.6503676561709504,8.548717289613705e-15
1176,3361302.954501871,3361302.9545018785,6113227.800938513,6113227.80093857,9284654.835616438,2.2165751489151233e-15,0.6584227318271263,0.6584227318271324,6.106226635438361e-15
1237,3707867.6744520497,3707867.6744520613,5785943.979421591,5785943.979421666,9284654.835616438,3.139683830387467e-15,0.6231727599852606,0.6231727599852686,7.993605777301127e-15
1258,3975696.17551068,3975696.175510689,5531012.090631579,5531012.090631641,9284654.835616438,2.342539604389789e-15,0.5957154238426094,0.5957154238426161,6.661338147750939e-15
1271,3526392.692550576,3526392.6925505907,5961561.4200673085,5961561.420067389,9284654.835616438,4.2256102745805985e-15,0.6420875655170762,0.6420875655170849,8.659739592076221e-15
1279,3722446.044091067,3722446.0440910636,5772433.5519438945,5772433.551943939,9284654.835616438,-8.75668571832879e-16,0.6217176248491788,0.6217176248491836,4.773959005888173e-15
1309,3591998.7767399414,3591998.7767399536,5898747.659735213,5898747.659735289,9284654.835616438,3.3706006662367452e-15,0.6353222348242067,0.635322234824215,8.326672684688674e-15
1313,3505061.2765149474,3505061.2765149586,5978263.691168541,5978263.69116861,9284654.835616438,3.1884951542124866e-15,0.6438864768817898,0.6438864768817972,7.438494264988549e-15
1340,3406676.74095121,3406676.7409512205,6072855.502441587,6072855.502441656,9284654.835616438,3.1438878480402887e-15,0.6540744497195291,0.6540744497195365,7.438494264988549e-15
1345,3787753.595123574,3787753.595123582,5714726.603927543,5714726.603927612,9284654.835616438,2.089956932368327e-15,0.6155023213146862,0.6155023213146936,7.438494264988549e-15
1351,3540312.685967903,3540312.685967907,5946154.144686581,5946154.144686638,9284654.835616438,1.0522489477348069e-15,0.6404281311435307,0.6404281311435369,6.217248937900877e-15
1356,3823150.453542829,3823150.453542852,5672466.3962441655,5672466.396244257,9284654.835616438,5.9682200204637096e-15,0.610950702710485,0.6109507027104949,9.880984919163893e-15
1364,3502315.180284189,3502315.180284203,5980981.730836097,5980981.730836172,9284654.835616438,3.988743987940748e-15,0.644179222246661,0.644179222246669,7.993605777301127e-15
1385,3768541.1632295335,3768541.1632295456,5734910.618427285,5734910.618427363,9284654.835616438,3.2127003382989976e-15,0.6176762324462357,0.6176762324462441,8.43769498715119e-15
1400,3834771.34636928,3834771.34636929,5666302.077267464,5666302.077267539,9284654.835616438,2.5500573959177694e-15,0.6102867772242025,0.6102867772242107,8.104628079763643e-15
1449,3499098.186256181,3499098.186256183,5982600.900508626,5982600.900508702,9284654.835616438,5.323214868754147e-16,0.6443536142624329,0.644353614262441,8.104628079763643e-15
1496,3522695.865409041,3522695.865409058,5959415.944925623,5959415.944925682,9284654.835616438,4.890989256146226e-15,0.6418564879832669,0.6418564879832732,6.328271240363392e-15
1552,3793612.5828475305,3793612.5828475473,5707871.635606709,5707871.635606772,9284654.835616438,4.4189558045211625e-15,0.6147640097196726,0.6147640097196794,6.772360450213455e-15
