week,week_start,calendar_year,entrants_total,entrants_susceptible,doses,effective,birth_cohort
575,2026-01-04,2026,2260.0238448140253,1444.0247070812275,2034.0214603326228,1039.6977890984838,2014
576,2026-01-11,2026,2259.8201449662574,1444.8444580824064,2033.8381304696318,1040.2880098193327,2014
577,2026-01-18,2026,2259.6165291277634,1445.6647322466313,2033.654876214987,1040.8786072175747,2014
578,2026-01-25,2026,2259.412975570192,1446.483018936015,2033.4716780131728,1041.4677736339308,2014
579,2026-02-01,2026,2259.2094624635833,1447.2991455586643,2033.2885162172252,1042.0553848022384,2014
580,2026-02-08,2026,2259.0059678788616,1448.1111483450725,2033.1053710909755,1042.6400268084524,2014
581,2026-02-15,2026,2258.8024697903415,1448.917639067043,2032.9222228113074,1043.2207001282711,2014
582,2026-02-22,2026,2258.598946078252,1449.717363457415,2032.7390514704268,1043.796501689339,2014
583,2026-03-01,2026,2258.3953745312815,1450.5102699338534,2032.5558370781534,1044.3673943523745,2014
584,2026-03-08,2026,2258.191732849128,1451.2931212676156,2032.3725595642154,1044.9310473126834,2014
585,2026-03-15,2026,2257.9879986450737,1452.0663310524476,2032.1891987805664,1045.4877583577625,2014
586,2026-03-22,2026,2257.784149448563,1452.8290723702737,2032.0057345037067,1046.036932106597,2014
587,2026-03-29,2026,2257.5801627078054,1453.5809156506905,2031.822146437025,1046.5782592684973,2014
588,2026-04-05,2026,2257.3760157923757,1454.3240405732909,2031.6384142131383,1047.1133092127695,2014
589,2026-04-12,2026,2257.1716859958365,1455.0609604067927,2031.4545173962529,1047.6438914928908,2014
590,2026-04-19,2026,2256.967150538365,1455.7930483043135,2031.2704354845284,1048.170994779106,2014
591,2026-04-26,2026,2256.762386569391,1456.5253017802568,2031.086147912452,1048.698217281785,2014
592,2026-05-03,2026,2256.557371170242,1457.2597663529614,2030.9016340532178,1049.2270317741322,2014
593,2026-05-10,2026,2256.352081356801,1457.9989110369881,2030.716873221121,1049.7592159466317,2014
594,2026-05-17,2026,2256.1464940821643,1458.7453915129795,2030.531844673948,1050.2966818893453,2014
595,2026-05-24,2026,2255.940586239313,1459.5019991325196,2030.3465276153815,1050.8414393754142,2014
596,2026-05-31,2026,2255.7343346637845,1460.2690055318205,2030.160901197406,1051.393683982911,2014
597,2026-06-07,2026,2255.527716136356,1461.0508381766626,2029.9749445227205,1051.9566034871973,2014
598,2026-06-14,2026,2255.320707385728,1461.8464046733507,2029.7886366471553,1052.5294113648126,2014
599,2026-06-21,2026,2255.113285091213,1462.6573540814936,2029.6019565820918,1053.1132949386756,2014
600,2026-06-28,2026,2254.9054258854317,1463.482145384576,2029.4148832968885,1053.7071446768948,2014
