state,week_start,week_of_year,lag_spec,lagged_temp,lagged_precip,log_precip
AC,2014-12-28,52,primary,NA,NA,NA
AC,2015-01-04,1,primary,NA,NA,NA
AC,2015-01-11,2,primary,24.65160254813938,NA,NA
AC,2015-01-18,3,primary,24.351581897227295,NA,NA
AC,2015-01-25,4,primary,24.307503426166427,NA,NA
AC,2015-02-01,5,primary,24.64497293122974,NA,NA
AC,2015-02-08,6,primary,24.958186818904814,350.5450399394107,5.862337839427191
AC,2015-02-15,7,primary,25.10845942810578,318.4685862333091,5.766658947335214
AC,2015-02-22,8,primary,24.627847618597592,335.2536359506722,5.817865744093786
AC,2015-03-01,9,primary,24.559658687520162,388.5690324840193,5.965041083198619
AC,2015-03-08,10,primary,24.76076324378709,375.43020769964164,5.93073265874087
AC,2015-03-15,11,primary,24.821515130778067,366.0194736354037,5.905414908323698
AC,2015-03-22,12,primary,24.73356755435155,398.65943877478026,5.990612781395489
AC,2015-03-29,13,primary,24.574573785851335,435.78202126061524,6.079434263465956
AC,2015-04-05,14,primary,24.49356324658907,369.71085146136727,5.915422382621061
AC,2015-04-12,15,primary,24.617743760458907,351.4613498959418,5.864940970555525
AC,2015-04-19,16,primary,24.42590543980239,356.9908910745852,5.880507542151259
AC,2015-04-26,17,primary,24.514515312308642,349.59568099554065,5.85963365351662
AC,2015-05-03,18,primary,24.319915072272046,291.96219405511323,5.6800435701632885
AC,2015-05-10,19,primary,24.064525169849215,278.9885150844542,5.634748584772486
AC,2015-05-17,20,primary,23.941129712067937,280.42355918770676,5.639860862525201
AC,2015-05-24,21,primary,23.935759539795168,265.4814833400943,5.5853047602917805
AC,2015-05-31,22,primary,24.187255188890617,241.62302647186337,5.491508907388554
AC,2015-06-07,23,primary,24.338153787089837,217.54703788489647,5.387001267728096
AC,2015-06-14,24,primary,24.137590035560642,204.19108087178705,5.323941646814861
AC,2015-06-21,25,primary,23.956755374597574,170.74669815621425,5.146020706208574
AC,2015-06-28,26,primary,24.016614541363293,120.39734874081431,4.799069039349149
AC,2015-07-05,27,primary,23.69481546046102,93.3162402119377,4.546653393389837
AC,2015-07-12,28,primary,23.988030572954386,79.11684589765764,4.383486142794271
AC,2015-07-19,29,primary,23.90686385517312,65.38342109463134,4.195447342996802
AC,2015-07-26,30,primary,24.980058541828875,55.87075483396898,4.040781234203526
AC,2015-08-02,31,primary,25.7199660805543,48.31943040436291,3.8983181292505993
AC,2015-08-09,32,primary,26.13140180708391,47.1251837317111,3.8738056104024494
AC,2015-08-16,33,primary,26.524761102670855,38.62192373455053,3.679382594724441
AC,2015-08-23,34,primary,26.648136409893905,40.32702629889775,3.721516675751162
AC,2015-08-30,35,primary,26.73878207831287,35.93033230087117,3.609033226952101
AC,2015-09-06,36,primary,26.86900107808656,55.76468698141296,4.038914424312787
AC,2015-09-13,37,primary,26.813646766331534,79.99988847268116,4.394447777791012
AC,2015-09-20,38,primary,27.411052294355056,87.54372013182828,4.483496442818759
AC,2015-09-27,39,primary,27.332261417492862,79.10591900982962,4.383349746597997
AC,2015-10-04,40,primary,27.577689475374463,92.42794320706726,4.5371904782959005
AC,2015-10-11,41,primary,26.984006023103305,92.07689629695872,4.533425993410583
AC,2015-10-18,42,primary,27.165718973395705,83.88023992942789,4.441241320991505
AC,2015-10-25,43,primary,27.01797081033502,100.31834323344542,4.61826747317828
AC,2015-11-01,44,primary,26.534177347249024,118.41783394600141,4.782628552836792
AC,2015-11-08,45,primary,26.06639140971316,127.54490971641037,4.856278335233688
AC,2015-11-15,46,primary,26.053157624528403,221.3387583577489,5.404202157359494
AC,2015-11-22,47,primary,26.787400396508467,229.34566347695866,5.439581065404669
AC,2015-11-29,48,primary,26.793216208681134,225.8273584216277,5.424189192539951
AC,2015-12-06,49,primary,26.480175853427216,232.72570757362564,5.454148237949524
AC,2015-12-13,50,primary,26.434551452788416,239.26391991106553,5.481737985448014
AC,2015-12-20,51,primary,26.13987104784389,159.9911107468811,5.081349150707892
AC,2015-12-27,52,primary,25.84035221519357,183.8586580832683,5.219591522712958
AC,2016-01-03,53,primary,25.630820864175774,215.81349548855883,5.379037516191593
AC,2016-01-10,1,primary,25.944295913537786,238.3967315200948,5.478122140232405
AC,2016-01-17,2,primary,26.36872130713804,263.19048403775315,5.576670373414402
AC,2016-01-24,3,primary,26.699350132246675,279.92079837903054,5.638072773302411
AC,2016-01-31,4,primary,26.43861453358398,261.0858277847649,5.568672037080954
AC,2016-02-07,5,primary,26.09127486508791,241.26595912702157,5.490036127350281
AC,2016-02-14,6,primary,25.86367645899981,248.64609815960196,5.520044307581949
AC,2016-02-21,7,primary,25.929704567974834,249.2874686769518,5.522610131970488
AC,2016-02-28,8,primary,25.881761746461724,244.07858697998245,5.501578922294817
AC,2016-03-06,9,primary,25.563164076783014,263.99204204227976,5.579699795506179
AC,2016-03-13,10,primary,25.469616079015243,320.47795035248936,5.772928957663154
AC,2016-03-20,11,primary,25.510109156929992,317.4065454518147,5.763329011082468
AC,2016-03-27,12,primary,25.385957787646767,312.5917128739473,5.748091862342479
AC,2016-04-03,13,primary,25.65847350900085,323.60472842710203,5.782608221909397
AC,2016-04-10,14,primary,25.509038183089604,325.6652226358219,5.788935862484151
AC,2016-04-17,15,primary,25.888958977698042,257.3348729221643,5.554256700366179
AC,2016-04-24,16,primary,24.88226071381802,264.0388319514673,5.579876350916835
AC,2016-05-01,17,primary,24.570398772468668,237.29499699475764,5.473509389317617
AC,2016-05-08,18,primary,24.14745032258884,193.85383931574913,5.2722497355462
AC,2016-05-15,19,primary,24.590547984821118,152.74519271370252,5.035296639295059
AC,2016-05-22,20,primary,24.52496597398595,161.442973124374,5.090327005558591
AC,2016-05-29,21,primary,24.462754966843026,118.73311475570831,4.7852652222213115
AC,2016-06-05,22,primary,24.218254309828563,105.5495456476237,4.668610094318018
AC,2016-06-12,23,primary,23.77933145189881,96.01059138582133,4.574820162087188
AC,2016-06-19,24,primary,23.551057295336406,100.33936975177576,4.618474980882735
AC,2016-06-26,25,primary,23.767791512953693,70.62929807968416,4.271504181327812
AC,2016-07-03,26,primary,24.480250347184594,42.85466244461684,3.780881040295096
AC,2016-07-10,27,primary,25.194272979422287,37.046062216524355,3.6387975892419986
AC,2016-07-17,28,primary,25.260638009087515,37.32478494660807,3.6460968134337994
AC,2016-07-24,29,primary,25.74414919203465,23.98809180694897,3.218399383666073
AC,2016-07-31,30,primary,26.176387704256275,21.250879951911447,3.102381556230746
AC,2016-08-07,31,primary,26.365927679880542,20.410409218156538,3.063877215831195
AC,2016-08-14,32,primary,26.67360672399038,14.806271275403487,2.7604067774473156
AC,2016-08-21,33,primary,25.92803085754261,34.450677698664464,3.568142369824025
AC,2016-08-28,34,primary,25.91695612447703,41.35310137044996,3.746041650304578
AC,2016-09-04,35,primary,24.730270984836913,62.14092790940313,4.145369179084627
AC,2016-09-11,36,primary,25.43779577629268,96.6621379767947,4.58151395043561
AC,2016-09-18,37,primary,25.492063314343262,101.62894863079431,4.6311200433373365
AC,2016-09-25,38,primary,26.216747289704806,102.85554143577257,4.6430009088963375
AC,2016-10-02,39,primary,25.527240488392362,167.59417586165543,5.127494500852798
AC,2016-10-09,40,primary,25.660755239196146,175.00964997383588,5.17053882293187
AC,2016-10-16,41,primary,26.009769673568176,203.09913547656743,5.318605834023229
AC,2016-10-23,42,primary,25.85778203563015,229.09530872639,5.438493608856038
AC,2016-10-30,43,primary,25.661391710619913,239.76239298074745,5.483810525908908
AC,2016-11-06,44,primary,25.26397547558025,206.07871726951433,5.3330989976428445
AC,2016-11-13,45,primary,25.349320497613252,212.06036014032767,5.361575506505136
AC,2016-11-20,46,primary,25.57968837712758,209.64471240317064,5.350172886772079
AC,2016-11-27,47,primary,25.602670507359974,226.4685815156223,5.427012125625843
AC,2016-12-04,48,primary,25.81203101063263,213.61698543947256,5.368854976363025
AC,2016-12-11,49,primary,25.67465027572522,222.87242666545885,5.4110763657998335
AC,2016-12-18,50,primary,25.508683920184,231.77341558530367,5.450065515115422
AC,2016-12-25,51,primary,25.39685099750593,238.219926080413,5.477383321618733
AC,2017-01-01,52,primary,25.179406447089235,237.90849228080526,5.47608060112904
AC,2017-01-08,1,primary,24.864686852421727,267.9856214114599,5.594657926171222
AC,2017-01-15,2,primary,24.58916949919265,292.39603492306736,5.681523351381256
AC,2017-01-22,3,primary,24.41299987029441,332.55850543519995,5.8098182785611865
AC,2017-01-29,4,primary,24.54464410638024,350.1748881240769,5.861284356140933
AC,2017-02-05,5,primary,24.91719149933456,405.51089595796986,6.007610732953285
AC,2017-02-12,6,primary,25.119246344727703,413.20144075073193,6.026352427349282
AC,2017-02-19,7,primary,24.932801328907132,393.00820736571626,5.976371739958426
AC,2017-02-26,8,primary,24.642543927944423,380.9294582438458,5.945235927270901
AC,2017-03-05,9,primary,24.657275074654212,382.8415253097339,5.950229772900011
AC,2017-03-12,10,primary,24.697821047476967,344.98815677692954,5.846404545503488
AC,2017-03-19,11,primary,24.57094778005084,347.2445487434762,5.852904959252336
AC,2017-03-26,12,primary,24.649604988255742,369.6363126478094,5.915221292450577
AC,2017-04-02,13,primary,25.135834417800957,366.3797513926338,5.906396058014096
AC,2017-04-09,14,primary,25.30253970554355,337.19103880957204,5.823610939394252
AC,2017-04-16,15,primary,25.17373981031137,298.0573075975652,5.700635219231353
AC,2017-04-23,16,primary,24.501165305365497,277.1814960522987,5.628273764165453
AC,2017-04-30,17,primary,24.43141919856961,262.1553276850234,5.5727444574053075
AC,2017-05-07,18,primary,24.56467311846461,240.67181162357434,5.4875806554368065
AC,2017-05-14,19,primary,24.975230876805384,217.8638408525403,5.38844980519453
AC,2017-05-21,20,primary,25.0505623641577,217.3817389359316,5.3862446274442775
AC,2017-05-28,21,primary,24.556379981030634,211.8960754247716,5.360804137839305
AC,2017-06-04,22,primary,24.358560540169652,183.43969606040437,5.217322559432161
AC,2017-06-11,23,primary,23.893811068739446,149.5373151474615,5.014210994635742
AC,2017-06-18,24,primary,23.5003912634427,142.21469345801046,4.96434485720971
AC,2017-06-25,25,primary,23.57216552978721,118.40669575549722,4.7825352777404175
AC,2017-07-02,26,primary,23.856588106413795,91.65768900516144,4.528911939089972
AC,2017-07-09,27,primary,24.50037174017087,67.99034773406272,4.233966606899898
AC,2017-07-16,28,primary,23.59979900770642,61.365567754802974,4.133013324277162
AC,2017-07-23,29,primary,24.121215652374655,33.75393804006948,3.548292890484106
AC,2017-07-30,30,primary,24.648665948842087,34.85430250694819,3.5794635739853224
AC,2017-08-06,31,primary,26.305122525438538,22.137706151549427,3.141463587705388
AC,2017-08-13,32,primary,26.363726774611468,11.78978268228784,2.548646624225745
AC,2017-08-20,33,primary,26.235504176460655,12.736410879437633,2.6200500357451832
AC,2017-08-27,34,primary,26.19644689631998,35.14821385809647,3.587627538202813
