parameter,q,mu_lambda,cumulative_latent_infections,S_end_2025,lambda_2015,lambda_2016,lambda_2017,lambda_2018,lambda_2019,lambda_2020,lambda_2021,lambda_2022,lambda_2023,lambda_2024,lambda_2025
q,1,0.03366999233538839,-0.4280485224471028,0.42691054124327493,0.0548989566391094,-0.2051986029619751,-0.30192358593763075,0.04494764573699897,0.040444778664161726,0.07545337319344271,0.06697365849521171,-0.04729580492725365,0.015020854877682517,0.04287236809949546,0.0897372245516441
mu_lambda,0.03366999233538839,1,0.07958439971086513,-0.08140268524440937,0.09215454003023338,0.026716712282871306,0.01610255257920463,0.13501826967300634,0.09356714331362628,0.14569745849429888,0.11369954949693617,-0.008269156477072373,0.09521801461805886,0.12011462165125014,0.14668599265324658
cumulative_latent_infections,-0.4280485224471028,0.07958439971086513,1,-0.9998231045136162,0.1156964164312446,0.4400629805589698,0.7676045793664249,0.14476123231614815,0.13046226078684345,0.08537520169054959,0.09153793797752567,0.2349510386042244,0.18233599072204562,0.14005352989840822,0.08310030577173005
S_end_2025,0.42691054124327493,-0.08140268524440937,-0.9998231045136162,1,-0.11319464402249287,-0.4341534390756634,-0.7597315907131744,-0.14548506330278899,-0.13224280924836104,-0.089276601582202,-0.09500465114031795,-0.23999966616257234,-0.18932328261533043,-0.14443118200951602,-0.08967050453833993
lambda_2015,0.0548989566391094,0.09215454003023338,0.1156964164312446,-0.11319464402249287,1,0.3452140343568509,-0.001969453331553733,0.2268450646049467,0.10610839581891945,0.1129692953304314,0.17098943663728605,-0.009500326249997382,0.09404482250234718,0.08681284320963392,0.17591206150462912
lambda_2016,-0.2051986029619751,0.026716712282871306,0.4400629805589698,-0.4341534390756634,0.3452140343568509,1,0.2424642742830316,0.13887836952777924,0.04673684344702621,-0.008104194534914424,0.031105588458523344,0.042457781376081825,0.023422656000051372,0.019717693989312342,0.02664482469331472
lambda_2017,-0.30192358593763075,0.01610255257920463,0.7676045793664249,-0.7597315907131744,-0.001969453331553733,0.2424642742830316,1,0.15857638916078323,-0.0073645776425945815,-0.06338902987916768,-0.026381988735447524,0.06650697875233849,-0.01560025551152405,0.18328505280205368,-0.062330188426030914
lambda_2018,0.04494764573699897,0.13501826967300634,0.14476123231614815,-0.14548506330278899,0.2268450646049467,0.13887836952777924,0.15857638916078323,1,0.1859556042672284,0.1777221169986505,0.25044682283927006,0.009545165551684054,0.09612619272428545,0.46138682898430583,0.1795464671563351
lambda_2019,0.040444778664161726,0.09356714331362628,0.13046226078684345,-0.13224280924836104,0.10610839581891945,0.04673684344702621,-0.0073645776425945815,0.1859556042672284,1,0.10091348805997195,0.16857494082142238,-0.008716265111489891,0.08991670828526767,0.12829544126721532,0.11906356580165053
lambda_2020,0.07545337319344271,0.14569745849429888,0.08537520169054959,-0.089276601582202,0.1129692953304314,-0.008104194534914424,-0.06338902987916768,0.1777221169986505,0.10091348805997195,1,0.214011019667209,0.019338487147494032,0.09601537434964923,0.15279819124945737,0.1755867537907741
lambda_2021,0.06697365849521171,0.11369954949693617,0.09153793797752567,-0.09500465114031795,0.17098943663728605,0.031105588458523344,-0.026381988735447524,0.25044682283927006,0.16857494082142238,0.214011019667209,1,-0.01349307579040653,0.10236916612247476,0.1633125811023265,0.1749652016610447
lambda_2022,-0.04729580492725365,-0.008269156477072373,0.2349510386042244,-0.23999966616257234,-0.009500326249997382,0.042457781376081825,0.06650697875233849,0.009545165551684054,-0.008716265111489891,0.019338487147494032,-0.01349307579040653,1,0.09918971391378148,0.056105040965582484,0.027055875802034873
lambda_2023,0.015020854877682517,0.09521801461805886,0.18233599072204562,-0.18932328261533043,0.09404482250234718,0.023422656000051372,-0.01560025551152405,0.09612619272428545,0.08991670828526767,0.09601537434964923,0.10236916612247476,0.09918971391378148,1,0.10217459854647552,0.1266171476520219
lambda_2024,0.04287236809949546,0.12011462165125014,0.14005352989840822,-0.14443118200951602,0.08681284320963392,0.019717693989312342,0.18328505280205368,0.46138682898430583,0.12829544126721532,0.15279819124945737,0.1633125811023265,0.056105040965582484,0.10217459854647552,1,0.14023619748612548
lambda_2025,0.0897372245516441,0.14668599265324658,0.08310030577173005,-0.08967050453833993,0.17591206150462912,0.02664482469331472,-0.062330188426030914,0.1795464671563351,0.11906356580165053,0.1755867537907741,0.1749652016610447,0.027055875802034873,0.1266171476520219,0.14023619748612548,1
