week_start,cases_confirmed,individual_confirmed
2014-12-28,0,0
2015-01-04,0,0
2015-01-11,0,0
2015-01-18,0,0
2015-01-25,0,0
2015-02-01,0,0
2015-02-08,0,0
2015-02-15,0,0
2015-02-22,0,0
2015-03-01,2,2
2015-03-08,2,2
2015-03-15,1,1
2015-03-22,1,1
2015-03-29,1,1
2015-04-05,1,1
2015-04-12,1,1
2015-04-19,2,2
2015-04-26,3,3
2015-05-03,0,0
2015-05-10,3,3
2015-05-17,0,0
2015-05-24,1,1
2015-05-31,1,1
2015-06-07,0,0
2015-06-14,1,1
2015-06-21,0,0
2015-06-28,0,0
2015-07-05,0,0
2015-07-12,0,0
2015-07-19,0,0
2015-07-26,0,0
2015-08-02,0,0
2015-08-09,0,0
2015-08-16,0,0
2015-08-23,0,0
2015-08-30,0,0
2015-09-06,0,0
2015-09-13,0,0
2015-09-20,0,0
2015-09-27,0,0
2015-10-04,0,0
2015-10-11,0,0
2015-10-18,0,0
2015-10-25,0,0
2015-11-01,0,0
2015-11-08,0,0
2015-11-15,0,0
2015-11-22,0,0
2015-11-29,1,1
2015-12-06,0,0
2015-12-13,4,4
2015-12-20,0,0
2015-12-27,0,0
2016-01-03,4,4
2016-01-10,7,7
2016-01-17,5,5
2016-01-24,6,6
2016-01-31,22,22
2016-02-07,7,7
2016-02-14,20,20
2016-02-21,20,20
2016-02-28,55,55
2016-03-06,113,113
2016-03-13,132,132
2016-03-20,166,166
2016-03-27,231,231
2016-04-03,353,353
2016-04-10,484,484
2016-04-17,679,679
2016-04-24,1046,1046
2016-05-01,1585,1585
2016-05-08,2067,2067
2016-05-15,1924,1924
2016-05-22,2005,2005
2016-05-29,2236,2236
2016-06-05,2036,2036
2016-06-12,1872,1872
2016-06-19,1490,1490
2016-06-26,1426,1426
2016-07-03,1238,1238
2016-07-10,1224,1224
2016-07-17,961,961
2016-07-24,838,838
2016-07-31,706,706
2016-08-07,563,563
2016-08-14,510,510
2016-08-21,435,435
2016-08-28,360,360
2016-09-04,268,268
2016-09-11,270,270
2016-09-18,205,205
2016-09-25,203,203
2016-10-02,193,193
2016-10-09,196,196
2016-10-16,221,221
2016-10-23,183,183
2016-10-30,230,230
2016-11-06,268,268
2016-11-13,379,379
2016-11-20,499,499
2016-11-27,304,304
2016-12-04,222,222
2016-12-11,174,174
2016-12-18,134,134
2016-12-25,87,87
2017-01-01,223,223
2017-01-08,255,255
2017-01-15,333,333
2017-01-22,356,356
2017-01-29,440,440
2017-02-05,558,558
2017-02-12,645,645
2017-02-19,863,863
2017-02-26,1404,1404
2017-03-05,2051,2051
2017-03-12,3107,3107
2017-03-19,3871,3871
2017-03-26,6245,6245
2017-04-02,7292,7292
2017-04-09,8668,8668
2017-04-16,9912,9912
2017-04-23,8682,8682
2017-04-30,10301,10301
2017-05-07,8831,8831
2017-05-14,8098,8098
2017-05-21,5601,5601
2017-05-28,4645,4645
2017-06-04,3374,3374
2017-06-11,2264,2264
2017-06-18,1818,1818
2017-06-25,1432,1432
2017-07-02,1246,1246
2017-07-09,905,905
2017-07-16,775,775
2017-07-23,607,607
2017-07-30,530,530
2017-08-06,375,375
2017-08-13,308,308
2017-08-20,207,207
2017-08-27,136,136
2017-09-03,121,121
2017-09-10,110,110
2017-09-17,92,92
2017-09-24,84,84
2017-10-01,84,84
2017-10-08,48,48
2017-10-15,50,50
2017-10-22,46,46
2017-10-29,67,67
2017-11-05,67,67
2017-11-12,49,49
2017-11-19,35,35
2017-11-26,40,40
2017-12-03,46,46
2017-12-10,45,45
2017-12-17,25,25
2017-12-24,19,19
2017-12-31,35,35
2018-01-07,41,41
2018-01-14,48,48
2018-01-21,46,46
2018-01-28,46,46
2018-02-04,43,43
2018-02-11,44,44
2018-02-18,52,52
2018-02-25,77,77
2018-03-04,58,58
2018-03-11,70,70
2018-03-18,48,48
2018-03-25,45,45
2018-04-01,74,74
2018-04-08,78,78
2018-04-15,69,69
2018-04-22,38,38
2018-04-29,36,36
2018-05-06,25,25
2018-05-13,34,34
2018-05-20,33,33
2018-05-27,27,27
2018-06-03,23,23
2018-06-10,28,28
2018-06-17,30,30
2018-06-24,12,12
2018-07-01,27,27
2018-07-08,25,25
2018-07-15,23,23
2018-07-22,20,20
2018-07-29,12,12
2018-08-05,17,17
2018-08-12,17,17
2018-08-19,15,15
