year,observed_cases,baseline_foi_equiv_mid,lambda_median,lambda_q025,lambda_q25,lambda_q75,lambda_q975,attack_prob_median,attack_prob_q025,attack_prob_q975,latent_infections_median,latent_infections_q025,latent_infections_q975,S_start_prop_median,S_start_prop_q025,S_start_prop_q975,S_end_prop_median,S_end_prop_q025,S_end_prop_q975,expected_cases_median,predicted_cases_median,predicted_cases_q025,predicted_cases_q975
2015,25,0.012299640243754014,4.988114224870213e-5,1.577632222301398e-5,2.9964606688480537e-5,0.002072887767949292,0.026899835775442377,4.9879898205162484e-5,1.5776197777496775e-5,0.026541257532280746,438.2893543445333,138.6237700299693,233215.20383759204,1,1,1,0.9999508674168305,0.9738563912507433,0.9999844601657724,42.805175549503176,41,9,38154.124999999985
2016,30862,0.012299640243754014,0.030848970219103752,0.007883020900849731,0.02092702879675259,0.04333153320018475,0.10487015482909562,0.03037799617596211,0.00785203137199248,0.09955856691165535,268292.18906765804,69066.13988313984,867814.2962197108,0.9999508674168305,0.9738563912507433,0.9999844601657724,0.9679906500167794,0.8940808024078468,0.9877606739645826,29130.181505280278,27129,235.92500000000007,125321.07499999998
2017,107387,0.012299640243754014,0.10754374841426889,0.012446984327400051,0.061051097118878406,0.15652612046315378,0.4063938164186665,0.1019627659524289,0.012369841015630049,0.3339521701115989,873576.5714119049,107259.84883666235,2815356.241584087,0.9679906500167794,0.8940808024078468,0.9877606739645826,0.8675851223161968,0.6204515428363825,0.9662015697406657,95700.72435428647,90863,255.92500000000007,326645.4499999999
2018,1481,0.012299640243754014,0.0025829260339149535,9.316842471431252e-4,0.0017240793560845034,0.0055447253934854815,0.029360883579533224,0.00257959315061397,9.312503641327021e-4,0.028934040527082705,18867.190088442596,7272.8585902054165,227552.33024096725,0.8675851223161968,0.6204515428363825,0.9662015697406657,0.8663420123475878,0.6191508349535474,0.9567349582145458,1862.0827384772977,1646.5,76.95000000000005,36941.52499999992
2019,1205,0.012299640243754014,0.002085479293047741,7.605906652329912e-4,0.0014049292027671439,0.005026967637898056,0.030839994093518876,0.0020833061920198645,7.603014894352139e-4,0.030369292689408838,15420.707471192387,6015.148373279379,237718.45758881967,0.8663420123475878,0.6191508349535474,0.9567349582145458,0.8645115247707189,0.6138750369366013,0.9487280713954368,1521.9499491946112,1351,72,41467.8749999999
2020,1017,0.012299640243754014,0.0017794386755728775,6.362596086535196e-4,0.0011800839855559007,0.004601526075474291,0.029515827383688867,0.0017778564131958117,6.360572384035133e-4,0.029084489526314847,13173.041373373711,5057.85862829291,231257.1648847816,0.8645115247707189,0.6138750369366013,0.9487280713954368,0.8632184878241553,0.6146795089890832,0.9405368370276325,1296.1822402088205,1147,60.950000000000045,39894.04999999994
2021,1318,0.012299640243754014,0.002249375449788564,8.19702566061683e-4,0.0015066118220005895,0.0050902913975820335,0.02691667633749738,0.0022468475006222673,8.193667016887174e-4,0.026557651057900283,16837.353845855127,6531.108697602935,201597.60112847658,0.8632184878241553,0.6146795089890832,0.9405368370276325,0.8616411832109478,0.6129772599379614,0.9348527995577575,1645.0950787691186,1466,48.97500000000002,36021.94999999996
2022,50986,0.012299640243754014,0.055420256039627025,0.009745057259874127,0.03436532939328593,0.08023970820637708,0.19486898895717314,0.05391253454522018,0.009697728056066416,0.17705752642362363,417180.96164264926,79097.70762949018,1234358.905534286,0.8616411832109478,0.6129772599379614,0.9348527995577575,0.8129395732391091,0.5289266556835129,0.9184443799786511,45563.4820039802,42746,195.95000000000005,154559.84999999995
2023,2008,0.012299640243754014,0.003494276419016654,0.001246814975831221,0.002382379713106934,0.006693560059773845,0.03355728812208349,0.0034881785391620837,0.0012460380248580324,0.03300048793982174,24506.925494519834,9339.699983316461,233385.8534782042,0.8129395732391091,0.5289266556835129,0.9184443799786511,0.8111413754713457,0.5252156592541566,0.9110395952761119,2437.8507308320786,2167.5,58.97500000000002,38298.32499999999
2024,892,0.012299640243754014,0.0017057134902209912,5.870527460699655e-4,0.0010973814531415119,0.004592353499070123,0.02935357083379674,0.001704259587717105,5.868804643200507e-4,0.02892693934727847,11872.3831825276,4471.591316208581,216820.03272166295,0.8111413754713457,0.5252156592541566,0.9110395952761119,0.8101356140903121,0.5260764887775272,0.9048053851168337,1149.995531505886,1042,71.97500000000002,38980.724999999955
2025,690,0.012299640243754014,0.001285731268422208,4.397424952591326e-4,8.407052290516918e-4,0.0036064386316135002,0.02552019923539519,0.0012849050700993114,4.396458226965725e-4,0.02519731137341543,8989.359662404391,3345.811917682108,183067.46284044144,0.8101356140903121,0.5260764887775272,0.9048053851168337,0.8093999154297182,0.528911942906636,0.9011070111563876,883.349947225113,794.5,41.97500000000002,29985.57499999999
