"state","reconstruction","period_id","period_type","episode_id","period_start","period_end","reported_cases","N_start","N_end","lambda_q025","lambda_q25","lambda_median","lambda_q75","lambda_q975","lambda_max_abs","attack_prob_q025","attack_prob_q25","attack_prob_median","attack_prob_q75","attack_prob_q975","attack_prob_max_abs","latent_infections_q025","latent_infections_q25","latent_infections_median","latent_infections_q75","latent_infections_q975","latent_infections_max_abs","S_start_q025","S_start_q25","S_start_median","S_start_q75","S_start_q975","S_start_max_abs","S_end_q025","S_end_q25","S_end_median","S_end_q75","S_end_q975","S_end_max_abs","S_prop_start_q025","S_prop_start_q25","S_prop_start_median","S_prop_start_q75","S_prop_start_q975","S_prop_start_max_abs","S_prop_end_q025","S_prop_end_q25","S_prop_end_median","S_prop_end_q75","S_prop_end_q975","S_prop_end_max_abs","q_q025","q_q25","q_median","q_q75","q_q975","q_max_abs","C_rep_q025","C_rep_q25","C_rep_median","C_rep_q75","C_rep_q975","C_rep_max_abs","accounting_error_q025","accounting_error_q25","accounting_error_median","accounting_error_q75","accounting_error_q975","accounting_error_max_abs"
"Ceara","filtered","CE_period_01","inter_episode",NA,2015-01-04,2016-01-31,908,8787379.56164384,8850599.80327869,0.00176830340108888,0.00332874860278226,0.00470150391755192,0.0071511282150096,0.0189627152558643,0.10956527379589,0.00176674087377172,0.00332321446144085,0.00469046914811228,0.00712561973864595,0.0187840540471882,0.103776337467609,15525.0226449024,29202.3468374245,41216.9327266428,62615.5252554233,165062.612619074,911922.066845118,8787379.56164384,8787379.56164384,8787379.56164384,8787379.56164384,8787379.56164384,8787379.56164384,8687060.10330261,8788561.98592178,8809763.14920485,8821666.88525072,8835218.01872322,8846799.46357996,1,1,1,1,1,1,0.981522190177947,0.992990552195804,0.995386001516111,0.99673096528246,0.998262063035573,0.999570612186383,0.00674183409636201,0.0193976666503697,0.0269699674935355,0.0368872943623543,0.0682950222466016,0.318030823050702,347.975,780,1000,1350,3813.025,48788,-1.86264514923096e-09,0,0,0,1.86264514923096e-09,1.86264514923096e-09
"Ceara","filtered","CE_period_02","epidemic","CE_wave_01",2016-02-07,2018-06-17,194224,8850599.80327869,8975622.22465753,0.339517010562508,0.753876077560261,1.05045653082563,1.3768468592443,2.08998987407478,9.74307342220573,0.287885816206183,0.529460832781579,0.650221971790136,0.747626931173216,0.876311611412573,0.999941300152096,2529877.85129125,4662058.2276052,5725327.10582597,6581936.0222027,7712000.59362056,8801744.09090718,8723241.11499418,8795612.0127442,8812335.04281544,8822939.63383674,8835584.57839356,8846799.46357996,1371802.63623645,2481408.78857923,3322223.46734753,4364078.32410675,6438870.78522441,8156540.69213485,0.985610163026767,0.993787111409769,0.995676591269095,0.996874768935807,0.998303479400395,0.999570612186383,0.152836494440227,0.276460921200804,0.370138513430393,0.486214572636301,0.71737319419881,0.908743760374347,0.0160992435252425,0.023802498483064,0.0286632909520719,0.0348606084801375,0.0573823799318027,0.148478634860645,31501,113336,158907,201343.25,341290.374999999,2786148,-1.86264514923096e-09,-1.86264514923096e-09,0,1.86264514923096e-09,1.86264514923096e-09,3.72529029846191e-09
"Ceara","filtered","CE_period_03","inter_episode",NA,2018-06-24,2019-01-27,1593,8975622.22465753,9011706.49589041,0.00491555806045039,0.011446394002073,0.0171422170444358,0.0241737187486,0.0438387605533375,0.103040588833366,0.00490349647615974,0.0113811332714764,0.0169961252122522,0.0238838746431407,0.0428917313599534,0.0979096420567892,23007.9790408748,40409.4936687212,52292.0142016749,67215.448121427,120476.508515385,450530.248944347,1371802.63623645,2481408.78857923,3322223.46734753,4364078.32410675,6438870.78522441,8156540.69213485,1395897.59979172,2492536.56424968,3326170.16980885,4363738.97843078,6433689.62225968,8154462.88985513,0.152836494440227,0.276460921200804,0.370138513430393,0.486214572636301,0.71737319419881,0.908743760374347,0.154898253780046,0.276588742141829,0.369094374225978,0.484230037942399,0.713925783667458,0.904874442323859,0.0163431134957433,0.0234917096169542,0.0284115773539963,0.0349808620544414,0.0585849406495045,0.154452076684242,349.975,1099,1470,1884,3826,62124,-1.86264514923096e-09,-1.86264514923096e-09,0,1.86264514923096e-09,1.86264514923096e-09,5.58793544769287e-09
"Ceara","filtered","CE_period_04","epidemic","CE_wave_02",2019-02-03,2019-06-30,4364,9011706.49589041,9036504.73770492,0.0224132615412868,0.0479989543710583,0.0684524687691111,0.0972455629912215,0.226783106775938,1.06061303247853,0.0221639504921277,0.0468652162432394,0.0661621544764455,0.0926668286240616,0.20290635222577,0.653756513246776,82504.9645073225,139983.306000134,187441.013825029,268104.018785056,783148.369352164,4420046.48136407,1349066.49132961,2381581.31998564,3140416.53955041,4070198.24819717,6146795.28617654,8027209.61357179,1253323.81882695,2229726.12759264,2953307.67647777,3834823.15113295,5751151.12065005,7894777.1756093,0.149701556741203,0.264276396603874,0.348481893077913,0.451656770008355,0.682090044652437,0.890753556746707,0.13869564120267,0.246746523386314,0.326819689935541,0.424370180998424,0.636435357207672,0.873653852320605,0.0151763481206045,0.0221611036260031,0.0271218667457399,0.0334821082995225,0.0504436724010746,0.136203263800102,1538,3665,4792,6673.25,21872.475,271471,-1.86264514923096e-09,0,0,0,1.86264514923096e-09,3.72529029846191e-09
"Ceara","filtered","CE_period_05","inter_episode",NA,2019-07-07,2020-01-26,1431,9036504.73770492,9067085.55737705,0.00588373908168018,0.0124776791665687,0.01780321096336,0.0246219599579978,0.0438346013382718,0.160255335917238,0.00586646378658536,0.0124001557004879,0.0176456700990347,0.0243213120699007,0.0428877505319697,0.14807376617376,20521.8410342677,36917.7595310312,49423.275043443,65850.4189710552,121579.393415177,423077.909318968,1253323.81882695,2229726.12759264,2953307.67647777,3834823.15113295,5751151.12065005,7894777.1756093,1283135.80417533,2239089.90174638,2953722.26486287,3827947.53180174,5715123.94561666,7892854.2622656,0.13869564120267,0.246746523386314,0.326819689935541,0.424370180998424,0.636435357207672,0.873653852320605,0.141515793146053,0.246947035800786,0.325763140335617,0.422180590177325,0.630315431507844,0.870495178667848,0.0141091085266219,0.0214607674538491,0.0270273215323795,0.0345127910932839,0.0535550210709564,0.148294236392574,307,960,1312,1683,3449.05,19380,-1.86264514923096e-09,-1.86264514923096e-09,0,1.86264514923096e-09,1.86264514923096e-09,5.58793544769287e-09
"Ceara","filtered","CE_period_06","epidemic","CE_wave_03",2020-02-02,2020-03-08,692,9067085.55737705,9073201.72131148,0.00626757447614308,0.011149527882928,0.0160073158933172,0.0255830036903567,0.118811501726219,0.841301970574035,0.00624797420129551,0.0110876022577598,0.0158798796882341,0.0252585315278265,0.11202483318464,0.568851185225509,15020.5260827207,27743.8124247352,41221.9801111193,73201.6103883176,433306.377247477,4024383.60050024,1235904.47131927,2126009.20712627,2785798.07097169,3610726.80994783,5599271.36709971,7892854.2622656,1218982.56631843,2089852.46738235,2737609.88723982,3525975.0776424,5372160.25937374,7748736.37936466,0.136306695629858,0.234475476565514,0.30724294519369,0.398223529170309,0.617538163908038,0.870495178667848,0.134349770209037,0.230332415345029,0.30172479035814,0.388614205430973,0.592090909513828,0.854024479711956,0.0128805591622335,0.0201094581322389,0.0255452429555369,0.0333607366837054,0.0527450521526754,0.118229785499155,341,681,933,1619,11859.4,295394,-3.72529029846191e-09,0,0,0,3.72529029846191e-09,5.58793544769287e-09
"Ceara","filtered","CE_period_07","inter_episode",NA,2020-03-15,2020-04-12,351,9073201.72131148,9078298.52459016,0.00260497364325847,0.00463184777101308,0.00630960273034249,0.00858845701202287,0.0174745559791337,0.0475302128720885,0.00260158364344323,0.00462113730691549,0.00628973898643659,0.00855168157173822,0.0173227613925179,0.0464183377433888,6507.04057270162,11814.483961797,16433.496054155,23718.2881629854,57684.2823927662,263002.479035593,1218982.56631843,2089852.46738235,2737609.88723982,3525975.0776424,5372160.25937374,7748736.37936466,1218891.28317609,2085610.41568491,2729766.64032309,3510923.06950212,5343518.72138824,7720906.31183181,0.134349770209037,0.230332415345029,0.30172479035814,0.388614205430973,0.592090909513828,0.854024479711956,0.134264287506575,0.229735826601832,0.30069143826115,0.386738006025267,0.588603548001245,0.850479447323568,0.0125446905595455,0.0199173883709567,0.0255070870954161,0.0335984427173042,0.05385499254533,0.120549016937724,109,288,386,545,1666.075,20030,-3.72529029846191e-09,0,0,0,3.72529029846191e-09,5.58793544769287e-09
"Ceara","filtered","CE_period_08","epidemic","CE_wave_04",2020-04-19,2020-08-02,1661,9078298.52459016,9093266.12054794,0.0129635535879191,0.0234572255778505,0.0330542245923888,0.0489792629396828,0.140387924924075,0.805733909627426,0.0128798886489081,0.0231842434844626,0.032513903367806,0.0477991246543955,0.130978942744294,0.553240075197705,30051.0513106573,57297.9764723847,85326.342568951,133937.794311826,475869.31767307,2470308.86858491,1215732.5504943,2082054.44820556,2737374.23398746,3534640.5487805,5414595.36630886,7632132.57076309,1193966.5347834,2025967.57481394,2660579.02169956,3413854.5836599,5162092.75504919,7544179.52810693,0.133916344257823,0.229344126827946,0.301529436003101,0.38935055277223,0.596432839440395,0.840700771195188,0.131302275657083,0.222798667492628,0.292587832185784,0.375426666106874,0.567683018028525,0.829644643420194,0.0130076332896516,0.0204666516819703,0.0268511248560771,0.0358681412593456,0.0574104391278636,0.102700281234052,625.975,1490,2003,3113.25,14474.625,222191,-3.72529029846191e-09,-1.86264514923096e-09,0,1.86264514923096e-09,3.72529029846191e-09,5.58793544769287e-09
"Ceara","filtered","CE_period_09","inter_episode",NA,2020-08-09,2021-04-04,1518,9093266.12054794,9120512.13424657,0.00699747671580467,0.0139728444365923,0.0196296735040373,0.0274591066314586,0.0491648889206839,0.129173119444305,0.00697305138070225,0.0138756773391546,0.0194382659317681,0.0270855325100931,0.0479758614768213,0.121178188768076,18110.1022631921,35245.4088486905,50681.1526713499,71115.427153208,134883.433714526,411247.726801565,1193966.5347834,2025967.57481394,2660579.02169956,3413854.5836599,5162092.75504919,7544179.52810693,1231224.34997713,2043028.01893402,2667554.80534841,3403777.7342667,5122391.81258667,7535005.72158058,0.131302275657083,0.222798667492628,0.292587832185784,0.375426666106874,0.567683018028525,0.829644643420194,0.134995089294823,0.22400365120536,0.292478620288439,0.373200285703899,0.561634230313956,0.826160374622761,0.0117462576695057,0.0198257368397679,0.0270081316360671,0.0375681783064748,0.0634819511513512,0.116720047287747,269,930,1323,1748.25,3645.325,29447,-3.72529029846191e-09,-1.86264514923096e-09,0,1.86264514923096e-09,3.72529029846191e-09,7.45058059692383e-09
"Ceara","filtered","CE_period_10","epidemic","CE_wave_05",2021-04-11,2021-08-22,3344,9120512.13424657,9134924.56164384,0.0206378943493173,0.0377865935979314,0.0563085586905164,0.0836689867618304,0.198491069879015,0.857480278717844,0.0204263904807093,0.0370815880772519,0.0547525734093227,0.0802643496054294,0.180032897092378,0.575770322721608,44714.978057698,91197.5870453095,141614.882483197,219312.328495532,626849.868985287,2793816.15334249,1209692.42173591,2029082.62989715,2662823.0435224,3443194.59082046,5260782.39442948,7053375.78272419,1171647.54542359,1934512.96972144,2521988.18245355,3252919.49323049,4968586.84371772,6486131.87910329,0.132634264823095,0.222474637392144,0.291959815888384,0.377522066758907,0.576807784145781,0.773353039709195,0.128260232201934,0.211771094185514,0.276081993390837,0.356097028637653,0.543911097479674,0.710036720646559,0.0118444581060185,0.021622483836251,0.0308811836904351,0.0437968140327909,0.0742827698923555,0.133574637477413,966.975,2755,3697.5,5454.75,18375.65,176832,-3.72529029846191e-09,-1.86264514923096e-09,0,1.86264514923096e-09,3.72529029846191e-09,7.45058059692383e-09
