"period_id","period_type","episode_id","period_start","period_end","reported_cases","C_rep_q025","C_rep_median","C_rep_q975"
"CE_period_01","inter_episode",NA,2015-01-04,2016-01-31,908,284.975,977,4104.025
"CE_period_02","epidemic","CE_wave_01",2016-02-07,2018-06-17,194224,27034,154509,360326.025
"CE_period_03","inter_episode",NA,2018-06-24,2019-01-27,1593,338.975,1431.5,3928.85
"CE_period_04","epidemic","CE_wave_02",2019-02-03,2019-06-30,4364,1548.7,4885.5,26566.025
"CE_period_05","inter_episode",NA,2019-07-07,2020-01-26,1431,295.975,1306,3756.05
"CE_period_06","epidemic","CE_wave_03",2020-02-02,2020-03-08,692,375.95,986.5,12047.275
"CE_period_07","inter_episode",NA,2020-03-15,2020-04-12,351,113.975,411,2074.725
"CE_period_08","epidemic","CE_wave_04",2020-04-19,2020-08-02,1661,677.925,2041,13623.35
"CE_period_09","inter_episode",NA,2020-08-09,2021-04-04,1518,323,1403,4086.45
"CE_period_10","epidemic","CE_wave_05",2021-04-11,2021-08-22,3344,1117.425,3810,17483.225
"CE_period_11","inter_episode",NA,2021-08-29,2021-11-28,848,192,842,2743.25
"CE_period_12","epidemic","CE_wave_06",2021-12-05,2023-08-06,89068,11549.525,65770.5,143251.25
"CE_period_13","inter_episode",NA,2023-08-13,2024-01-14,1245,234.975,1143,3315.125
"CE_period_14","epidemic","CE_wave_07",2024-01-21,2024-08-18,8692,2032.975,8770.5,32033.25
"CE_period_15","inter_episode",NA,2024-08-25,2024-12-29,931,185.975,890.5,2690.1
