"state","reconstruction","period_id","period_type","episode_id","period_start","period_end","reported_cases","N_start","N_end","lambda_q025","lambda_q25","lambda_median","lambda_q75","lambda_q975","lambda_max_abs","attack_prob_q025","attack_prob_q25","attack_prob_median","attack_prob_q75","attack_prob_q975","attack_prob_max_abs","latent_infections_q025","latent_infections_q25","latent_infections_median","latent_infections_q75","latent_infections_q975","latent_infections_max_abs","S_start_q025","S_start_q25","S_start_median","S_start_q75","S_start_q975","S_start_max_abs","S_end_q025","S_end_q25","S_end_median","S_end_q75","S_end_q975","S_end_max_abs","S_prop_start_q025","S_prop_start_q25","S_prop_start_median","S_prop_start_q75","S_prop_start_q975","S_prop_start_max_abs","S_prop_end_q025","S_prop_end_q25","S_prop_end_median","S_prop_end_q75","S_prop_end_q975","S_prop_end_max_abs","q_q025","q_q25","q_median","q_q75","q_q975","q_max_abs","C_rep_q025","C_rep_q25","C_rep_median","C_rep_q75","C_rep_q975","C_rep_max_abs","accounting_error_q025","accounting_error_q25","accounting_error_median","accounting_error_q75","accounting_error_q975","accounting_error_max_abs"
"Ceara","smoothed","CE_period_01","inter_episode",NA,2015-01-04,2016-01-31,908,8787379.56164384,8850599.80327869,0.00270656083674065,0.00457812957745457,0.00603175024697732,0.00843208792584945,0.0180914865216413,0.0701064863271236,0.00270290140281426,0.00456766591613192,0.00601359576090299,0.00839663757815229,0.0179288177778186,0.0677054620011897,23751.4205442285,40137.8141158348,52843.7484813469,73784.441440786,157547.32690524,594953.593000907,8787379.56164384,8787379.56164384,8787379.56164384,8787379.56164384,8787379.56164384,8787379.56164384,8694506.05094256,8777496.11720063,8798243.60562056,8810832.31157329,8827067.51981258,8839969.37136618,1,1,1,1,1,1,0.982363483175648,0.991740256287379,0.994084446385348,0.995506802636059,0.997341165119974,0.998798902656454,0.0100025738478373,0.0160511958456823,0.0199515376929638,0.0253108604410055,0.0428600053153571,0.0800505234139597,284.975,734,977,1384,4104.025,21112,-1.86264514923096e-09,0,0,0,1.86264514923096e-09,1.86264514923096e-09
"Ceara","smoothed","CE_period_02","epidemic","CE_wave_01",2016-02-07,2018-06-17,194224,8850599.80327869,8975622.22465753,0.396160519591717,0.949493468301644,1.27797578584417,1.64399855007661,2.51244971297908,4.61347204070207,0.327101298485339,0.613062952553171,0.721399321786003,0.806794046014102,0.918930563896521,0.990082674894823,2866854.9655731,5388720.68442764,6342455.64042942,7097124.34495258,8078241.2369295,8727116.2248487,8694506.05094256,8777496.11720063,8798243.60562056,8810832.31157329,8827067.51981258,8839969.37136618,1002812.06910316,1968339.00517782,2701042.62224375,3637247.95596319,6094559.90408044,8080975.50952829,0.982363483175648,0.991740256287379,0.994084446385348,0.995506802636059,0.997341165119974,0.998798902656454,0.111726189449937,0.219298334523312,0.300930961067361,0.405236301720795,0.679012524316995,0.900324825094409,0.0149424566654956,0.0216748935939473,0.0255689011898702,0.0298585034251121,0.0427864498707381,0.0792704819058725,27034,105521,154509,204567.5,360326.025,2117660,-1.86264514923096e-09,-1.86264514923096e-09,0,0,1.86264514923096e-09,3.72529029846191e-09
"Ceara","smoothed","CE_period_03","inter_episode",NA,2018-06-24,2019-01-27,1593,8975622.22465753,9011706.49589041,0.00643754236641478,0.0136571580537393,0.0188754960031871,0.0252034912493807,0.0459363826932468,0.105543358175087,0.00641686577969157,0.0135643220961534,0.0186984693995787,0.024888534809592,0.0448972786680885,0.100164543222327,21143.3033115866,38035.9362071396,47043.4502372692,59149.6517299294,118650.51239164,520284.27609842,1002812.06910316,1968339.00517782,2701042.62224375,3637247.95596319,6094559.90408044,8080975.50952829,1040847.71377343,1989541.29091607,2712316.77298433,3639797.84087169,6068443.87925083,8069226.15013476,0.111726189449937,0.219298334523312,0.300930961067361,0.405236301720795,0.679012524316995,0.900324825094409,0.115499513244033,0.220772979215796,0.300977042940893,0.403896625187642,0.673395641770868,0.895415996272687,0.0193557434331478,0.0267858827421223,0.0313481975273149,0.0357925331166675,0.0480488528091583,0.0849981491209823,338.975,1023,1431.5,1870,3928.85,16730,-1.86264514923096e-09,-1.86264514923096e-09,0,1.86264514923096e-09,1.86264514923096e-09,3.72529029846191e-09
"Ceara","smoothed","CE_period_04","epidemic","CE_wave_02",2019-02-03,2019-06-30,4364,9011706.49589041,9036504.73770492,0.0260124672483345,0.0484026601866708,0.0661211551133596,0.091944731480278,0.226344581814947,1.2020930949616,0.0256770575929014,0.0472499246922507,0.0639825458687442,0.0878444382571252,0.2025567294679,0.699435556862371,74889.08687662,117121.692331473,154417.529002364,235892.145818393,717027.29120578,3886593.56800126,1040847.71377343,1989541.29091607,2712316.77298433,3639797.84087169,6068443.87925083,8069226.15013476,991309.739783865,1891105.41332043,2572006.19296335,3407986.29420869,5656760.73899901,7464913.11106834,0.115499513244033,0.220772979215796,0.300977042940893,0.403896625187642,0.673395641770868,0.895415996272687,0.109700572130241,0.209273991240194,0.284624007580235,0.377135451496953,0.625989904636038,0.826084125195099,0.0206183755183831,0.028522518875598,0.0334087569433858,0.038485299437055,0.0523418802874521,0.0870667602531037,1548.7,3694.5,4885.5,7216.5,26566.025,137006,-1.86264514923096e-09,0,0,0,1.86264514923096e-09,3.72529029846191e-09
"Ceara","smoothed","CE_period_05","inter_episode",NA,2019-07-07,2020-01-26,1431,9036504.73770492,9067085.55737705,0.00617021361960185,0.0119696735734441,0.0159763953359679,0.0208480476251714,0.0356245214374077,0.0681967884108964,0.00615121694241609,0.0118983219987024,0.0158494496752534,0.020632229476353,0.0349974367238877,0.0659233599679961,17699.4694653583,29928.598954941,37719.483954533,49258.6381048405,100130.413098703,197480.148915159,991309.739783865,1891105.41332043,2572006.19296335,3407986.29420869,5656760.73899901,7464913.11106834,1032036.52678777,1919744.72595549,2584254.57729974,3418962.24803788,5663947.65572879,7477971.31340044,0.109700572130241,0.209273991240194,0.284624007580235,0.377135451496953,0.625989904636038,0.826084125195099,0.113822299376903,0.211726768630033,0.285014910353104,0.377074003151562,0.624671248538133,0.824738143925013,0.0215456107599758,0.0300854309267405,0.0355491782399434,0.0415696333102004,0.0567643531324767,0.0891016914603942,295.975,934.75,1306,1695.25,3756.05,17598,-1.86264514923096e-09,-1.86264514923096e-09,0,1.86264514923096e-09,1.86264514923096e-09,5.58793544769287e-09
"Ceara","smoothed","CE_period_06","epidemic","CE_wave_03",2020-02-02,2020-03-08,692,9067085.55737705,9073201.72131148,0.00524069321264545,0.00884623854990621,0.012640332700248,0.0205205868949485,0.098044996052882,0.943187793778175,0.00522698473081228,0.00880722570535217,0.0125607792397417,0.0203114723014988,0.0933918894496928,0.610615422946237,11711.7048009496,19319.2338585773,29173.1338230395,58031.9701458182,353203.476925303,3089732.43158932,1032036.52678777,1919744.72595549,2584254.57729974,3418962.24803788,5663947.65572879,7477971.31340044,1025009.19833577,1899765.85051135,2545821.88594921,3356055.10885554,5442263.93101381,7234537.06596243,0.113822299376903,0.211726768630033,0.285014910353104,0.377074003151562,0.624671248538133,0.824738143925013,0.11297105804759,0.209382080203189,0.28058693768149,0.369886530900411,0.599817363062789,0.797352168305669,0.0220633142487091,0.0310426292139883,0.0370212420488195,0.0438965732449097,0.0609061707353602,0.0914522369217962,375.95,706,986.5,1772.75,12047.275,180228,-3.72529029846191e-09,0,0,0,3.72529029846191e-09,5.58793544769287e-09
"Ceara","smoothed","CE_period_07","inter_episode",NA,2020-03-15,2020-04-12,351,9073201.72131148,9078298.52459016,0.00227972106206271,0.00376774175535829,0.00493658393180436,0.00662535017846013,0.0142622541929862,0.0631742904510295,0.0022771244714085,0.00376065272239945,0.00492441902720619,0.00660345093524245,0.0141610300088708,0.061220160931997,5272.03887659212,8371.722925544,11418.5317977225,17732.347768367,48607.6309504356,199930.738351679,1025009.19833577,1899765.85051135,2545821.88594921,3356055.10885554,5442263.93101381,7234537.06596243,1029794.39853308,1902513.29094402,2540866.85313654,3352117.91574235,5422845.21969781,7193331.72731768,0.11297105804759,0.209382080203189,0.28058693768149,0.369886530900411,0.599817363062789,0.797352168305669,0.113434736227687,0.209567165674353,0.279883597818926,0.369245173714276,0.597341583889215,0.792365629730426,0.022177560618447,0.0313954431221443,0.0375397001251789,0.0445856758619063,0.062208224760069,0.094262410817753,113.975,308,411,593,2074.725,13557,-3.72529029846191e-09,0,0,0,3.72529029846191e-09,5.58793544769287e-09
"Ceara","smoothed","CE_period_08","epidemic","CE_wave_04",2020-04-19,2020-08-02,1661,9078298.52459016,9093266.12054794,0.010914920182547,0.0184448865974441,0.0250208087268031,0.0367628456917471,0.111498165290239,0.638607789653601,0.0108555685764336,0.0182758207383672,0.0247103827172168,0.0360952975808582,0.105506966451223,0.471972962739215,25007.0970624532,40594.7596652519,56474.0062735401,96889.2926536995,378893.563070125,3181071.58879876,1029794.39853308,1902513.29094402,2540866.85313654,3352117.91574235,5422845.21969781,7193331.72731768,1033909.87563923,1878470.04861498,2502517.98280237,3276382.33420821,5234529.46866657,7104376.04778909,0.113434736227687,0.209567165674353,0.279883597818926,0.369245173714276,0.597341583889215,0.792365629730426,0.113700606793297,0.206578145158451,0.275205624648712,0.360308638367529,0.57564899116261,0.781278800554997,0.0224520475608947,0.0319563755381378,0.0385282151692264,0.0460853494291365,0.0651591618815555,0.099730958225349,677.925,1503.75,2041,3218.25,13623.35,696754,-3.72529029846191e-09,-1.86264514923096e-09,0,1.86264514923096e-09,3.72529029846191e-09,5.58793544769287e-09
"Ceara","smoothed","CE_period_09","inter_episode",NA,2020-08-09,2021-04-04,1518,9093266.12054794,9120512.13424657,0.00611758157542801,0.0114457556673922,0.0149691843477872,0.0189946730329831,0.0325775065693566,0.0764502421886065,0.0060989072715802,0.0113805022013176,0.0148577030573503,0.018815411030625,0.0320525749778134,0.0736009912708151,15329.1778804384,26573.8438308342,34776.4773126268,46748.2152494689,96325.6152729162,311220.770533643,1033909.87563923,1878470.04861498,2502517.98280237,3276382.33420821,5234529.46866657,7104376.04778909,1076879.12564646,1913831.58809505,2526265.89314114,3282386.28032907,5195901.43800867,7087581.01751207,0.113700606793297,0.206578145158451,0.275205624648712,0.360308638367529,0.57564899116261,0.781278800554997,0.118072221142374,0.209838171357594,0.276987284919591,0.359890566671585,0.56969404365996,0.777103403097172,0.0231676753778136,0.0333692607708254,0.0410586919619971,0.0498436518728075,0.0734683292812545,0.11434699154235,323,998.75,1403,1853.25,4086.45,12049,-3.72529029846191e-09,-1.86264514923096e-09,0,1.86264514923096e-09,3.72529029846191e-09,7.45058059692383e-09
"Ceara","smoothed","CE_period_10","epidemic","CE_wave_05",2021-04-11,2021-08-22,3344,9120512.13424657,9134924.56164384,0.019178825314849,0.0305881485573121,0.0395864997829467,0.0547163769539267,0.144560260376478,0.735996929368153,0.0189960817767072,0.0301250647759138,0.0388131920553891,0.053246368935235,0.134597237827075,0.520972335895906,39167.6194283082,65909.2137524066,93131.7182660237,145023.589404098,476697.048937517,2392734.16606431,1076879.12564646,1913831.58809505,2526265.89314114,3282386.28032907,5195901.43800867,7087581.01751207,1062891.7761419,1865175.10011754,2456708.86278844,3173425.52077335,4911167.08526832,6620995.59323436,0.118072221142374,0.209838171357594,0.276987284919591,0.359890566671585,0.56969404365996,0.777103403097172,0.116354740421702,0.204180679055537,0.268935867637462,0.347394825141533,0.537625357727591,0.724800248601386,0.0233723765138183,0.0347960709983796,0.0439171874055991,0.0543591450496334,0.0836767271183724,0.13206339853579,1117.425,2867.75,3810,5517.25,17483.225,140257,-3.72529029846191e-09,-1.86264514923096e-09,0,1.86264514923096e-09,3.72529029846191e-09,7.45058059692383e-09
