wave_id,wave_order,major_epidemic_primary,start_week,peak_week,end_week,total_cases,duration_weeks,quiet_to_next_weeks
MT_wave_01,NA,FALSE,2015-01-11,2015-01-25,2015-03-08,7,8,16
MT_wave_02,NA,FALSE,2015-06-28,2015-07-05,2015-07-19,1,3,22
MT_wave_03,NA,FALSE,2015-12-20,2016-02-21,2016-04-03,13,15,3
MT_wave_04,NA,FALSE,2016-04-24,2016-05-08,2016-07-24,22,13,20
MT_wave_05,1,TRUE,2016-12-11,2017-03-26,2017-10-01,2929,42,11
MT_wave_06,2,TRUE,2017-12-17,2018-01-28,2019-08-18,13419,87,3
MT_wave_07,3,TRUE,2019-09-08,2020-02-02,2020-06-28,247,42,1
MT_wave_08,NA,FALSE,2020-07-05,2020-08-23,2020-09-20,9,11,7
MT_wave_09,NA,FALSE,2020-11-08,2021-04-25,2021-09-12,88,44,1
MT_wave_10,NA,FALSE,2021-09-19,2021-11-14,2021-12-05,14,11,3
MT_wave_11,NA,FALSE,2021-12-26,2022-04-03,2022-12-18,155,51,2
MT_wave_12,NA,FALSE,2023-01-01,2023-04-02,2023-06-25,142,25,28
MT_wave_13,4,TRUE,2024-01-07,2024-05-05,2024-10-06,19449,39,8
MT_wave_14,5,TRUE,2024-12-01,2025-01-26,2025-12-28,47331,56,NA
