state,year,observed_cases,latent_infections_total_q025,latent_infections_total_median,latent_infections_total_q975,reconstruction_status
AC,2015,0,318.9494704679148,1910.3169329925834,6780.67381142168,ok
AC,2016,63,1423.6804832115763,5068.214220786993,12504.810442953603,ok
AC,2017,69,2203.5686022104237,5109.544428386118,11518.452721139409,ok
AC,2018,237,2930.5418355480183,7610.797686094749,22866.29497656539,ok
AC,2019,46,1183.5239055188401,4212.243082069666,9473.937739113608,ok
AC,2020,49,2013.4980622350065,5107.197926102334,10910.571981483845,ok
AC,2021,208,3493.330001832923,7007.609959896532,18313.297082519886,ok
AC,2022,17,1262.3742535989704,4168.4275779443615,7465.780227623116,ok
AC,2023,68,2407.720717247097,5457.94370802482,10549.568119057072,ok
AC,2024,183,3037.3614634492633,7798.801232105654,19620.693246054005,ok
AC,2025,44,1237.9101208140155,4666.408768599957,11014.492691816704,ok
AL,2015,95,2255.3645710612877,13450.002896038619,31387.551199706257,ok
AL,2016,9304,15467.018556062803,44630.55524535118,115443.57293491557,ok
AL,2017,434,3237.598584964353,17286.17852948739,43890.421336730506,ok
AL,2018,192,2928.1214087725148,14672.865538883561,34952.29129073213,ok
AL,2019,1513,6453.119275920144,22520.52346545171,43044.31808865734,ok
AL,2020,146,2764.5094710177364,13338.110842779693,35342.103959916465,ok
AL,2021,527,3674.249255469595,17028.67968874694,40926.6373546517,ok
AL,2022,10479,18980.93930779283,49410.93867052079,151125.29002723887,ok
AL,2023,876,2907.0424380044606,19751.013997021553,45775.32087073431,ok
AL,2024,410,4053.3557220368766,16723.41762759393,44094.10499132221,ok
AL,2025,3916,13869.063562209456,27977.600473182218,58714.502147220424,ok
AM,2015,0,1481.2147815449139,18749.21423550381,53829.532611731585,ok
AM,2016,100,17445.75783361044,45042.64726516852,111600.49352590204,ok
AM,2017,88,8674.293925930077,41420.93175549101,88769.52311330763,ok
AM,2018,7,6640.812245339962,25893.942204945364,64459.593916839134,ok
AM,2019,46,10065.487309638149,37621.72891951594,77405.71918558325,ok
AM,2020,10,7825.52082631757,26558.4031303675,58712.301730104446,ok
AM,2021,122,19750.849612462483,44808.10848501109,98932.66450794219,ok
AM,2022,142,14107.005613132247,51872.64438052091,118253.85157421723,ok
AM,2023,192,19503.70058417729,61252.845711898946,144946.28411233862,ok
AM,2024,44,7921.289580516326,35045.07342626541,88797.00328283745,ok
AM,2025,160,24849.38223754397,50887.243316992885,130508.7020510468,ok
AP,2015,2,1137.3135718743374,3935.73200839171,8471.130435414416,ok
AP,2016,176,3857.575882909947,7833.159594060446,16447.577701066104,ok
AP,2017,217,3344.2029621860274,8524.757228786877,27285.103970103122,ok
AP,2018,170,2497.016574380655,7711.026561316506,16049.396265039737,ok
AP,2019,27,1318.1970237328287,5015.16498166559,11384.77007263549,ok
AP,2020,7,887.9090411890354,4436.413764532587,9265.494924688886,ok
AP,2021,76,1885.8040098407416,5872.610277530399,12561.596829227707,ok
AP,2022,25,1758.7279653704823,4520.72346921164,9039.06796338188,ok
AP,2023,41,1632.17326061617,5626.856727028195,10058.696342222007,ok
AP,2024,241,4292.596831366518,9396.573914123182,20828.1156423907,ok
AP,2025,60,2359.9501642033088,5682.965918570211,11764.694228968092,ok
BA,2015,254,16639.060713419043,90104.08339141583,168064.92017212074,ok
BA,2016,6549,51968.088472393276,132396.29909472982,227142.3258795929,ok
BA,2017,6323,62405.95298280755,140519.32842903025,203349.76129733503,ok
BA,2018,3266,28995.78399943773,103260.00265550253,208072.3266835887,ok
BA,2019,5900,41792.00659023732,130764.5771572633,235636.07505990833,ok
BA,2020,18947,95401.85997567553,170751.5294421065,380627.4891731953,ok
BA,2021,10085,61502.54042825468,144804.50114177814,283724.1915890139,ok
BA,2022,14599,75793.54922817094,159086.5321410477,309952.58494646265,ok
BA,2023,11714,65779.0350052915,148237.42481136782,254931.2129745626,ok
BA,2024,13392,83907.567757043,142510.65050473862,331923.5105577002,ok
BA,2025,1595,21073.43884434113,96138.23544391338,182236.26987395476,ok
CE,2015,25,3282.150191593685,61333.9977512973,133297.79426927777,ok
CE,2016,30862,47824.156278813316,124200.30947580084,324429.0895733201,ok
CE,2017,107421,76151.37225956991,191183.65695413924,633051.5838505992,ok
CE,2018,1454,6366.287241178965,75928.34860898681,165448.63596311872,ok
CE,2019,1202,7772.892979582754,72411.40944412629,145903.0099469772,ok
CE,2020,1013,6247.568974876809,76711.93029829071,167923.70750914584,ok
CE,2021,1318,7542.826073448215,81773.80653381288,185537.10193944024,ok
CE,2022,50986,47992.93174265328,142849.5642839332,398427.2450409531,ok
CE,2023,2017,7182.327211279429,86372.62808619521,157924.72843696323,ok
CE,2024,890,10195.305694953971,75967.27689413994,148143.02618704573,ok
CE,2025,683,4874.493909225477,73685.97931764262,160718.13032588118,ok
DF,2015,0,1424.4400977750038,11146.343687821523,46169.82682945595,ok
DF,2016,66,5342.124214678224,26044.7237225202,65188.56719910746,ok
DF,2017,40,3576.5654124299235,23228.011348806907,63085.83237470778,ok
DF,2018,11,2743.589998189809,19402.15499469497,62647.19977543289,ok
DF,2019,40,4501.116196389734,27430.310709042635,66801.92393648866,ok
DF,2020,58,9200.46318940329,25224.269780134135,65802.05512152243,ok
DF,2021,113,5590.451741602432,29803.440998204467,66109.40083068842,ok
DF,2022,476,22475.04551825508,57167.421570253624,133873.7876710333,ok
DF,2023,578,16119.344098473266,64526.57321236629,175193.96849545598,ok
DF,2024,355,16491.960683554233,44665.005637592156,152154.49393256858,ok
DF,2025,230,11564.488471692759,41538.84480769239,78771.39540286674,ok
ES,2015,3,2272.408235629259,17724.110060511033,60604.68247099352,ok
ES,2016,91,4073.7220645240523,23838.623273719008,66267.83339904418,ok
ES,2017,747,6875.820550114995,37548.462504932286,83761.81161962205,ok
ES,2018,549,5009.886647075986,35170.312947255734,93965.73870604188,ok
ES,2019,2168,12581.548260849859,47822.45222326574,117404.40888330064,ok
ES,2020,4001,15560.594096026838,51503.001731628916,120159.08793654614,ok
ES,2021,1,1425.8929930218774,17794.01660282728,64889.23023910349,ok
ES,2022,1088,6763.551610025064,36046.044579773385,93294.26876189855,ok
ES,2023,4942,17820.243083330097,63945.34507742827,172573.46647280047,ok
ES,2024,12856,27933.8375913162,121383.54419985988,295940.87145971926,ok
ES,2025,2177,16239.29945628878,47248.880671864536,122678.73299350365,ok
GO,2015,2,2662.8285549853263,32759.653904981045,84539.65603882402,ok
GO,2016,40,3586.1622781465926,45414.05414314951,99855.77788585552,ok
GO,2017,51,5491.265904099648,41576.30548766531,114966.0250618651,ok
