state,reconstruction_status,n_cells,grid_file
AC,ok,7836,C:/Users/user/OneDrive - London School of Hygiene and Tropical Medicine/Documents/GitHub/CHIK_CLIM/CHIK_CLIM/03_Output/tables/national_grid_susceptibility/allfoi_s1_spatial_scale_v2/grid_selected_years/brazil_chik_grid_susceptibility_AC_selected_years.rds
AL,ok,1298,C:/Users/user/OneDrive - London School of Hygiene and Tropical Medicine/Documents/GitHub/CHIK_CLIM/CHIK_CLIM/03_Output/tables/national_grid_susceptibility/allfoi_s1_spatial_scale_v2/grid_selected_years/brazil_chik_grid_susceptibility_AL_selected_years.rds
AM,ok,59039,C:/Users/user/OneDrive - London School of Hygiene and Tropical Medicine/Documents/GitHub/CHIK_CLIM/CHIK_CLIM/03_Output/tables/national_grid_susceptibility/allfoi_s1_spatial_scale_v2/grid_selected_years/brazil_chik_grid_susceptibility_AM_selected_years.rds
AP,ok,4748,C:/Users/user/OneDrive - London School of Hygiene and Tropical Medicine/Documents/GitHub/CHIK_CLIM/CHIK_CLIM/03_Output/tables/national_grid_susceptibility/allfoi_s1_spatial_scale_v2/grid_selected_years/brazil_chik_grid_susceptibility_AP_selected_years.rds
BA,ok,26698,C:/Users/user/OneDrive - London School of Hygiene and Tropical Medicine/Documents/GitHub/CHIK_CLIM/CHIK_CLIM/03_Output/tables/national_grid_susceptibility/allfoi_s1_spatial_scale_v2/grid_selected_years/brazil_chik_grid_susceptibility_BA_selected_years.rds
CE,ok,6954,C:/Users/user/OneDrive - London School of Hygiene and Tropical Medicine/Documents/GitHub/CHIK_CLIM/CHIK_CLIM/03_Output/tables/national_grid_susceptibility/allfoi_s1_spatial_scale_v2/grid_selected_years/brazil_chik_grid_susceptibility_CE_selected_years.rds
DF,ok,275,C:/Users/user/OneDrive - London School of Hygiene and Tropical Medicine/Documents/GitHub/CHIK_CLIM/CHIK_CLIM/03_Output/tables/national_grid_susceptibility/allfoi_s1_spatial_scale_v2/grid_selected_years/brazil_chik_grid_susceptibility_DF_selected_years.rds
ES,ok,2264,C:/Users/user/OneDrive - London School of Hygiene and Tropical Medicine/Documents/GitHub/CHIK_CLIM/CHIK_CLIM/03_Output/tables/national_grid_susceptibility/allfoi_s1_spatial_scale_v2/grid_selected_years/brazil_chik_grid_susceptibility_ES_selected_years.rds
GO,ok,16527,C:/Users/user/OneDrive - London School of Hygiene and Tropical Medicine/Documents/GitHub/CHIK_CLIM/CHIK_CLIM/03_Output/tables/national_grid_susceptibility/allfoi_s1_spatial_scale_v2/grid_selected_years/brazil_chik_grid_susceptibility_GO_selected_years.rds
MA,ok,15257,C:/Users/user/OneDrive - London School of Hygiene and Tropical Medicine/Documents/GitHub/CHIK_CLIM/CHIK_CLIM/03_Output/tables/national_grid_susceptibility/allfoi_s1_spatial_scale_v2/grid_selected_years/brazil_chik_grid_susceptibility_MA_selected_years.rds
MG,ok,28890,C:/Users/user/OneDrive - London School of Hygiene and Tropical Medicine/Documents/GitHub/CHIK_CLIM/CHIK_CLIM/03_Output/tables/national_grid_susceptibility/allfoi_s1_spatial_scale_v2/grid_selected_years/brazil_chik_grid_susceptibility_MG_selected_years.rds
MS,ok,17960,C:/Users/user/OneDrive - London School of Hygiene and Tropical Medicine/Documents/GitHub/CHIK_CLIM/CHIK_CLIM/03_Output/tables/national_grid_susceptibility/allfoi_s1_spatial_scale_v2/grid_selected_years/brazil_chik_grid_susceptibility_MS_selected_years.rds
MT,ok,42687,C:/Users/user/OneDrive - London School of Hygiene and Tropical Medicine/Documents/GitHub/CHIK_CLIM/CHIK_CLIM/03_Output/tables/national_grid_susceptibility/allfoi_s1_spatial_scale_v2/grid_selected_years/brazil_chik_grid_susceptibility_MT_selected_years.rds
PA,ok,51818,C:/Users/user/OneDrive - London School of Hygiene and Tropical Medicine/Documents/GitHub/CHIK_CLIM/CHIK_CLIM/03_Output/tables/national_grid_susceptibility/allfoi_s1_spatial_scale_v2/grid_selected_years/brazil_chik_grid_susceptibility_PA_selected_years.rds
PB,ok,2654,C:/Users/user/OneDrive - London School of Hygiene and Tropical Medicine/Documents/GitHub/CHIK_CLIM/CHIK_CLIM/03_Output/tables/national_grid_susceptibility/allfoi_s1_spatial_scale_v2/grid_selected_years/brazil_chik_grid_susceptibility_PB_selected_years.rds
PE,ok,4589,C:/Users/user/OneDrive - London School of Hygiene and Tropical Medicine/Documents/GitHub/CHIK_CLIM/CHIK_CLIM/03_Output/tables/national_grid_susceptibility/allfoi_s1_spatial_scale_v2/grid_selected_years/brazil_chik_grid_susceptibility_PE_selected_years.rds
PI,ok,11720,C:/Users/user/OneDrive - London School of Hygiene and Tropical Medicine/Documents/GitHub/CHIK_CLIM/CHIK_CLIM/03_Output/tables/national_grid_susceptibility/allfoi_s1_spatial_scale_v2/grid_selected_years/brazil_chik_grid_susceptibility_PI_selected_years.rds
PR,ok,10194,C:/Users/user/OneDrive - London School of Hygiene and Tropical Medicine/Documents/GitHub/CHIK_CLIM/CHIK_CLIM/03_Output/tables/national_grid_susceptibility/allfoi_s1_spatial_scale_v2/grid_selected_years/brazil_chik_grid_susceptibility_PR_selected_years.rds
