UF,episode_id,q_scenario,identification_status,t_pre,t_pre_matched,S_pre_median,S_pre_lower,S_pre_upper,temperature_summary,precipitation_summary,R_climate_hat,R_climate_lower,R_climate_upper,R_climate_log_fit,R_climate_log_se,climate_in_training_support,Re_pred_median,Re_pred_lower,Re_pred_upper,episode_start,episode_end,total_cases,Re_obs_median,Re_obs_lower,Re_obs_upper,peak_cases
BA,BA_wave_03,NA,serology_anchored,2016-10-09,2016-10-09,0.996445774449418,0.9928184985596615,0.9982244079344553,25.279626021770966,52.39099819806233,2.083984179137377,1.7954785570561291,2.4188481905435086,0.7342815322775524,0.07602547972855517,YES,2.080727414690238,1.7931594924788852,2.4120049948454216,2016-10-16,2017-10-22,6655,1.1734559394706694,0.8080042933447998,1.784439942802693,352
BA,BA_wave_04,NA,serology_anchored,2017-11-05,2017-11-05,0.9931083242153873,0.986442170600914,0.9964195906801211,25.551601926775152,75.10376829703148,2.134275495238801,1.8569921876092297,2.452962333374864,0.7581272425971728,0.07100467715868462,YES,2.1205435041010685,1.8366401562353856,2.430220904374791,2017-11-12,2018-12-16,3383,1.3694102602910896,0.9280394745589228,2.074337148908747,150
BA,BA_wave_05,NA,serology_anchored,2019-01-27,2019-01-27,0.9914650722325486,0.9832779156827569,0.9955545066303227,27.391357869779863,63.423220161958,2.1623593866165836,1.8316530892702518,2.5527749464565535,0.7711999341798724,0.08468420796488785,YES,2.135600819968773,1.8126333503233156,2.532270174448891,2019-02-03,2019-12-15,5711,1.0722555596883585,0.7318522067965211,1.6286951722682403,361
BA,BA_wave_06,NA,serology_anchored,2020-01-12,2020-01-12,0.9886489761597916,0.977626628200433,0.9941162116515697,26.976120391518567,107.13066634272444,2.2368639498300835,1.9353949147545335,2.5852916590328254,0.8050748625226357,0.07385891150615549,YES,2.21108294488403,1.9144988192466676,2.548842326847018,2020-01-19,2020-12-20,18760,1.459620676899967,1.0379580909196708,2.1244308749921457,1179
BA,BA_wave_07,NA,serology_anchored,2020-12-27,2020-12-27,0.9796207202104494,0.9595613608925009,0.989377073851255,25.806957180303357,44.00209284875285,2.082374393181971,1.790819637327649,2.4213957804543633,0.7335087778410005,0.07695681879755285,YES,2.040118735201755,1.7348327258359433,2.3567713575697695,2021-01-03,2021-10-24,9546,2.8219228702929304,1.996569018758673,4.115175892497589,830
BA,BA_wave_08,NA,serology_anchored,2021-11-28,2021-11-28,0.9746214328459872,0.949654636319666,0.9868209496117745,24.846061829588503,273.920096444018,2.5278306695686816,2.205719664124792,2.8969809708558367,0.9273614920668045,0.06954472353567094,YES,2.4654733339828607,2.1383366799027312,2.8269106507232187,2021-12-05,2022-10-02,13897,1.9509810772173637,1.3806884022790014,2.8416752801552843,1013
BA,BA_wave_09,NA,serology_anchored,2022-10-30,2022-10-30,0.967604557467594,0.9358814040759866,0.9831260148215557,24.690483965403306,232.93113671959748,2.431768043541922,2.135747801475226,2.768817466887745,0.8886185827221699,0.06622537707422856,YES,2.345443306082749,2.0547607029764077,2.6727238739957015,2022-11-06,2023-12-24,12629,1.8480614056425169,1.3062062337117826,2.7519658300357652,434
BA,BA_wave_10,NA,serology_anchored,2024-01-14,2024-01-14,0.9616984231762588,0.924375076064747,0.9801868046306028,26.039862858419454,199.69730096567724,2.401491571235573,2.1275895070725235,2.710655296778034,0.8760900323250246,0.06178590829855373,YES,2.3086933676243167,2.03669920350455,2.608452296210568,2024-01-21,2025-12-28,14855,2.536639210128031,1.826916662081009,3.658050871406114,1436
CE,CE_wave_03,0.05,conditional_fixed_q_sensitivity,2017-02-05,2017-02-05,0.9260779994101839,0.9156178782582871,0.9344809591670615,25.634766051909775,249.3804551331594,2.497905775276807,2.2021187420381465,2.833422713793487,0.9154526909266368,0.06430241298403998,YES,2.3135095605567066,2.0426765086130767,2.631109867181028,2017-02-12,2018-12-16,106695,2.0970421266971613,1.4914926315291894,3.088328977604876,8682
CE,CE_wave_03,0.10,conditional_fixed_q_sensitivity,2017-02-05,2017-02-05,0.96270320502355,0.9574154279417791,0.9668065496281741,25.634766051909775,249.3804551331594,2.497905775276807,2.2021187420381465,2.833422713793487,0.9154526909266368,0.06430241298403998,YES,2.3997460757655213,2.1119906646965423,2.7347237482051243,2017-02-12,2018-12-16,106695,2.0970421266971613,1.4914926315291894,3.088328977604876,8682
