opportunity_id,outcome_followup_start,outcome_followup_end_6w,outcome_followup_end_8w,outcome_followup_complete_8w,major_wave_onset_next_6w,major_wave_onset_next_8w,n_major_wave_onsets_next_8w,outcome_episode_id,outcome_episode_onset,outcome_episode_end,outcome_Re_early_6_median,outcome_Re_early_6_lower,outcome_Re_early_6_upper,outcome_reported_cumulative_incidence_per_100k
BA_20161009,2016-10-16,2016-11-20,2016-12-04,TRUE,TRUE,TRUE,1,BA_wave_03,2016-10-16,2017-10-22,1.1734559394706694,0.8080042933447998,1.784439942802693,45.66039064
BA_20161016,2016-10-23,2016-11-27,2016-12-11,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20161023,2016-10-30,2016-12-04,2016-12-18,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20161030,2016-11-06,2016-12-11,2016-12-25,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20161106,2016-11-13,2016-12-18,2017-01-01,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20161113,2016-11-20,2016-12-25,2017-01-08,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20161120,2016-11-27,2017-01-01,2017-01-15,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20161127,2016-12-04,2017-01-08,2017-01-22,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20161204,2016-12-11,2017-01-15,2017-01-29,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20161211,2016-12-18,2017-01-22,2017-02-05,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20161218,2016-12-25,2017-01-29,2017-02-12,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20161225,2017-01-01,2017-02-05,2017-02-19,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20170101,2017-01-08,2017-02-12,2017-02-26,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20170108,2017-01-15,2017-02-19,2017-03-05,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20170115,2017-01-22,2017-02-26,2017-03-12,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20170122,2017-01-29,2017-03-05,2017-03-19,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20170129,2017-02-05,2017-03-12,2017-03-26,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20170205,2017-02-12,2017-03-19,2017-04-02,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20170212,2017-02-19,2017-03-26,2017-04-09,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20170219,2017-02-26,2017-04-02,2017-04-16,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20170226,2017-03-05,2017-04-09,2017-04-23,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20170305,2017-03-12,2017-04-16,2017-04-30,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
