UF,episode_id,episode_start,episode_end,early_growth_start,early_growth_end
BA,BA_wave_03,2016-10-16,2017-10-22,2016-10-16,2016-11-20
BA,BA_wave_04,2017-11-12,2018-12-16,2017-11-12,2017-12-17
BA,BA_wave_05,2019-02-03,2019-12-15,2019-02-03,2019-03-10
BA,BA_wave_06,2020-01-19,2020-12-20,2020-01-19,2020-02-23
BA,BA_wave_07,2021-01-03,2021-10-24,2021-01-03,2021-02-07
BA,BA_wave_08,2021-12-05,2022-10-02,2021-12-05,2022-01-09
BA,BA_wave_09,2022-11-06,2023-12-24,2022-11-06,2022-12-11
BA,BA_wave_10,2024-01-21,2025-12-28,2024-01-21,2024-02-25
CE,CE_wave_03,2017-02-12,2018-12-16,2017-02-12,2017-03-19
CE,CE_wave_04,2018-12-30,2019-09-08,2018-12-30,2019-02-03
CE,CE_wave_05,2019-09-22,2020-12-20,2019-09-22,2019-10-27
CE,CE_wave_06,2022-01-23,2023-12-17,2022-01-23,2022-02-27
CE,CE_wave_07,2024-01-07,2024-12-15,2024-01-07,2024-02-11
CE,CE_wave_08,2025-01-19,2025-12-28,2025-01-19,2025-02-23
MT,MT_wave_06,2017-12-17,2019-08-18,2017-12-17,2018-01-21
MT,MT_wave_13,2024-01-07,2024-10-06,2024-01-07,2024-02-11
MT,MT_wave_14,2024-12-01,2025-12-28,2024-12-01,2025-01-05
RJ,RJ_wave_05,2016-12-04,2017-10-29,2016-12-04,2017-01-08
RJ,RJ_wave_06,2017-12-31,2018-09-09,2017-12-31,2018-02-04
RJ,RJ_wave_07,2018-12-30,2020-12-20,2018-12-30,2019-02-03
RJ,RJ_wave_10,2023-01-29,2024-10-20,2023-01-29,2023-03-05
RJ,RJ_wave_11,2024-11-03,2025-12-28,2024-11-03,2024-12-08
