state,q_implied_q025,q_implied_median,q_implied_q975,q_implied_gt_one_draw_fraction
CE,0.12763332963241733,0.1702734688697528,0.2299448868973156,0
AM,0.0014227388848250457,0.0019282125707287463,0.00264753810682715,0
SP,0.0036904481390573657,0.004972781098909626,0.006769825423559931,0
AC,0.010634282047446153,0.015285675942229428,0.022611142986089985,0
AL,0.07298165119766271,0.09671069415929207,0.12865940827802308,0
AP,0.009599467232370968,0.014230666321824608,0.02170231869678949,0
BA,0.04648112187777053,0.06071990466300235,0.08009755605789316,0
DF,0.0031598777718099417,0.00491522839901499,0.007818083382012246,0
ES,0.03988254407088615,0.05205840717631116,0.06963609272128163,0
GO,0.01894109795259808,0.026752083451565295,0.037792167108639765,0
MA,0.016124133260427404,0.02197013068337038,0.030033499284472204,0
MG,0.07019668955939279,0.09781446527685062,0.1377326348872823,0
MS,0.027750466591281817,0.03977075057647385,0.0567570799412331,0
MT,0.16945147659940624,0.24367823100371344,0.3592822889055707,0
PA,0.01509056979400928,0.020839528616653814,0.029257151339351264,0
PB,0.06679769823453026,0.08684329139628644,0.11391571344552182,0
PE,0.041384899816479095,0.055506304650403834,0.0751865611285184,0
PI,0.036844951375624276,0.04851449342598235,0.06401497284161929,0
PR,0.003434259676049339,0.004951603401184051,0.007206550821103891,0
RJ,0.0411324366200422,0.05715217681189888,0.07893554247980383,0
RN,0.050144459777353566,0.06553741973528857,0.0853883909987373,0
RO,0.02373549592258354,0.033156314273632824,0.0467360676024501,0
RR,0.03805994153398263,0.050433768250191774,0.06684164691280442,0
RS,3.7179822827202157e-4,5.441850357112792e-4,7.921191590659691e-4,0
SC,6.130483423347064e-4,8.506169283015151e-4,0.0012171328877412378,0
SE,0.05061395117061475,0.06980604574166975,0.09498402112722337,0
TO,0.061919048778526734,0.09543510920525416,0.15081373598426787,0
