state,year,observed_cases,lambda_q025,lambda_median,lambda_q975,attack_prob_q025,attack_prob_median,attack_prob_q975,infections_q025,infections_median,infections_q975,S_start_prop_q025,S_start_prop_median,S_start_prop_q975,S_end_prop_q025,S_end_prop_median,S_end_prop_q975
CE,2015,25,4.89E-04,0.007016845,0.016869531,4.89E-04,0.006992285,0.016728037,4312.638744,61645.50687,147478.0241,100.0%,100.0%,100.0%,98.4%,99.3%,100.0%
CE,2016,30862,0.004350179,0.013632632,0.037032331,0.00434073,0.013540129,0.03635502,38197.01245,118879.0958,320765.5386,98.4%,99.3%,100.0%,95.9%,97.8%,99.3%
CE,2017,107421,0.007493685,0.020760975,0.089448721,0.007465677,0.020546949,0.085564844,65217.41398,178182.2916,748203.4184,95.9%,97.8%,99.3%,89.7%,95.5%,97.5%
CE,2018,1454,9.20E-04,0.009276555,0.020140759,9.19E-04,0.009233661,0.019939289,7595.082674,79230.09141,170258.874,89.7%,95.5%,97.5%,89.4%,94.5%,96.6%
CE,2019,1202,0.001082243,0.008885382,0.020058753,0.001081658,0.008846023,0.019858914,9020.972128,75521.79241,168379.795,89.4%,94.5%,96.6%,89.1%,93.5%,95.8%
CE,2020,1013,9.84E-04,0.008990284,0.020366292,9.84E-04,0.008949992,0.0201603,8220.236202,75889.62651,171807.4922,89.1%,93.5%,95.8%,88.6%,92.7%,95.1%
CE,2021,1318,9.74E-04,0.009198153,0.020328189,9.74E-04,0.00915598,0.020122964,8158.531383,77995.78692,169227.9116,88.6%,92.7%,95.1%,88.2%,91.9%,94.5%
CE,2022,50986,0.005390996,0.015776151,0.051384399,0.00537649,0.01565236,0.050086545,45370.70587,130832.9529,422186.6848,88.2%,91.9%,94.5%,86.0%,90.2%,93.2%
CE,2023,2017,0.00113567,0.009731225,0.020943159,0.001135025,0.00968403,0.020725374,9171.509349,80609.98536,169451.1476,86.0%,90.2%,93.2%,85.4%,89.5%,92.4%
CE,2024,890,8.95E-04,0.009051367,0.020226031,8.95E-04,0.009010526,0.020022857,7302.096683,75006.14555,164494.8363,85.4%,89.5%,92.4%,84.9%,88.8%,91.7%
