state,wave_id,onset_week,peak_week,end_week,wave_end_censored,wave_order,is_recurrence,peak_incidence_raw,peak_incidence_smooth,peak_cases,preceding_trough_week,preceding_trough_incidence,trough_ratio,trough_duration_weeks,duration_weeks,weeks_onset_to_peak,total_cases,cumulative_incidence_per_100k,first4_cases,first6_cases,first8_cases,first4_nonzero_weeks,first6_nonzero_weeks,first8_nonzero_weeks,candidate_wave,major_epidemic_primary,major_epidemic_abs50,major_epidemic_abs100,major_epidemic_abs200,major_epidemic_inc2,major_epidemic_inc5,major_epidemic_inc10,re4_prefit_eligible,re6_prefit_eligible,re8_prefit_eligible,early_peak_flag,reporting_anomaly_flag,wave_definition_stable,major_wave_definition_stable,reason_not_major,reason_re6_not_eligible,Re_early_4_q025,Re_early_4_median,Re_early_4_q975,re4_fit_status,re4_fit_reason,re4_fit_pass,re4_divergences,re4_treedepth_hits,re4_rhat,re4_bulk_ess,re4_tail_ess,re4_min_bfmi,re4_bfmi_by_chain,re4_elapsed_seconds,re4_ppc_mean_abs_error,re4_ppc_all_weeks_95_coverage,Re_early_6_q025,Re_early_6_median,Re_early_6_q975,re6_fit_status,re6_fit_reason,re6_fit_pass,re6_divergences,re6_treedepth_hits,re6_rhat,re6_bulk_ess,re6_tail_ess,re6_min_bfmi,re6_bfmi_by_chain,re6_elapsed_seconds,re6_ppc_mean_abs_error,re6_ppc_all_weeks_95_coverage,Re_early_8_q025,Re_early_8_median,Re_early_8_q975,re8_fit_status,re8_fit_reason,re8_fit_pass,re8_divergences,re8_treedepth_hits,re8_rhat,re8_bulk_ess,re8_tail_ess,re8_min_bfmi,re8_bfmi_by_chain,re8_elapsed_seconds,re8_ppc_mean_abs_error,re8_ppc_all_weeks_95_coverage,weeks_since_previous_wave,previous_wave_total_cases,preceding_trough_ratio,re6_analysis_usable,calendar_year
AC,AC_wave_07,2018-05-27,2018-10-28,2019-03-31,FALSE,1,FALSE,2.93598151,2.113906687,25,2018-05-06,0.03914642,0.066666667,8,45,22,232,27.21166096,9,14,17,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,fewer than 30 raw cases,NA,NA,NA,not_attempted,frozen census pre-fit eligibility is FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted,frozen census pre-fit eligibility is FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted,frozen census pre-fit eligibility is FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.066666667,FALSE,2018
AC,AC_wave_13,2020-11-08,2021-03-07,2021-04-11,FALSE,2,TRUE,2.418390826,2.610326606,21,2020-08-16,0,0,14,23,17,169,19.46854047,7,9,10,3,4,5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,fewer than 30 raw cases,NA,NA,NA,not_attempted,frozen census pre-fit eligibility is FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted,frozen census pre-fit eligibility is FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted,frozen census pre-fit eligibility is FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,588,232,0,FALSE,2020
AC,AC_wave_22,2023-11-26,2024-01-07,2024-10-13,FALSE,3,TRUE,1.362659275,2.201514887,12,2023-10-29,0,0,3,47,6,221,25.119245,8,45,68,3,5,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,not_attempted,frozen census pre-fit eligibility is FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.676698143438098,5.991802782255448,9.920569685113694,fitted,NA,TRUE,0,0,0.9997658970702725,15407.887807389714,5403.215391241126,0.8867031217856218,0.908;0.887;0.948;0.922,36.513922929763794,9.258020833333333,0.3333333333333333,2.702557656523658,4.213425550925132,6.640104691771308,fitted,NA,TRUE,0,0,1.0000315533087556,15654.893085675429,5669.459409160783,0.9214193124817865,0.943;0.949;0.921;0.937,42.66113805770874,15.991546875,0.5,959,169,0,TRUE,2023
AL,AL_wave_02,2016-01-31,2016-05-29,2017-10-29,FALSE,1,FALSE,17.62912708,19.34394134,562,2015-08-23,0,0,7,92,17,9621,301.7756605,279,478,667,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,1.3463567128033487,1.9494556281498958,2.938830632023244,fitted,NA,TRUE,0,0,0.9995818551756295,15247.17288460788,5452.214887771546,0.885356143023285,0.889;0.911;0.885;0.892,29.5081729888916,23.1006875,1,1.2194315350518932,1.7370577571180095,2.546849223880771,fitted,NA,TRUE,0,0,0.9996218664294879,13999.737874427614,5431.515616964446,0.8867031217856218,0.908;0.887;0.948;0.922,36.513922929763794,27.568354166666666,1,1.13945399089529,1.569642784557387,2.223673961937834,fitted,NA,TRUE,0,0,0.9998222636319924,13937.80828125633,5186.94120627208,0.9214193124817865,0.943;0.949;0.921;0.937,42.66113805770874,29.609484375,1,NA,NA,0,TRUE,2016
AL,AL_wave_03,2017-11-19,2018-07-22,2018-09-23,FALSE,2,TRUE,0.28123875,0.26040625,9,2017-10-29,0.041755985,0.160349397,6,45,35,167,5.219837798,11,16,21,4,6,8,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,fewer than 30 raw cases,NA,NA,NA,not_attempted,frozen census pre-fit eligibility is FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted,frozen census pre-fit eligibility is FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted,frozen census pre-fit eligibility is FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,9621,0.160349397,FALSE,2017
AL,AL_wave_04,2019-02-03,2019-07-07,2020-01-05,FALSE,3,TRUE,2.306227062,2.607490958,74,2018-09-23,0.0624975,0.24,4,49,22,1499,46.71656199,34,59,83,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,0.9190746899678307,1.519440722689614,2.524426684184935,fitted,NA,TRUE,0,0,0.9995633392865411,15284.804804406289,5579.620556377629,0.885356143023285,0.889;0.911;0.885;0.892,29.5081729888916,1.9298750000000002,1,0.9932564872413956,1.501852490321177,2.3363902788641213,fitted,NA,TRUE,0,0,0.9995698897860296,16743.154101165586,5897.9092275895255,0.8867031217856218,0.908;0.887;0.948;0.922,36.513922929763794,1.573020833333333,1,0.9477601975381218,1.3843609115265543,2.0550417070730758,fitted,NA,TRUE,0,0,0.9999944594988337,17346.7039315836,5313.762089907165,0.9214193124817865,0.943;0.949;0.921;0.937,42.66113805770874,2.078515625,1,133,167,0.24,TRUE,2019
AL,AL_wave_07,2021-05-02,2021-11-07,2022-01-02,FALSE,4,TRUE,1.367385798,0.973744432,44,2021-03-28,0.010358983,0.076923077,4,36,27,506,15.72490411,18,34,59,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,not_attempted,frozen census pre-fit eligibility is FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2483540843227219,2.061309194786059,3.436729366484576,fitted,NA,TRUE,0,0,0.9997817936508053,15825.235897034854,5314.380016952689,0.8867031217856218,0.908;0.887;0.948;0.922,36.513922929763794,1.7745416666666665,1,1.2929394228174027,1.9512563052363803,2.9961602487062784,fitted,NA,TRUE,0,0,0.999761122522761,16184.24931283238,5678.173228009211,0.9214193124817865,0.943;0.949;0.921;0.937,42.66113805770874,1.7455625000000001,1,483,1499,0.076923077,TRUE,2021
AL,AL_wave_08,2022-03-27,2022-06-26,2023-10-29,FALSE,5,TRUE,21.47042255,20.04113248,691,2022-01-02,0.134650503,0.138281153,7,84,13,11187,347.5953021,409,927,1826,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,2.1070574503254504,3.0341879546346515,4.606087906965456,fitted,NA,TRUE,0,0,0.9998385084947493,13207.363638906168,5876.057401515502,0.885356143023285,0.889;0.911;0.885;0.892,29.5081729888916,22.314875,1,1.9420866930811918,2.683937235275871,3.89409675906545,fitted,NA,TRUE,0,0,0.99971468789306694,15366.143120023326,5317.5827906136365,0.8867031217856218,0.908;0.887;0.948;0.922,36.513922929763794,42.40004166666666,1,1.8560899933512534,2.513153529547072,3.487782883256092,fitted,NA,TRUE,0,0,0.9997466887650319,16702.618589597383,5401.664001438821,0.9214193124817865,0.943;0.949;0.921;0.937,42.66113805770874,65.343328125,1,84,506,0.138281153,TRUE,2022
AL,AL_wave_09,2023-11-05,2024-02-25,2024-08-11,FALSE,6,TRUE,0.683207747,0.61074632,22,2023-10-29,0.093208024,0.152613322,11,41,16,368,11.42875119,16,28,32,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,fewer than 30 raw cases,NA,NA,NA,not_attempted,frozen census pre-fit eligibility is FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted,frozen census pre-fit eligibility is FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted,frozen census pre-fit eligibility is FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,11187,0.152613322,FALSE,2023
AL,AL_wave_10,2025-03-23,2025-08-03,2025-12-28,FALSE,7,TRUE,7.016785642,7.699835571,226,2024-08-11,0.12421959,0.203389831,6,41,19,3871,120.1857399,69,120,181,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,1.0402965759529164,1.6257042099604622,2.6089256848893045,fitted,NA,TRUE,0,0,1.000025182994884,13631.984777076856,5037.451185850763,0.885356143023285,0.889;0.911;0.885;0.892,29.5081729888916,14.81815625,0.5,1.1237282416974872,1.6588488845154203,2.518685989303087,fitted,NA,TRUE,0,0,0.9997188952036854,15564.361402711,4897.319703197032,0.8867031217856218,0.908;0.887;0.948;0.922,36.513922929763794,10.680375,0.8333333333333334,1.1401465925715175,1.5949691240176591,2.287121052926946,fitted,NA,TRUE,0,0,0.9997187494174922,15911.899168894251,5806.901288786804,0.9214193124817865,0.943;0.949;0.921;0.937,42.66113805770874,9.032515625,0.875,224,368,0.203389831,TRUE,2025
