component,metric,value
early_Re,total_major_waves,145
early_Re,Re6_prefit_eligible,120
early_Re,Re6_fits_attempted,119
early_Re,Re6_HMC_pass,119
early_Re,Re6_HMC_fail,1
early_Re,primary_usable_Re6,119
susceptibility,states_fitted,27
susceptibility,states_passing_HMC,25
susceptibility,states_failing_HMC,2
susceptibility,annual_lambda_min_q025,1.1298432352017577e-4
susceptibility,annual_lambda_max_q975,0.16468687418373243
susceptibility,median_end_2025_S_prop,0.8902142355004191
susceptibility,maximum_weekly_annual_S_discrepancy_prop,0.00128588058561044
integration,major_waves_with_S_onset,142
integration,major_waves_with_usable_Re6,119
integration,major_waves_with_both,117
integration,recurrent_waves_with_both,100
