state,wave_id,S_onset_q025,S_onset_q25,S_onset_median,S_onset_q75,S_onset_q975,n_draws
AC,AC_wave_07,0.9848830564087944,0.9891771807803993,0.9910593093918374,0.9927718618588178,0.9954470634902285,4000
AC,AC_wave_13,0.9725122370516388,0.9791072996760917,0.9821345083632145,0.9848041140212584,0.9890009703079773,4000
AC,AC_wave_22,0.9614186011860293,0.9700089017390667,0.9739394794764997,0.9774875060849446,0.9827916815078122,4000
AL,AL_wave_02,0.9940577895847015,0.9960774147852267,0.9974465280735482,0.9985743990133454,0.9995267165452404,4000
AL,AL_wave_03,0.9777438465397754,0.9847030314788124,0.9872446091333349,0.9893049156944409,0.9930114655614717,4000
AL,AL_wave_04,0.9754043359762289,0.9816270439617246,0.9842592668990233,0.9866622286121305,0.9910482632672658,4000
AL,AL_wave_07,0.967614943156181,0.9748038788056552,0.9780581684366316,0.9814045383958844,0.9870368063520876,4000
AL,AL_wave_08,0.9639607471048368,0.9716430376423284,0.9754023038414599,0.9792756016472894,0.9858124898396906,4000
AL,AL_wave_09,0.9512412849870708,0.9608225336082149,0.9648277040719393,0.9684294437841261,0.9744616433140386,4000
AL,AL_wave_10,0.9485551110163604,0.9581752601434794,0.962204821441907,0.9660771918815236,0.9725779990566483,4000
AM,AM_wave_15,0.947544460519136,0.9584958681376485,0.9638997178363361,0.9685131343740687,0.976804954713552,4000
AP,AP_wave_02,0.9939442531589652,0.9962571952987677,0.997460712146904,0.9984938237515785,0.9994770289120728,4000
AP,AP_wave_03,0.9841113438617574,0.9897864375292594,0.99181074034680194,0.9936153939101264,0.9964041092876355,4000
AP,AP_wave_04,0.9747573020061552,0.9833080083578539,0.9864495812217071,0.9888310132117213,0.9926453447567025,4000
AP,AP_wave_17,0.9503995353807894,0.962461101232253,0.9678956573230035,0.9725567912977653,0.9798811914018866,4000
BA,BA_wave_02,0.9939287065113634,0.9957774458469897,0.9970101336913764,0.998097111755357,0.9992653389876096,4000
BA,BA_wave_03,0.9880235365437597,0.9909261681970691,0.9926190187177829,0.9943839450063131,0.9968576743491235,4000
BA,BA_wave_04,0.9817917187513004,0.9857240056950949,0.9878528808578502,0.9902134064818259,0.9938384326783757,4000
BA,BA_wave_05,0.9762504256035113,0.9812086639575868,0.9838954352222562,0.986833351397595,0.9913687173591487,4000
BA,BA_wave_06,0.970546589838711,0.9764600454075191,0.9796313789241826,0.982757168763155,0.9883396728152251,4000
BA,BA_wave_07,0.9629686754496667,0.9704291043289833,0.9736587996359132,0.9767125231856709,0.9827378869806105,4000
BA,BA_wave_08,0.9569350764201716,0.9654779732701669,0.9690872801153023,0.9723499340986873,0.978596288308233,4000
BA,BA_wave_09,0.9506072712318062,0.9598778513603984,0.9638203947642803,0.9673541994697556,0.9737243221186442,4000
BA,BA_wave_10,0.9441650089239558,0.9542746360101413,0.9585355489450476,0.9623976169770828,0.9690704760431477,4000
CE,CE_wave_02,0.9916225594199658,0.9944789910208749,0.9964423341440353,0.9985289971795022,0.999628016351914,4000
CE,CE_wave_03,0.978857429731769,0.9864067740097243,0.98886769033255,0.9913146822637863,0.9960028332945052,4000
CE,CE_wave_04,0.9454533681098249,0.9632794684528428,0.9718344634621546,0.976900108468298,0.9829799032734131,4000
CE,CE_wave_05,0.9436544450013808,0.9603847291309702,0.9673299601041225,0.9724101122388544,0.9791489362087037,4000
CE,CE_wave_06,0.9388334401235915,0.9529088899292721,0.9587427105477428,0.9635361115907557,0.9719604949804006,4000
CE,CE_wave_07,0.9239871552300153,0.9393002048420563,0.9458333981535101,0.9520236494115785,0.9614195285560589,4000
CE,CE_wave_08,0.9211617715463967,0.9355476537789862,0.9421961025792838,0.9483704203953425,0.9576698420680337,4000
DF,DF_wave_12,0.9413393471416294,0.9612534765945256,0.9702591436550319,0.9782845706808181,0.9883141308997627,4000
DF,DF_wave_13,0.9283499118535494,0.9506482784304626,0.959625275740947,0.967795904454135,0.9787856570037222,4000
DF,DF_wave_14,0.9172364532671283,0.9397980025230932,0.9493633276275619,0.9577627624962676,0.9695914663660421,4000
DF,DF_wave_15,0.9056746639066395,0.930007209130715,0.9407283458817632,0.9500323851034599,0.9635845212919577,4000
ES,ES_wave_02,0.9852385073868314,0.9905112067779421,0.9946069598628813,0.9969924853423078,0.99893088977441,4000
ES,ES_wave_03,0.9777557146168044,0.9847102110182603,0.9898616144669897,0.9936338144824296,0.9972927919637219,4000
ES,ES_wave_04,0.9692223958564457,0.9782008796536085,0.9848638550553006,0.9899691589915959,0.9953507867667352,4000
ES,ES_wave_05,0.9647098137199125,0.9742424311670059,0.9809415121635252,0.9866506711153131,0.9930661543504052,4000
ES,ES_wave_08,0.9512727211239691,0.9631161918381129,0.9700214033449877,0.9771261779551151,0.9862582216935827,4000
