state,observed_cases_total,reference_q025,reference_q975,prob_below_reference,prob_above_reference,q_total_implied_q025,q_total_implied_median,q_total_implied_q975,q_total_implied_prob_gt_one,annual_hmc_pass,flag_q_gt_one,flag_implausibly_high,flag_implausibly_low
CE,197871,0.07724361106339048,0.1937957032029353,0,0.2085,0.12763332963241733,0.1702734688697528,0.22994488689731563,0,TRUE,FALSE,FALSE,FALSE
AM,911,0.07724361106339048,0.1937957032029353,1,0,0.0014227388848250457,0.0019282125707287463,0.00264753810682715,0,TRUE,FALSE,FALSE,TRUE
SP,36806,0.07724361106339048,0.1937957032029353,1,0,0.0036904481390573657,0.004972781098909626,0.006769825423559933,0,TRUE,FALSE,FALSE,TRUE
AC,984,0.07724361106339048,0.1937957032029353,1,0,0.010634282047446153,0.015285675942229427,0.022611142986089985,0,TRUE,FALSE,FALSE,TRUE
AL,27892,0.07724361106339048,0.1937957032029353,0.06225,0,0.07298165119766271,0.09671069415929207,0.12865940827802308,0,TRUE,FALSE,FALSE,FALSE
AP,1042,0.07724361106339048,0.1937957032029353,1,0,0.009599467232370968,0.014230666321824608,0.02170231869678949,0,TRUE,FALSE,FALSE,TRUE
BA,92624,0.07724361106339048,0.1937957032029353,0.95925,0,0.04648112187777053,0.06071990466300236,0.08009755605789316,0,TRUE,FALSE,FALSE,TRUE
DF,1967,0.07724361106339048,0.1937957032029353,1,0,0.0031598777718099417,0.00491522839901499,0.007818083382012248,0,TRUE,FALSE,FALSE,TRUE
ES,28623,0.07724361106339048,0.1937957032029353,0.9955,0,0.03988254407088616,0.05205840717631116,0.06963609272128163,0,TRUE,FALSE,FALSE,TRUE
GO,19866,0.07724361106339048,0.1937957032029353,1,0,0.01894109795259808,0.026752083451565295,0.03779216710863977,0,TRUE,FALSE,FALSE,TRUE
MA,19515,0.07724361106339048,0.1937957032029353,1,0,0.016124133260427404,0.02197013068337038,0.030033499284472204,0,TRUE,FALSE,FALSE,TRUE
MG,298180,0.07724361106339048,0.1937957032029353,0.08225,0,0.07019668955939279,0.09781446527685062,0.1377326348872823,0,TRUE,FALSE,FALSE,FALSE
MS,11872,0.07724361106339048,0.1937957032029353,1,0,0.02775046659128182,0.03977075057647385,0.05675707994123309,0,TRUE,FALSE,FALSE,TRUE
MT,84819,0.07724361106339048,0.1937957032029353,0,0.889,0.16945147659940624,0.2436782310037135,0.3592822889055707,0,TRUE,FALSE,FALSE,FALSE
PA,19218,0.07724361106339048,0.1937957032029353,1,0,0.01509056979400928,0.020839528616653814,0.029257151339351268,0,TRUE,FALSE,FALSE,TRUE
PB,41635,0.07724361106339048,0.1937957032029353,0.19725,0,0.06679769823453026,0.08684329139628644,0.11391571344552182,0,TRUE,FALSE,FALSE,FALSE
PE,58755,0.07724361106339048,0.1937957032029353,0.98525,0,0.041384899816479095,0.055506304650403834,0.0751865611285184,0,TRUE,FALSE,FALSE,TRUE
PI,22425,0.07724361106339048,0.1937957032029353,0.99875,0,0.036844951375624276,0.04851449342598235,0.06401497284161929,0,TRUE,FALSE,FALSE,TRUE
PR,8487,0.07724361106339048,0.1937957032029353,1,0,0.003434259676049339,0.004951603401184051,0.007206550821103891,0,TRUE,FALSE,FALSE,TRUE
RJ,126433,0.07724361106339048,0.1937957032029353,0.9675,0,0.0411324366200422,0.05715217681189887,0.07893554247980383,0,TRUE,FALSE,FALSE,TRUE
RN,26792,0.07724361106339048,0.1937957032029353,0.88925,0,0.05014445977735356,0.06553741973528855,0.0853883909987373,0,TRUE,FALSE,FALSE,FALSE
RO,4894,0.07724361106339048,0.1937957032029353,1,0,0.02373549592258354,0.033156314273632824,0.04673606760245011,0,FALSE,FALSE,FALSE,TRUE
RR,4260,0.07724361106339048,0.1937957032029353,0.99875,0,0.03805994153398262,0.050433768250191774,0.06684164691280442,0,FALSE,FALSE,FALSE,TRUE
RS,887,0.07724361106339048,0.1937957032029353,1,0,3.7179822827202157e-4,5.441850357112792e-4,7.921191590659691e-4,0,TRUE,FALSE,FALSE,TRUE
SC,1005,0.07724361106339048,0.1937957032029353,1,0,6.130483423347064e-4,8.506169283015151e-4,0.0012171328877412378,0,TRUE,FALSE,FALSE,TRUE
SE,17826,0.07724361106339048,0.1937957032029353,0.72375,0,0.05061395117061475,0.06980604574166976,0.09498402112722336,0,TRUE,FALSE,FALSE,FALSE
TO,12325,0.07724361106339048,0.1937957032029353,0.17825,0.001,0.061919048778526734,0.09543510920525416,0.1508137359842679,0,TRUE,FALSE,FALSE,FALSE
