segmentation_definition,state,wave_id,onset_week,peak_week,end_week,wave_end_censored,peak_incidence_raw,peak_incidence_smooth,peak_cases,preceding_trough_week,preceding_trough_incidence,trough_ratio,trough_duration_weeks,duration_weeks,weeks_onset_to_peak,total_cases,cumulative_incidence_per_100k,first4_cases,first6_cases,first8_cases,first4_nonzero_weeks,first6_nonzero_weeks,first8_nonzero_weeks,re4_prefit_eligible,re6_prefit_eligible,re8_prefit_eligible,early_peak_flag,reporting_anomaly_flag,n_candidate_peaks_in_segment,qc_duration_gt104,qc_peak_late_gt52,qc_multiple_peaks,qc_no_meaningful_fall,reason_re6_not_eligible,candidate_wave,major_epidemic_abs50,major_epidemic_abs100,major_epidemic_abs200,major_epidemic_inc2,major_epidemic_inc5,major_epidemic_inc10,major_epidemic_primary,reason_not_major,wave_order,is_recurrence
permissive,AC,AC_wave_01,2016-01-24,2016-01-31,2016-02-14,FALSE,0.11957517332421373,0.039858391108071246,1,2016-01-17,0,NA,NA,4,1,1,0.11957517332421373,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,1,FALSE,FALSE,FALSE,FALSE,too few nonzero raw incidence weeks; fewer than 30 raw cases; one week contains >=80% of early-window cases (backlog screen),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,NA,NA
permissive,AC,AC_wave_02,2016-03-20,2016-06-05,2016-07-17,FALSE,1.315326906566351,0.9964597777017812,11,2016-02-14,0,0,5,18,11,49,5.859183492886473,5,10,17,3,5,7,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,fewer than 30 raw cases,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,fewer than 100 total cases,NA,NA
permissive,AC,AC_wave_03,2016-08-28,2016-10-02,2016-10-23,FALSE,0,0.07971678221614249,0,2016-07-17,0,0,6,9,5,3,0.3587255199726412,1,2,3,1,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,too few nonzero raw incidence weeks; fewer than 30 raw cases,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,NA,NA
permissive,AC,AC_wave_04,2016-11-06,2017-01-15,2017-04-02,FALSE,0.3552414694681798,0.5525978413949464,3,2016-10-23,0,0,2,22,10,36,4.274511135299696,4,7,10,2,4,6,FALSE,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,TRUE,FALSE,fewer than 30 raw cases,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,NA,NA
permissive,AC,AC_wave_05,2017-04-30,2017-06-04,2017-08-13,FALSE,0.23682764631211992,0.2762989206974732,2,2017-04-02,0.07894254877070664,0.28571428571428575,4,16,5,19,2.249862639965139,6,10,13,3,5,6,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE,fewer than 30 raw cases,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,NA,NA
permissive,AC,AC_wave_06,2017-08-20,2017-10-08,2017-11-19,FALSE,0.47365529262423983,0.31577019508282655,4,2017-08-13,0,0,10,14,7,13,1.5393797010287795,2,3,9,2,3,5,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,too few nonzero raw incidence weeks; fewer than 30 raw cases,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,NA,NA
permissive,AC,AC_wave_07,2017-11-26,2018-02-25,2018-05-06,FALSE,0.35231778124354085,0.5871963020725681,3,2017-11-19,0.03947127438535332,0.125,6,24,13,52,6.115612606228625,6,9,16,4,6,8,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,fewer than 30 raw cases,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,fewer than 100 total cases,NA,NA
permissive,AC,AC_wave_08,2018-05-27,2018-10-28,2019-03-31,FALSE,2.9359815103628404,2.113906687461245,25,2018-05-06,0.039146420138171205,0.06666666666666667,11,45,22,232,27.211660962308688,9,14,17,4,6,8,FALSE,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,TRUE,FALSE,fewer than 30 raw cases,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,1,FALSE
permissive,AC,AC_wave_09,2019-05-19,2019-05-26,2019-06-09,FALSE,0.11656112057198874,0.03885370685732958,1,2019-03-31,0,0,7,4,1,1,0.11656112057198874,1,1,2,1,1,2,FALSE,FALSE,FALSE,TRUE,TRUE,1,FALSE,FALSE,FALSE,FALSE,too few nonzero raw incidence weeks; fewer than 30 raw cases; one week contains >=80% of early-window cases (backlog screen),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,NA,NA
permissive,AC,AC_wave_10,2019-06-30,2019-07-07,2019-07-21,FALSE,0.11656112057198874,0.03885370685732958,1,2019-06-09,0,0,3,4,1,1,0.11656112057198874,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,1,FALSE,FALSE,FALSE,FALSE,too few nonzero raw incidence weeks; fewer than 30 raw cases; one week contains >=80% of early-window cases (backlog screen),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,NA,NA
