model,wave_id,onset_week,end_week,epidemic_width_weeks,obs_total,pred_total_median,pred_obs_ratio_total,obs_peak,pred_peak_median,pred_obs_ratio_peak,obs_peak_week,pred_peak_week_median
A_case_only,PE_wave_03,2015-11-29,2017-12-17,108,15849,14282.5,0.9011609565272257,894,998.5,1.116890380313199,2016-02-21,2016-04-10
A_case_only,PE_wave_04,2017-12-31,2018-12-16,51,655,681.5,1.0404580152671756,48,46,0.9583333333333334,2018-05-06,2018-04-08
A_case_only,PE_wave_05,2018-12-23,2019-12-15,52,1360,1198,0.8808823529411764,60,74,1.2333333333333334,2019-09-29,2019-06-02
A_case_only,PE_wave_06,2020-05-03,2020-12-20,34,3005,2066,0.6875207986688852,220,170,0.7727272727272727,2020-06-28,2020-06-21
A_case_only,PE_wave_07,2021-02-07,2021-12-19,46,19846,18896.5,0.9521566058651617,1551,1643.5,1.059638942617666,2021-05-30,2021-05-09
A_case_only,PE_wave_08,2022-01-16,2022-12-18,49,12994,11211.5,0.862821302139449,1083,994,0.9178208679593721,2022-04-17,2022-04-24
A_case_only,PE_wave_09,2022-12-25,2023-06-25,27,777,665,0.8558558558558559,78,62,0.7948717948717948,2023-03-12,2023-04-09
A_case_only,PE_wave_10,2023-07-09,2024-12-22,77,2209,2244.5,1.0160706201901313,111,122,1.0990990990990992,2024-03-10,2024-04-21
A_case_only,PE_wave_11,2024-12-29,2025-12-28,52,1204,1187,0.9858803986710963,46,68,1.4782608695652173,2025-03-30,2025-04-27
B_U14_serology,PE_wave_03,2015-11-29,2017-12-17,108,15849,14339.5,0.9047573979430878,894,1059,1.1845637583892616,2016-02-21,2016-04-10
B_U14_serology,PE_wave_04,2017-12-31,2018-12-16,51,655,685,1.0458015267175573,48,46,0.9583333333333334,2018-05-06,2018-04-08
B_U14_serology,PE_wave_05,2018-12-23,2019-12-15,52,1360,1200,0.8823529411764706,60,76,1.2666666666666666,2019-09-29,2019-06-02
B_U14_serology,PE_wave_06,2020-05-03,2020-12-20,34,3005,2055,0.6838602329450915,220,170,0.7727272727272727,2020-06-28,2020-06-14
B_U14_serology,PE_wave_07,2021-02-07,2021-12-19,46,19846,18983,0.9565151667842386,1551,1583.5,1.0209542230818827,2021-05-30,2021-05-09
B_U14_serology,PE_wave_08,2022-01-16,2022-12-18,49,12994,11400,0.8773279975373249,1083,1038.5,0.958910433979686,2022-04-17,2022-04-24
B_U14_serology,PE_wave_09,2022-12-25,2023-06-25,27,777,664,0.8545688545688546,78,61,0.782051282051282,2023-03-12,2023-04-09
B_U14_serology,PE_wave_10,2023-07-09,2024-12-22,77,2209,2216.5,1.0033952014486194,111,125,1.1261261261261262,2024-03-10,2024-04-21
B_U14_serology,PE_wave_11,2024-12-29,2025-12-28,52,1204,1194,0.9916943521594684,46,68,1.4782608695652173,2025-03-30,2025-04-27
