final_model_stratum,week_start,cases,population,incidence_100k
1_Recife,2015-01-04,0,1617183,0
1_Recife,2015-01-11,0,1617183,0
1_Recife,2015-01-18,1,1617183,0.06183592085744161
1_Recife,2015-01-25,0,1617183,0
1_Recife,2015-02-01,0,1617183,0
1_Recife,2015-02-08,2,1617183,0.12367184171488323
1_Recife,2015-02-15,2,1617183,0.12367184171488323
1_Recife,2015-02-22,0,1617183,0
1_Recife,2015-03-01,0,1617183,0
1_Recife,2015-03-08,0,1617183,0
1_Recife,2015-03-15,1,1617183,0.06183592085744161
1_Recife,2015-03-22,0,1617183,0
1_Recife,2015-03-29,0,1617183,0
1_Recife,2015-04-05,1,1617183,0.06183592085744161
1_Recife,2015-04-12,2,1617183,0.12367184171488323
1_Recife,2015-04-19,0,1617183,0
1_Recife,2015-04-26,0,1617183,0
1_Recife,2015-05-03,2,1617183,0.12367184171488323
1_Recife,2015-05-10,2,1617183,0.12367184171488323
1_Recife,2015-05-17,0,1617183,0
1_Recife,2015-05-24,0,1617183,0
1_Recife,2015-05-31,0,1617183,0
1_Recife,2015-06-07,0,1617183,0
1_Recife,2015-06-14,0,1617183,0
1_Recife,2015-06-21,0,1617183,0
1_Recife,2015-06-28,0,1617183,0
1_Recife,2015-07-05,0,1617183,0
1_Recife,2015-07-12,0,1617183,0
1_Recife,2015-07-19,0,1617183,0
1_Recife,2015-07-26,1,1617183,0.06183592085744161
1_Recife,2015-08-02,1,1617183,0.06183592085744161
1_Recife,2015-08-09,1,1617183,0.06183592085744161
1_Recife,2015-08-16,1,1617183,0.06183592085744161
1_Recife,2015-08-23,0,1617183,0
1_Recife,2015-08-30,2,1617183,0.12367184171488323
1_Recife,2015-09-06,3,1617183,0.18550776257232485
1_Recife,2015-09-13,2,1617183,0.12367184171488323
1_Recife,2015-09-20,2,1617183,0.12367184171488323
1_Recife,2015-09-27,4,1617183,0.24734368342976645
1_Recife,2015-10-04,9,1617183,0.5565232877169745
1_Recife,2015-10-11,5,1617183,0.30917960428720803
1_Recife,2015-10-18,4,1617183,0.24734368342976645
1_Recife,2015-10-25,8,1617183,0.4946873668595329
1_Recife,2015-11-01,10,1617183,0.6183592085744161
1_Recife,2015-11-08,7,1617183,0.4328514460020913
1_Recife,2015-11-15,6,1617183,0.3710155251446497
