"quantity","value"
"RECIFE_INDEX","1"
"J_sero","1"
"sero_n_positive","770"
"sero_n_tested","2070"
"survey_prevalence","0.371980676328502"
"window_start_week","2018-08-05"
"window_end_week","2019-02-24"
"window_n_weeks","30"
"kappa_sero","50"
"stan_p_site_window_median","0.02573055"
"manual_p_recife_median","0.0257305333333333"
"max_abs_diff_stan_vs_manual","6.66666666662707e-08"
"implied_ICC_rho","0.0196078431372549"
"implied_effective_n","49.7971698113207"
"loglik_at_model_p","-24.7090513686311"
"loglik_at_observed_p","-5.88857566463874"
"loglik_ratio_obs_minus_model","18.8204757039924"
"pp_median","0.0198067632850242"
"pp_lo95","0.000966183574879227"
"pp_hi95","0.0876932367149758"
"observed_within_pp_95","FALSE"
"recife_cumulative_reported_cases_thru_u14window","6293"
"recife_population_at_u14window","1645727"
"recife_crude_reported_incidence","0.00382384198594299"
"q_recife_needed_for_37pct_prevalence","0.0102791451235027"
"fitted_shared_q_PE_median","0.0623"
"ratio_shared_q_over_q_recife_needed","6.06081529655172"
"reported_survey_95CI_lo","0.34"
"reported_survey_95CI_hi","0.404"
"naive_binomial_95CI_halfwidth","0.0208219879322142"
"reported_95CI_halfwidth","0.032"
"implied_design_effect","2.36186774790006"
