muni6,municipality_name,geres,official_macroregion,final_model_stratum,four_stratum_sensitivity,population
261160,Recife,I,Metropolitana,1_Recife,A_Metropolitana,1588376
260790,Jaboatão dos Guararapes,I,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,684293
261070,Paulista,I,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,365144
260960,Olinda,I,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,364717
260290,Cabo de Santo Agostinho,I,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,218049
260345,Camaragibe,I,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,156112
261640,Vitória de Santo Antão,I,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,144243
260680,Igarassu,I,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,123017
261370,São Lourenço da Mata,I,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,118258
260720,Ipojuca,I,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,106539
260005,Abreu e Lima,I,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,104248
260620,Goiana,XII,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,85497
260400,Carpina,II,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,83482
261450,Surubim,II,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,67821
260520,Escada,III,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,62174
261060,Paudalho,II,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,59924
260890,Limoeiro,II,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,59236
260940,Moreno,I,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,57654
261000,Palmares,III,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,56475
261530,Timbaúba,XII,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,47312
260140,Barreiros,III,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,42083
260220,Bom Jardim,II,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,39289
261420,Sirinhaém,III,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,39171
260070,Aliança,XII,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,37349
260765,Itambé,XII,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,36652
261180,Ribeirão,III,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,33843
260420,Catende,III,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,33086
260950,Nazaré da Mata,II,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,32187
260610,Glória do Goitá,I,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,30420
261050,Passira,II,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,29744
260775,Itapissuma,I,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,29669
260810,João Alfredo,II,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,28842
261630,Vicência,II,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,27151
260040,Água Preta,III,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,26981
261130,Pombos,I,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,26942
260760,Ilha de Itamaracá,I,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,25658
260460,Condado,XII,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,25416
261485,Tamandaré,III,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,24670
260900,Macaparana,XII,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,24642
260970,Orobó,II,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,22412
260540,Feira Nova,II,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,22222
260450,Chã Grande,I,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,21258
261190,Rio Formoso,III,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,20388
260105,Araçoiaba,I,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,19996
260850,Lagoa de Itaenga,II,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,19863
261340,São José da Coroa Grande,III,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,19511
260845,Lagoa do Carro,II,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,18804
260090,Amaraji,III,Metropolitana,2_Metropolitana_remainder,A_Metropolitana,18335
