muni6,was_hotspot_2016,is_hotspot_2021_22,status
260005,FALSE,FALSE,Not top-20% in either era
260010,FALSE,FALSE,Not top-20% in either era
260020,FALSE,FALSE,Not top-20% in either era
260030,FALSE,FALSE,Not top-20% in either era
260040,FALSE,FALSE,Not top-20% in either era
260050,TRUE,FALSE,2016-only hotspot (faded)
260060,FALSE,FALSE,Not top-20% in either era
260070,FALSE,FALSE,Not top-20% in either era
260080,TRUE,FALSE,2016-only hotspot (faded)
260090,FALSE,TRUE,2021/22-only hotspot (new/emerging)
260100,FALSE,FALSE,Not top-20% in either era
260105,FALSE,TRUE,2021/22-only hotspot (new/emerging)
260110,TRUE,FALSE,2016-only hotspot (faded)
260120,FALSE,FALSE,Not top-20% in either era
260130,FALSE,FALSE,Not top-20% in either era
260140,FALSE,TRUE,2021/22-only hotspot (new/emerging)
260150,FALSE,FALSE,Not top-20% in either era
260160,FALSE,TRUE,2021/22-only hotspot (new/emerging)
260170,FALSE,FALSE,Not top-20% in either era
260180,FALSE,FALSE,Not top-20% in either era
260190,TRUE,FALSE,2016-only hotspot (faded)
260200,FALSE,TRUE,2021/22-only hotspot (new/emerging)
260210,FALSE,FALSE,Not top-20% in either era
260220,FALSE,FALSE,Not top-20% in either era
260230,FALSE,FALSE,Not top-20% in either era
260240,FALSE,FALSE,Not top-20% in either era
260250,FALSE,FALSE,Not top-20% in either era
260260,FALSE,FALSE,Not top-20% in either era
260270,FALSE,FALSE,Not top-20% in either era
260280,FALSE,FALSE,Not top-20% in either era
260290,TRUE,TRUE,Persistent hotspot (both eras)
260300,FALSE,FALSE,Not top-20% in either era
260310,TRUE,FALSE,2016-only hotspot (faded)
260320,TRUE,FALSE,2016-only hotspot (faded)
260330,TRUE,FALSE,2016-only hotspot (faded)
260340,FALSE,FALSE,Not top-20% in either era
260345,TRUE,TRUE,Persistent hotspot (both eras)
260350,FALSE,FALSE,Not top-20% in either era
260360,TRUE,FALSE,2016-only hotspot (faded)
260370,FALSE,TRUE,2021/22-only hotspot (new/emerging)
260380,FALSE,FALSE,Not top-20% in either era
260390,FALSE,TRUE,2021/22-only hotspot (new/emerging)
260392,FALSE,TRUE,2021/22-only hotspot (new/emerging)
260400,TRUE,TRUE,Persistent hotspot (both eras)
260410,TRUE,FALSE,2016-only hotspot (faded)
260415,FALSE,FALSE,Not top-20% in either era
260420,FALSE,FALSE,Not top-20% in either era
260430,FALSE,TRUE,2021/22-only hotspot (new/emerging)
260440,FALSE,FALSE,Not top-20% in either era
260450,FALSE,FALSE,Not top-20% in either era
260460,FALSE,FALSE,Not top-20% in either era
260470,FALSE,FALSE,Not top-20% in either era
260480,FALSE,FALSE,Not top-20% in either era
260490,FALSE,FALSE,Not top-20% in either era
260500,FALSE,FALSE,Not top-20% in either era
260510,FALSE,FALSE,Not top-20% in either era
