muni6,name_muni,cumulative_cases,population_at_checkpoint,checkpoint,cumulative_reported_incidence,q,q_label,A_i,muni_max_pop
260080,Altinho,525,22886,2016-12-31,0.02293978851699729,0.007454145308640366,global-q 2.5%,3.077453895405951,22996
260080,Altinho,525,22886,2016-12-31,0.02293978851699729,0.009820323685458794,global-q median,2.335950346622976,22996
260080,Altinho,525,22886,2016-12-31,0.02293978851699729,0.01510174051658718,global-q 97.5%,1.5190162015961735,22996
260080,Altinho,526,22959,2018-12-31,0.022910405505466264,0.007454145308640366,global-q 2.5%,3.0735120603176322,22996
260080,Altinho,526,22959,2018-12-31,0.022910405505466264,0.009820323685458794,global-q median,2.3329582852131736,22996
260080,Altinho,526,22959,2018-12-31,0.022910405505466264,0.01510174051658718,global-q 97.5%,1.5170705310624522,22996
260080,Altinho,526,22996,2021-12-31,0.022873543224908678,0.007454145308640366,global-q 2.5%,3.0685668547935516,22996
260080,Altinho,526,22996,2021-12-31,0.022873543224908678,0.009820323685458794,global-q median,2.329204612550411,22996
260080,Altinho,526,22996,2021-12-31,0.022873543224908678,0.01510174051658718,global-q 97.5%,1.5146296017856513,22996
260080,Altinho,540,20674,2022-12-31,0.026119763954725744,0.007454145308640366,global-q 2.5%,3.504058865668931,22996
260080,Altinho,540,20674,2022-12-31,0.026119763954725744,0.009820323685458794,global-q median,2.659766092374526,22996
260080,Altinho,540,20674,2022-12-31,0.026119763954725744,0.01510174051658718,global-q 97.5%,1.7295863298695129,22996
260080,Altinho,543,21134,2025-12-21,0.025693195798239803,0.007454145308640366,global-q 2.5%,3.4468332363279663,22996
260080,Altinho,543,21134,2025-12-21,0.025693195798239803,0.009820323685458794,global-q median,2.616328811674953,22996
260080,Altinho,543,21134,2025-12-21,0.025693195798239803,0.01510174051658718,global-q 97.5%,1.7013400389193132,22996
260090,Amaraji,543,22910,2021-12-31,0.02370144041903099,0.007454145308640366,global-q 2.5%,3.1796321962704166,22910
260090,Amaraji,543,22910,2021-12-31,0.02370144041903099,0.009820323685458794,global-q median,2.4135090836289157,22910
260090,Amaraji,543,22910,2021-12-31,0.02370144041903099,0.01510174051658718,global-q 97.5%,1.5694509115024342,22910
260090,Amaraji,611,18205,2022-12-31,0.03356220818456468,0.007454145308640366,global-q 2.5%,4.502489124495805,22910
260090,Amaraji,611,18205,2022-12-31,0.03356220818456468,0.009820323685458794,global-q median,3.4176274896377503,22910
260090,Amaraji,611,18205,2022-12-31,0.03356220818456468,0.01510174051658718,global-q 97.5%,2.2224066257595423,22910
260090,Amaraji,615,18335,2025-12-21,0.03354240523588765,0.007454145308640366,global-q 2.5%,4.499832488777412,22910
260090,Amaraji,615,18335,2025-12-21,0.03354240523588765,0.009820323685458794,global-q median,3.4156109625545996,22910
260090,Amaraji,615,18335,2025-12-21,0.03354240523588765,0.01510174051658718,global-q 97.5%,2.221095323353354,22910
260110,Araripina,647,85088,2022-12-31,0.007603892440767206,0.007454145308640366,global-q 2.5%,1.0200891082648016,90504
260110,Araripina,682,90504,2025-12-21,0.007535578537965173,0.007454145308640366,global-q 2.5%,1.0109245561969946,90504
260140,Barreiros,363,40121,2022-12-31,0.009047630916477655,0.007454145308640366,global-q 2.5%,1.2137717393287495,42866
260140,Barreiros,379,42083,2025-12-21,0.009006011928807357,0.007454145308640366,global-q 2.5%,1.2081884046945217,42866
260160,Belém do São Francisco,464,18301,2022-12-31,0.025353805802961586,0.007454145308640366,global-q 2.5%,3.4013028661479248,20730
260160,Belém do São Francisco,464,18301,2022-12-31,0.025353805802961586,0.009820323685458794,global-q median,2.581768851519998,20730
260160,Belém do São Francisco,464,18301,2022-12-31,0.025353805802961586,0.01510174051658718,global-q 97.5%,1.6788664707299086,20730
260160,Belém do São Francisco,475,18648,2025-12-21,0.025471900471900472,0.007454145308640366,global-q 2.5%,3.417145684344935,20730
260160,Belém do São Francisco,475,18648,2025-12-21,0.025471900471900472,0.009820323685458794,global-q median,2.593794388836426,20730
260160,Belém do São Francisco,475,18648,2025-12-21,0.025471900471900472,0.01510174051658718,global-q 97.5%,1.6866864083595596,20730
260290,Cabo de Santo Agostinho,2372,210796,2021-12-31,0.011252585438053853,0.007454145308640366,global-q 2.5%,1.5095741996081802,218049
260290,Cabo de Santo Agostinho,2372,210796,2021-12-31,0.011252585438053853,0.009820323685458794,global-q median,1.145846694922678,218049
260290,Cabo de Santo Agostinho,2430,203440,2022-12-31,0.011944553676759733,0.007454145308640366,global-q 2.5%,1.6024041901778294,218049
260290,Cabo de Santo Agostinho,2430,203440,2022-12-31,0.011944553676759733,0.009820323685458794,global-q median,1.2163095697595325,218049
260290,Cabo de Santo Agostinho,2491,218049,2025-12-21,0.011424037716293127,0.007454145308640366,global-q 2.5%,1.5325751301160062,218049
260290,Cabo de Santo Agostinho,2491,218049,2025-12-21,0.011424037716293127,0.009820323685458794,global-q median,1.1633056182464732,218049
260345,Camaragibe,1220,159945,2021-12-31,0.007627621995060802,0.007454145308640366,global-q 2.5%,1.0232725120369404,159945
260345,Camaragibe,1238,147771,2022-12-31,0.008377827855262535,0.007454145308640366,global-q 2.5%,1.1239152858412211,159945
260345,Camaragibe,1279,156112,2025-12-21,0.008192835912678078,0.007454145308640366,global-q 2.5%,1.0990979613962542,159945
260430,Cedro,891,10518,2022-12-31,0.08471192241871078,0.007454145308640366,global-q 2.5%,11.36440449054812,11972
260430,Cedro,891,10518,2022-12-31,0.08471192241871078,0.009820323685458794,global-q median,8.626184343001434,11972
260430,Cedro,891,10518,2022-12-31,0.08471192241871078,0.01510174051658718,global-q 97.5%,5.609414512563397,11972
260430,Cedro,891,10518,2022-12-31,0.08471192241871078,0.05,fixed q=0.05,1.6942384483742157,11972
260430,Cedro,911,10843,2025-12-21,0.08401733837498847,0.007454145308640366,global-q 2.5%,11.271223580468838,11972
260430,Cedro,911,10843,2025-12-21,0.08401733837498847,0.009820323685458794,global-q median,8.555455101688256,11972
260430,Cedro,911,10843,2025-12-21,0.08401733837498847,0.01510174051658718,global-q 97.5%,5.563420870773604,11972
260430,Cedro,911,10843,2025-12-21,0.08401733837498847,0.05,fixed q=0.05,1.6803467674997692,11972
260515,Dormentes,529,17188,2022-12-31,0.030777286478938796,0.007454145308640366,global-q 2.5%,4.128882011900646,19246
260515,Dormentes,529,17188,2022-12-31,0.030777286478938796,0.009820323685458794,global-q median,3.1340399221780757,19246
260515,Dormentes,529,17188,2022-12-31,0.030777286478938796,0.01510174051658718,global-q 97.5%,2.0379959810019375,19246
260515,Dormentes,541,17850,2025-12-21,0.03030812324929972,0.007454145308640366,global-q 2.5%,4.065942102600078,19246
260515,Dormentes,541,17850,2025-12-21,0.03030812324929972,0.009820323685458794,global-q median,3.08626520062447,19246
260515,Dormentes,541,17850,2025-12-21,0.03030812324929972,0.01510174051658718,global-q 97.5%,2.006929149392444,19246
260620,Goiana,687,78940,2016-12-31,0.008702812262477832,0.007454145308640366,global-q 2.5%,1.1675130953497903,85497
260620,Goiana,754,79455,2018-12-31,0.009489648228557045,0.007454145308640366,global-q 2.5%,1.2730699276223196,85497
260620,Goiana,785,80345,2021-12-31,0.00977036529964528,0.007454145308640366,global-q 2.5%,1.3107291171692212,85497
260620,Goiana,791,81055,2022-12-31,0.009758805749182654,0.007454145308640366,global-q 2.5%,1.3091783625241211,85497
260620,Goiana,811,85497,2025-12-21,0.009485712948992362,0.007454145308640366,global-q 2.5%,1.2725419959277067,85497
260630,Granito,94,6967,2022-12-31,0.013492177407779532,0.007454145308640366,global-q 2.5%,1.8100233962625154,7586
260630,Granito,94,6967,2022-12-31,0.013492177407779532,0.009820323685458794,global-q median,1.373903533114468,7586
260630,Granito,101,7217,2025-12-21,0.013994734654288486,0.007454145308640366,global-q 2.5%,1.8774432312268838,7586
260630,Granito,101,7217,2025-12-21,0.013994734654288486,0.009820323685458794,global-q median,1.4250787552971242,7586
260640,Gravatá,637,82579,2016-12-31,0.007713825548868357,0.007454145308640366,global-q 2.5%,1.0348370241625133,92429
260640,Gravatá,640,83437,2018-12-31,0.007670457950309815,0.007454145308640366,global-q 2.5%,1.029019107183048,92429
260640,Gravatá,950,85309,2021-12-31,0.011135987996577149,0.007454145308640366,global-q 2.5%,1.4939322397792578,92429
260640,Gravatá,950,85309,2021-12-31,0.011135987996577149,0.009820323685458794,global-q median,1.1339736197358232,92429
260640,Gravatá,1214,86516,2022-12-31,0.014032086550464654,0.007454145308640366,global-q 2.5%,1.8824541204206955,92429
260640,Gravatá,1214,86516,2022-12-31,0.014032086550464654,0.009820323685458794,global-q median,1.4288822853407903,92429
260640,Gravatá,1235,92429,2025-12-21,0.013361607287756008,0.007454145308640366,global-q 2.5%,1.7925069521073183,92429
260640,Gravatá,1235,92429,2025-12-21,0.013361607287756008,0.009820323685458794,global-q median,1.360607625137742,92429
260710,Ingazeira,42,4765,2022-12-31,0.00881427072402938,0.007454145308640366,global-q 2.5%,1.1824656428165472,4975
260710,Ingazeira,43,4975,2025-12-21,0.00864321608040201,0.007454145308640366,global-q 2.5%,1.1595180564005574,4975
260740,Itacuruba,34,4284,2022-12-31,0.007936507936507936,0.007454145308640366,global-q 2.5%,1.0647106553327377,5013
260740,Itacuruba,35,4491,2025-12-21,0.00779336450679136,0.007454145308640366,global-q 2.5%,1.0455074571403635,5013
260760,Ilha de Itamaracá,265,27076,2021-12-31,0.009787265474959374,0.007454145308640366,global-q 2.5%,1.3129963355576935,27076
260760,Ilha de Itamaracá,282,24540,2022-12-31,0.011491442542787287,0.007454145308640366,global-q 2.5%,1.5416177263766437,27076
260760,Ilha de Itamaracá,282,24540,2022-12-31,0.011491442542787287,0.009820323685458794,global-q median,1.1701694272871026,27076
260760,Ilha de Itamaracá,308,25658,2025-12-21,0.012004053316704342,0.007454145308640366,global-q 2.5%,1.6103862776581528,27076
260760,Ilha de Itamaracá,308,25658,2025-12-21,0.012004053316704342,0.009820323685458794,global-q median,1.2223683965202747,27076
260910,Machados,124,11333,2022-12-31,0.010941498279361158,0.007454145308640366,global-q 2.5%,1.4678407552209207,16549
260910,Machados,124,11333,2022-12-31,0.010941498279361158,0.009820323685458794,global-q median,1.1141688023545004,16549
260910,Machados,151,11387,2025-12-21,0.013260735926934223,0.007454145308640366,global-q 2.5%,1.778974701709025,16549
260910,Machados,151,11387,2025-12-21,0.013260735926934223,0.009820323685458794,global-q median,1.3503359310416352,16549
260930,Mirandiba,558,14166,2022-12-31,0.03939008894536213,0.007454145308640366,global-q 2.5%,5.284319974243549,15548
260930,Mirandiba,558,14166,2022-12-31,0.03939008894536213,0.009820323685458794,global-q median,4.0110784742959185,15548
260930,Mirandiba,558,14166,2022-12-31,0.03939008894536213,0.01510174051658718,global-q 97.5%,2.6083145119661904,15548
260930,Mirandiba,568,14605,2025-12-21,0.03889079082505991,0.007454145308640366,global-q 2.5%,5.217337362605503,15548
260930,Mirandiba,568,14605,2025-12-21,0.03889079082505991,0.009820323685458794,global-q median,3.9602351277531214,15548
260930,Mirandiba,568,14605,2025-12-21,0.03889079082505991,0.01510174051658718,global-q 97.5%,2.575252222241783,15548
261060,Paudalho,592,57346,2021-12-31,0.010323300666131902,0.007454145308640366,global-q 2.5%,1.3849073553967073,59924
261060,Paudalho,592,57346,2021-12-31,0.010323300666131902,0.009820323685458794,global-q median,1.0512179635603944,59924
261060,Paudalho,639,56665,2022-12-31,0.011276802258889967,0.007454145308640366,global-q 2.5%,1.5128229719131747,59924
261060,Paudalho,639,56665,2022-12-31,0.011276802258889967,0.009820323685458794,global-q median,1.1483126850072995,59924
261060,Paudalho,652,59924,2025-12-21,0.010880448568186369,0.007454145308640366,global-q 2.5%,1.4596507201938298,59924
261060,Paudalho,652,59924,2025-12-21,0.010880448568186369,0.009820323685458794,global-q median,1.107952132402451,59924
261150,Quipapá,255,17928,2022-12-31,0.014223560910307898,0.007454145308640366,global-q 2.5%,1.908141084105358,26309
261150,Quipapá,255,17928,2022-12-31,0.014223560910307898,0.009820323685458794,global-q median,1.4483800499742274,26309
261150,Quipapá,263,17731,2025-12-21,0.014832778749083526,0.007454145308640366,global-q 2.5%,1.9898698153751204,26309
261150,Quipapá,263,17731,2025-12-21,0.014832778749083526,0.009820323685458794,global-q median,1.510416481591824,26309
261160,Recife,21731,1661017,2021-12-31,0.013082948579093411,0.007454145308640366,global-q 2.5%,1.7551238991717129,1661017
261160,Recife,21731,1661017,2021-12-31,0.013082948579093411,0.009820323685458794,global-q median,1.332231909877438,1661017
261160,Recife,22779,1488920,2022-12-31,0.015299008677430621,0.007454145308640366,global-q 2.5%,2.052416211915938,1661017
261160,Recife,22779,1488920,2022-12-31,0.015299008677430621,0.009820323685458794,global-q median,1.557892506138495,1661017
261160,Recife,22779,1488920,2022-12-31,0.015299008677430621,0.01510174051658718,global-q 97.5%,1.0130626109372471,1661017
261160,Recife,24710,1588376,2025-12-21,0.015556769933567367,0.007454145308640366,global-q 2.5%,2.0869957975644717,1661017
261160,Recife,24710,1588376,2025-12-21,0.015556769933567367,0.009820323685458794,global-q median,1.5841402413855947,1661017
261160,Recife,24710,1588376,2025-12-21,0.015556769933567367,0.01510174051658718,global-q 97.5%,1.030130925404287,1661017
261190,Rio Formoso,167,20388,2025-12-21,0.00819109279968609,0.007454145308640366,global-q 2.5%,1.0988641166132758,23719
261220,Salgueiro,2772,62372,2022-12-31,0.044443019303533636,0.007454145308640366,global-q 2.5%,5.962188482161482,65946
261220,Salgueiro,2772,62372,2022-12-31,0.044443019303533636,0.009820323685458794,global-q median,4.52561654045493,65946
261220,Salgueiro,2772,62372,2022-12-31,0.044443019303533636,0.01510174051658718,global-q 97.5%,2.942907094365653,65946
261220,Salgueiro,2799,65946,2025-12-21,0.04244381766900191,0.007454145308640366,global-q 2.5%,5.693988500573468,65946
261220,Salgueiro,2799,65946,2025-12-21,0.04244381766900191,0.009820323685458794,global-q median,4.322038562929404,65946
261220,Salgueiro,2799,65946,2025-12-21,0.04244381766900191,0.01510174051658718,global-q 97.5%,2.810524894291703,65946
261255,Santa Filomena,102,12106,2022-12-31,0.00842557409548984,0.007454145308640366,global-q 2.5%,1.1303206131122043,14645
261255,Santa Filomena,104,12360,2025-12-21,0.008414239482200648,0.007454145308640366,global-q 2.5%,1.1288000345857763,14645
261300,São Bento do Una,838,58251,2016-12-31,0.014386019124135207,0.007454145308640366,global-q 2.5%,1.9299354290101989,60567
261300,São Bento do Una,838,58251,2016-12-31,0.014386019124135207,0.009820323685458794,global-q median,1.4649231109802374,60567
