state,q,alpha_R_median,alpha_R_lo,alpha_R_hi,beta_sin1_median,beta_cos1_median,beta_sin2_median,beta_cos2_median,sigma_season_year_median,A_year_median_across_years,A_year_sd_across_years,phi_obs_median,phi_obs_lo,phi_obs_hi
"Ceara (v4.9, w/ serology, w/ 2022 seed)",0.05,0.294378854318613,0.26710631797142126,0.32628709580034415,0.2375253269005309,0.163088544880267,0.04604064422925139,-0.037393595418331343,0.48081840225582334,1.0460228923609587,0.6255350039770159,7.61388967070028,6.467511418254881,8.997555263929586
"Bahia (frozen v4.9 structure, case-only, no seed)",0.05,0.07193420486699031,0.06768938561275085,0.07659761421953852,0.18225679799000488,0.29352042305032555,0.023717928138270283,0.07400975081821065,0.2840914242396456,1.0793680755797832,0.23984608974796717,2.8439429905171987,2.521209936467038,3.2031775148043815
"Ceara (v4.9, w/ serology, w/ 2022 seed)",0.1,0.12135287194654149,0.10911374493600944,0.13587075248971292,0.24458397494886622,0.1627048370431176,0.05374755582152051,-0.03781355425832621,0.5105663068848714,1.0239344012957314,0.6794245575669036,7.685605954400575,6.488395940385113,9.000106369255564
"Bahia (frozen v4.9 structure, case-only, no seed)",0.1,0.037781514874485694,0.03533435058935214,0.040314911899284385,0.17097233092336012,0.2964196179798664,0.018239982774840784,0.071408979180964,0.2976186200196673,1.0118759238855946,0.26118855288937004,2.91837512916321,2.5757645677950674,3.2756847754915617
"Ceara (v4.9, w/ serology, w/ 2022 seed)",0.15,0.05778435056019655,0.042089553131754456,0.06925123207819257,0.2539200760488085,0.1666975667570763,0.05564245166148665,-0.03834128060994618,0.527354227814428,1.0683878638237942,0.6687893943811285,7.773164603496063,6.543644828465876,9.135640527689382
"Bahia (frozen v4.9 structure, case-only, no seed)",0.15,0.024580537957212288,0.022250813087256606,0.02685816346262414,0.160832993076288,0.2936683341195282,0.01322769904282484,0.07143757041347014,0.32714708031759654,1.0463188505761245,0.30168866523640925,2.9500653617010197,2.594770563061497,3.3711161514354466
"Ceara (v4.9, w/ serology, w/ 2022 seed)",0.2,0.020187263709686765,0.0011741932906009181,0.03265379438693449,0.2564663946868428,0.16574699510993085,0.05650262060734596,-0.04013947344461854,0.5228352605513589,1.0736418478331107,0.6633673638416011,7.8269474023684324,6.608916951767307,9.078335132987824
"Bahia (frozen v4.9 structure, case-only, no seed)",0.2,0.016704791970470152,0.014263723253381485,0.018992405097856026,0.15538584753810852,0.2907271502900426,0.01039018573911694,0.0722559468002,0.34936337087176306,1.063059893037146,0.3337171360406824,2.9853380061269164,2.642290996259137,3.3633417825063794
"Bahia (frozen v4.9 structure, case-only, no seed)",0.25,0.01100076348333399,0.008472704065357476,0.013412581869049136,0.15111600802403138,0.28923867327985653,0.008961507786590394,0.06978378404232968,0.36969087178327,1.0843494915407965,0.36387039149255135,2.9914808926042418,2.6120255472172547,3.381683692104315
"Bahia (frozen v4.9 structure, case-only, no seed)",0.3,0.006540767645122519,0.003963724100948971,0.009060981237715236,0.14723225533126366,0.2844593546773025,0.007741393798170185,0.07028262210338432,0.3844702465911537,1.1027348771546408,0.38939756335188497,3.0111683818565615,2.645238262071101,3.409050866773583
