"episode_id","wave_id","window_weeks","week_in_episode","week_start","I_obs","Lambda","audit_peak_week","audit_total_cases"
"CE_wave_01",1,4,1,2016-02-07,7,7.98874625097503,2017-04-30,194224
"CE_wave_01",1,4,2,2016-02-14,20,12.8159046999937,2017-04-30,194224
"CE_wave_01",1,4,3,2016-02-21,20,12.9109068588348,2017-04-30,194224
"CE_wave_01",1,4,4,2016-02-28,55,15.9488026018639,2017-04-30,194224
"CE_wave_02",2,4,1,2019-02-03,21,17.5659374652539,2019-05-05,4364
"CE_wave_02",2,4,2,2019-02-10,34,17.6223974223068,2019-05-05,4364
"CE_wave_02",2,4,3,2019-02-17,23,21.0971724361755,2019-05-05,4364
"CE_wave_02",2,4,4,2019-02-24,25,26.175204422739,2019-05-05,4364
"CE_wave_03",3,4,1,2020-02-02,15,10.6221587559022,2020-03-01,692
"CE_wave_03",3,4,2,2020-02-09,12,14.3327838496962,2020-03-01,692
"CE_wave_03",3,4,3,2020-02-16,24,14.8173420497031,2020-03-01,692
"CE_wave_03",3,4,4,2020-02-23,19,15.1847619453665,2020-03-01,692
"CE_wave_04",4,4,1,2020-04-19,32,18.7438180562383,2020-04-26,1661
"CE_wave_04",4,4,2,2020-04-26,31,22.7549624276637,2020-04-26,1661
"CE_wave_04",4,4,3,2020-05-03,28,27.5191765912143,2020-04-26,1661
"CE_wave_04",4,4,4,2020-05-10,36,29.5367208040216,2020-04-26,1661
"CE_wave_05",5,4,1,2021-04-11,13,15.8817953555721,2021-06-27,3344
"CE_wave_05",5,4,2,2021-04-18,19,18.3950616404451,2021-06-27,3344
"CE_wave_05",5,4,3,2021-04-25,21,17.1505532483461,2021-06-27,3344
"CE_wave_05",5,4,4,2021-05-02,25,17.9148867613182,2021-06-27,3344
"CE_wave_06",6,4,1,2021-12-05,62,33.9103476921364,2022-05-15,89068
"CE_wave_06",6,4,2,2021-12-12,72,42.1900590924316,2022-05-15,89068
"CE_wave_06",6,4,3,2021-12-19,80,54.2148854781407,2022-05-15,89068
"CE_wave_06",6,4,4,2021-12-26,23,65.7115166242058,2022-05-15,89068
"CE_wave_07",7,4,1,2024-01-21,11,8.22448051130451,2024-03-31,8692
"CE_wave_07",7,4,2,2024-01-28,18,11.0674628178363,2024-03-31,8692
"CE_wave_07",7,4,3,2024-02-04,20,12.5669366014383,2024-03-31,8692
"CE_wave_07",7,4,4,2024-02-11,25,15.5301155819678,2024-03-31,8692
"CE_wave_01",1,6,1,2016-02-07,7,7.98874625097503,2017-04-30,194224
"CE_wave_01",1,6,2,2016-02-14,20,12.8159046999937,2017-04-30,194224
"CE_wave_01",1,6,3,2016-02-21,20,12.9109068588348,2017-04-30,194224
"CE_wave_01",1,6,4,2016-02-28,55,15.9488026018639,2017-04-30,194224
"CE_wave_01",1,6,5,2016-03-06,113,23.5055473347006,2017-04-30,194224
"CE_wave_01",1,6,6,2016-03-13,132,47.6863173470739,2017-04-30,194224
"CE_wave_02",2,6,1,2019-02-03,21,17.5659374652539,2019-05-05,4364
"CE_wave_02",2,6,2,2019-02-10,34,17.6223974223068,2019-05-05,4364
"CE_wave_02",2,6,3,2019-02-17,23,21.0971724361755,2019-05-05,4364
"CE_wave_02",2,6,4,2019-02-24,25,26.175204422739,2019-05-05,4364
"CE_wave_02",2,6,5,2019-03-03,37,25.9154559447494,2019-05-05,4364
"CE_wave_02",2,6,6,2019-03-10,32,26.9184917727622,2019-05-05,4364
"CE_wave_03",3,6,1,2020-02-02,15,10.6221587559022,2020-03-01,692
"CE_wave_03",3,6,2,2020-02-09,12,14.3327838496962,2020-03-01,692
"CE_wave_03",3,6,3,2020-02-16,24,14.8173420497031,2020-03-01,692
"CE_wave_03",3,6,4,2020-02-23,19,15.1847619453665,2020-03-01,692
"CE_wave_03",3,6,5,2020-03-01,44,18.5981784652254,2020-03-01,692
"CE_wave_03",3,6,6,2020-03-08,29,23.0697771947716,2020-03-01,692
