"episode_id","week_in_episode","I_rep_q025","I_rep_median","I_rep_q975","week_start","I_obs","Lambda"
"CE_major_wave_01",1,6,19,44,2016-02-07,7,7.98874625097503
"CE_major_wave_01",2,10,31,70,2016-02-14,20,12.8159046999937
"CE_major_wave_01",3,10,30,69.0250000000001,2016-02-21,20,12.9109068588348
"CE_major_wave_01",4,12,38,87,2016-02-28,55,15.9488026018639
"CE_major_wave_01",5,20,57,127,2016-03-06,113,23.5055473347006
"CE_major_wave_01",6,41,116,248.025,2016-03-13,132,47.6863173470739
"CE_major_wave_02",1,6,22,51,2019-02-03,21,17.5659374652539
"CE_major_wave_02",2,6,22,50.0250000000001,2019-02-10,34,17.6223974223068
"CE_major_wave_02",3,8,26,61,2019-02-17,23,21.0971724361755
"CE_major_wave_02",4,10,33,75,2019-02-24,25,26.175204422739
"CE_major_wave_02",5,10,32,75,2019-03-03,37,25.9154559447494
"CE_major_wave_02",6,10,33,78,2019-03-10,32,26.9184917727622
"CE_major_wave_06",1,14,41,92,2021-12-05,62,33.9103476921364
"CE_major_wave_06",2,17,51,120.025,2021-12-12,72,42.1900590924316
"CE_major_wave_06",3,23.975,65,144.025,2021-12-19,80,54.2148854781407
"CE_major_wave_06",4,28,79.5,177,2021-12-26,23,65.7115166242058
"CE_major_wave_06",5,27,79,178.025,2022-01-02,44,66.0261693095586
"CE_major_wave_06",6,20,58,132,2022-01-09,75,48.8710305040736
"CE_major_wave_07",1,3,13,31,2024-01-21,11,8.22448051130451
"CE_major_wave_07",2,5,17,40,2024-01-28,18,11.0674628178363
"CE_major_wave_07",3,5.97500000000001,20,47,2024-02-04,20,12.5669366014383
"CE_major_wave_07",4,7,24,57.0250000000001,2024-02-11,25,15.5301155819678
"CE_major_wave_07",5,9,29,68,2024-02-18,35,18.8801198398063
"CE_major_wave_07",6,12,38,85.0250000000001,2024-02-25,45,23.6880537897737
