"year","observed_cases","posterior_infections_q025","posterior_infections_median","posterior_infections_q975","implied_case_detection_q025","implied_case_detection_median","implied_case_detection_q975","susceptible_start_q025","susceptible_start_median","susceptible_start_q975","susceptible_end_q025","susceptible_end_median","susceptible_end_q975","attack_increment_q025","attack_increment_median","attack_increment_q975"
2015,25,705.166483198759,1336.75702499184,2210.43117291759,0.01131001061681,0.0187019776463641,0.035452624287311,1,1,1,0.999750885629117,0.999849348222471,0.99992052812728,7.99851459207065e-05,0.000151624769826681,0.000250723288933825
2016,30862,803298.548677731,1457631.80653473,1852738.42619048,0.0166575053536291,0.0211726993497954,0.0384190909917535,0.999750885629117,0.999849348222471,0.99992052812728,0.792187760099286,0.836546469404209,0.909865301846655,0.0905313022350927,0.16427429856819,0.208802596120849
2017,107421,2657589.2937564,4867739.79877137,5696834.07293845,0.0188562627367688,0.022067942165977,0.0404204669220611,0.792187760099286,0.836546469404209,0.909865301846655,0.160713852304215,0.294654039255881,0.615140106987448,0.297796335637678,0.545454889631519,0.638359100724329
2018,1454,33794.8365349279,61519.1983884961,70251.0406536134,0.0206972024790091,0.0236348983478568,0.0430243243488592,0.160713852304215,0.294654039255881,0.615140106987448,0.159013969604003,0.292113203922503,0.614029037745357,0.0037647584967237,0.00685326365184077,0.00782599442169302
2019,1202,26103.9582783891,46845.5460090236,55458.6816022076,0.0216737933176757,0.025658789439395,0.0460466585521287,0.159013969604003,0.292113203922503,0.614029037745357,0.158777313231073,0.290915992358689,0.613380580639324,0.00288900224880687,0.00518453509323518,0.0061377762772968
2020,1013,20437.6728229839,36360.033833961,46243.0464114021,0.0219059962256652,0.0278602603135391,0.0495653309801942,0.158777313231073,0.290915992358689,0.613380580639324,0.15869659366476,0.289654163708892,0.612774275908325,0.00224863378545304,0.00400047506520967,0.00508784328840088
2021,1318,23203.6813733187,43249.0433114343,58279.6255503605,0.0226151078528914,0.0304746625392567,0.0568013329353902,0.15869659366476,0.289654163708892,0.612774275908325,0.15761383712459,0.286987401615939,0.611212855503633,0.00254161022412117,0.00473727461152769,0.00638364618844807
2022,50986,842271.615298326,1599846.53571419,2254081.40151736,0.0226194138314842,0.0318693075407495,0.0605339204420484,0.15761383712459,0.286987401615939,0.611212855503633,0.014600166537563,0.0965139580778221,0.507258276367495,0.0919213960232617,0.174599409875328,0.245999396648501
2023,2017,29435.6955651318,58730.9497151244,88117.3579499565,0.0228899282380465,0.0343430519401097,0.0685222639767383,0.014600166537563,0.0965139580778221,0.507258276367495,0.0117812378448915,0.0936241024901619,0.505371472687314,0.00320068994144097,0.00638610898759077,0.00958143967186787
2024,890,11403.7349659669,24188.5548629792,38683.0889910608,0.0230074697942333,0.0367942616592709,0.078044610187107,0.0117812378448915,0.0936241024901619,0.505371472687314,0.0126209972768946,0.0942628490665724,0.505784945030872,0.00123501838989528,0.0026196075382253,0.00418935782219533
2025,683,7746.99926662608,17240.6595818768,29910.9454652864,0.02283445037867,0.0396156537651643,0.0881631706371891,0.0126209972768946,0.0942628490665724,0.505784945030872,0.0106556458714182,0.0920850854750578,0.504283759384019,0.000835811451041541,0.00186006738946259,0.00322704441693503
