"version","quantity","week_start","q025","median","q975"
"v2","posterior_predictive_cases",2015-01-04,0,0,2
"v2","posterior_predictive_cases",2015-01-11,0,0,2
"v2","posterior_predictive_cases",2015-01-18,0,0,2
"v2","posterior_predictive_cases",2015-01-25,0,0,2
"v2","posterior_predictive_cases",2015-02-01,0,0,3
"v2","posterior_predictive_cases",2015-02-08,0,0,4
"v2","posterior_predictive_cases",2015-02-15,0,0,4
"v2","posterior_predictive_cases",2015-02-22,0,0,4
"v2","posterior_predictive_cases",2015-03-01,0,1,3
"v2","posterior_predictive_cases",2015-03-08,0,1,4
"v2","posterior_predictive_cases",2015-03-15,0,1,4
"v2","posterior_predictive_cases",2015-03-22,0,1,4
"v2","posterior_predictive_cases",2015-03-29,0,1,4
"v2","posterior_predictive_cases",2015-04-05,0,1,4
"v2","posterior_predictive_cases",2015-04-12,0,1,4
"v2","posterior_predictive_cases",2015-04-19,0,1,4
"v2","posterior_predictive_cases",2015-04-26,0,1,4
"v2","posterior_predictive_cases",2015-05-03,0,1,4
"v2","posterior_predictive_cases",2015-05-10,0,1,4
"v2","posterior_predictive_cases",2015-05-17,0,1,3
"v2","posterior_predictive_cases",2015-05-24,0,0,3
"v2","posterior_predictive_cases",2015-05-31,0,0,3
"v2","posterior_predictive_cases",2015-06-07,0,0,2
"v2","posterior_predictive_cases",2015-06-14,0,0,2
"v2","posterior_predictive_cases",2015-06-21,0,0,2
"v2","posterior_predictive_cases",2015-06-28,0,0,2
"v2","posterior_predictive_cases",2015-07-05,0,0,1
"v2","posterior_predictive_cases",2015-07-12,0,0,1
"v2","posterior_predictive_cases",2015-07-19,0,0,1
"v2","posterior_predictive_cases",2015-07-26,0,0,1
"v2","posterior_predictive_cases",2015-08-02,0,0,1
"v2","posterior_predictive_cases",2015-08-09,0,0,1
"v2","posterior_predictive_cases",2015-08-16,0,0,1
"v2","posterior_predictive_cases",2015-08-23,0,0,1
"v2","posterior_predictive_cases",2015-08-30,0,0,1
"v2","posterior_predictive_cases",2015-09-06,0,0,1
"v2","posterior_predictive_cases",2015-09-13,0,0,1
"v2","posterior_predictive_cases",2015-09-20,0,0,1
"v2","posterior_predictive_cases",2015-09-27,0,0,1
"v2","posterior_predictive_cases",2015-10-04,0,0,1
"v2","posterior_predictive_cases",2015-10-11,0,0,1
"v2","posterior_predictive_cases",2015-10-18,0,0,1
"v2","posterior_predictive_cases",2015-10-25,0,0,1
"v2","posterior_predictive_cases",2015-11-01,0,0,1
"v2","posterior_predictive_cases",2015-11-08,0,0,1
"v2","posterior_predictive_cases",2015-11-15,0,0,2
"v2","posterior_predictive_cases",2015-11-22,0,0,2
"v2","posterior_predictive_cases",2015-11-29,0,0,2
"v2","posterior_predictive_cases",2015-12-06,0,1,3
"v2","posterior_predictive_cases",2015-12-13,0,1,4
"v2","posterior_predictive_cases",2015-12-20,0,1,4
"v2","posterior_predictive_cases",2015-12-27,0,2,6
"v2","posterior_predictive_cases",2016-01-03,0,3,7
"v2","posterior_predictive_cases",2016-01-10,1,4,9
"v2","posterior_predictive_cases",2016-01-17,1,6,12
"v2","posterior_predictive_cases",2016-01-24,3,8,15
"v2","posterior_predictive_cases",2016-01-31,5,12,21
"v2","posterior_predictive_cases",2016-02-07,6,14,25
"v2","posterior_predictive_cases",2016-02-14,12,22,35
"v2","posterior_predictive_cases",2016-02-21,18,31,49
"v2","posterior_predictive_cases",2016-02-28,34,53,79
"v2","posterior_predictive_cases",2016-03-06,60,89,127
"v2","posterior_predictive_cases",2016-03-13,85,125,175.025
"v2","posterior_predictive_cases",2016-03-20,122,174,242.025
"v2","posterior_predictive_cases",2016-03-27,176,242,329.025
"v2","posterior_predictive_cases",2016-04-03,252.975,350,477
"v2","posterior_predictive_cases",2016-04-10,365,496,676
"v2","posterior_predictive_cases",2016-04-17,523.975,718,967.05
"v2","posterior_predictive_cases",2016-04-24,774.975,1054,1396
"v2","posterior_predictive_cases",2016-05-01,1098,1487,1976.125
"v2","posterior_predictive_cases",2016-05-08,1386,1881,2491.075
"v2","posterior_predictive_cases",2016-05-15,1478.975,1993,2676.075
"v2","posterior_predictive_cases",2016-05-22,1542.975,2086,2818.025
"v2","posterior_predictive_cases",2016-05-29,1595,2151.5,2860
"v2","posterior_predictive_cases",2016-06-05,1498,2017,2662.025
"v2","posterior_predictive_cases",2016-06-12,1372.925,1847,2441.1
"v2","posterior_predictive_cases",2016-06-19,1175.95,1580.5,2090.075
"v2","posterior_predictive_cases",2016-06-26,1066.975,1440,1931.05
"v2","posterior_predictive_cases",2016-07-03,950.975,1268,1699.075
"v2","posterior_predictive_cases",2016-07-10,849,1166,1546
"v2","posterior_predictive_cases",2016-07-17,713.975,965,1295
"v2","posterior_predictive_cases",2016-07-24,609.975,833,1111.025
"v2","posterior_predictive_cases",2016-07-31,519.975,704,941.025
"v2","posterior_predictive_cases",2016-08-07,424,577,777.025
"v2","posterior_predictive_cases",2016-08-14,361,498,671
"v2","posterior_predictive_cases",2016-08-21,306,420.5,569
"v2","posterior_predictive_cases",2016-08-28,252,352,479.05
"v2","posterior_predictive_cases",2016-09-04,205,284,386.025
"v2","posterior_predictive_cases",2016-09-11,184,256,349
"v2","posterior_predictive_cases",2016-09-18,152,216,298
"v2","posterior_predictive_cases",2016-09-25,143,204,280
"v2","posterior_predictive_cases",2016-10-02,139,194,269
"v2","posterior_predictive_cases",2016-10-09,139,195,268
"v2","posterior_predictive_cases",2016-10-16,148.975,209,288
