"muni6","total_cases","mean_population","incidence_per_100k","has_epidemic_signal_1000","has_epidemic_signal_500","has_epidemic_signal_100"
"231070",2114,37171,5687.22929165209,TRUE,TRUE,TRUE
"231170",814,18821.8,4324.7723384586,TRUE,TRUE,TRUE
"230410",2688,74620.6,3602.22244259628,TRUE,TRUE,TRUE
"230110",2447,73635,3323.14795953011,TRUE,TRUE,TRUE
"230280",2352,77363.8,3040.18158363472,TRUE,TRUE,TRUE
"230440",79655,2628195,3030.78728937541,TRUE,TRUE,TRUE
"230930",953,32089.8,2969.79102393907,TRUE,TRUE,TRUE
"231140",2272,78785.2,2883.79035656443,TRUE,TRUE,TRUE
"231150",590,21866.6,2698.17895786268,TRUE,TRUE,TRUE
"230560",701,26046.4,2691.35082007494,TRUE,TRUE,TRUE
"230360",545,20411.8,2670.02420168726,TRUE,TRUE,TRUE
"230610",629,23852.8,2637.0069761202,TRUE,TRUE,TRUE
"230660",537,20775.4,2584.78777785265,TRUE,TRUE,TRUE
"231090",419,16715.4,2506.67049547124,TRUE,TRUE,TRUE
"230195",509,21457.4,2372.14201161371,TRUE,TRUE,TRUE
"230830",655,28171,2325.08608143126,TRUE,TRUE,TRUE
"230400",509,23078,2205.56374035878,TRUE,TRUE,TRUE
"230520",430,20147.2,2134.291613723,TRUE,TRUE,TRUE
"230460",147,7020.8,2093.77848678213,TRUE,TRUE,TRUE
"230030",1120,53653.2,2087.48033668076,TRUE,TRUE,TRUE
"230370",7235,359940.2,2010.05611487686,TRUE,TRUE,TRUE
"230535",374,19679,1900.50307434321,TRUE,TRUE,TRUE
"230250",927,48784.6,1900.18981399868,TRUE,TRUE,TRUE
"231390",259,13679.8,1893.30253366277,TRUE,TRUE,TRUE
"230210",649,35355.8,1835.62527223256,TRUE,TRUE,TRUE
"230945",466,25407.6,1834.09688439679,TRUE,TRUE,TRUE
"230350",1248,70988.4,1758.0337069155,TRUE,TRUE,TRUE
"231300",319,18198.8,1752.8628261204,TRUE,TRUE,TRUE
"230300",381,22231.8,1713.76136885003,TRUE,TRUE,TRUE
"230970",1367,82283.6,1661.32740910704,TRUE,TRUE,TRUE
"231240",786,48058.2,1635.51693571545,TRUE,TRUE,TRUE
"231085",330,20519.2,1608.24983430153,TRUE,TRUE,TRUE
"231130",1377,86558.2,1590.83714772257,TRUE,TRUE,TRUE
"230445",256,16235,1576.84016014783,TRUE,TRUE,TRUE
"230770",1947,126238,1542.32481503192,TRUE,TRUE,TRUE
"230120",372,26302.4,1414.31960581544,TRUE,TRUE,TRUE
"231000",130,9295.2,1398.57130562011,TRUE,TRUE,TRUE
"230550",1399,102353.2,1366.83562409382,TRUE,TRUE,TRUE
"230940",383,28405,1348.35416299947,TRUE,TRUE,TRUE
"230510",52,3937.4,1320.66846142124,TRUE,TRUE,TRUE
"230125",137,10846.8,1263.04532212265,TRUE,TRUE,TRUE
"230140",142,11419,1243.54146597776,TRUE,TRUE,TRUE
"230790",136,11068.6,1228.70101006451,TRUE,TRUE,TRUE
"231160",324,27751.4,1167.50866622945,TRUE,TRUE,TRUE
"231180",892,76466.6,1166.52237709013,TRUE,TRUE,TRUE
"230765",2607,224702,1160.20329147048,TRUE,TRUE,TRUE
"230523",742,65483.4,1133.11159774844,TRUE,TRUE,TRUE
"230640",1440,127228.4,1131.82276913016,TRUE,TRUE,TRUE
"230240",591,54148.4,1091.44499191112,TRUE,TRUE,TRUE
"230780",277,26938.2,1028.27954354782,TRUE,TRUE,TRUE
"230680",115,11271.4,1020.28142023174,TRUE,TRUE,TRUE
"231270",254,26330,964.679073300418,FALSE,TRUE,TRUE
"230763",189,19687.6,959.995123834292,FALSE,TRUE,TRUE
"230800",362,38164.6,948.52297679001,FALSE,TRUE,TRUE
"231375",185,19687.6,939.677766716106,FALSE,TRUE,TRUE
"230540",627,67603.8,927.462657424583,FALSE,TRUE,TRUE
"230470",503,54381.2,924.95200547248,FALSE,TRUE,TRUE
"230160",213,23281,914.909153386882,FALSE,TRUE,TRUE
"230533",111,12333.2,900.009729834917,FALSE,TRUE,TRUE
"230270",245,27266.8,898.528613552012,FALSE,TRUE,TRUE
"231220",374,43495.2,859.864996597326,FALSE,TRUE,TRUE
"230650",170,20025,848.938826466916,FALSE,TRUE,TRUE
"230220",448,53026.6,844.8589952967,FALSE,TRUE,TRUE
"231335",152,18861.2,805.887218204568,FALSE,TRUE,TRUE
"231290",1591,205309.2,774.928741624827,FALSE,TRUE,TRUE
"231380",167,21560.2,774.575374996521,FALSE,TRUE,TRUE
"231010",100,13119.6,762.218360315863,FALSE,TRUE,TRUE
"231080",122,16201,753.039935806432,FALSE,TRUE,TRUE
"230630",385,51902.2,741.779731880344,FALSE,TRUE,TRUE
"230980",89,12022.6,740.272486816496,FALSE,TRUE,TRUE
"231020",244,34031.6,716.980688536537,FALSE,TRUE,TRUE
"231355",112,15916.6,703.667868765942,FALSE,TRUE,TRUE
"230080",51,7287.8,699.799665193886,FALSE,TRUE,TRUE
"230620",54,7741.2,697.566268795536,FALSE,TRUE,TRUE
"230395",135,19438.4,694.501605070376,FALSE,TRUE,TRUE
"230450",92,13729.2,670.10459458672,FALSE,TRUE,TRUE
"230625",255,38856.2,656.265924099629,FALSE,TRUE,TRUE
"231260",84,12870.4,652.660367976131,FALSE,TRUE,TRUE
"231280",47,7499.6,626.700090671502,FALSE,TRUE,TRUE
"231320",158,25732.8,614.002362743269,FALSE,TRUE,TRUE
"230100",459,79023.4,580.84061176816,FALSE,TRUE,TRUE
"230090",83,14668.4,565.842218646887,FALSE,TRUE,TRUE
"230580",230,41657.8,552.117490602,FALSE,TRUE,TRUE
"230390",67,12981.8,516.107165416198,FALSE,TRUE,TRUE
"231200",163,32020.2,509.053659877202,FALSE,TRUE,TRUE
"230290",84,17678.6,475.150747231116,FALSE,FALSE,TRUE
"230810",219,46762.4,468.324979042992,FALSE,FALSE,TRUE
"231190",72,15754.6,457.009381387023,FALSE,FALSE,TRUE
"230190",267,59789,446.570439378481,FALSE,FALSE,TRUE
"231395",80,18270.2,437.871506606386,FALSE,FALSE,TRUE
"231330",243,58222,417.368005221394,FALSE,FALSE,TRUE
"230310",77,18641.6,413.054673418591,FALSE,FALSE,TRUE
"230910",50,12350.8,404.832075655018,FALSE,FALSE,TRUE
"230050",46,11482.8,400.599157000035,FALSE,FALSE,TRUE
"230526",53,13255.8,399.824982271911,FALSE,FALSE,TRUE
"230700",128,33697.6,379.849010018518,FALSE,FALSE,TRUE
"230435",89,23955.8,371.517544811695,FALSE,FALSE,TRUE
"230015",58,15915.4,364.426907272202,FALSE,FALSE,TRUE
"230837",49,13601,360.26762738034,FALSE,FALSE,TRUE
"230428",184,52441,350.870502088061,FALSE,FALSE,TRUE
"230590",126,38049.2,331.15019501067,FALSE,FALSE,TRUE
"230960",229,70596.8,324.377308886522,FALSE,FALSE,TRUE
"230393",43,13403,320.823696187421,FALSE,FALSE,TRUE
"231050",133,42960,309.590316573557,FALSE,FALSE,TRUE
"230130",63,21436.4,293.892631225392,FALSE,FALSE,TRUE
"230870",169,61826.4,273.346014000492,FALSE,FALSE,TRUE
"230670",49,18039.2,271.630670983192,FALSE,FALSE,TRUE
"230260",166,63052.2,263.273922242206,FALSE,FALSE,TRUE
"230850",114,43777.8,260.405959184792,FALSE,FALSE,TRUE
"230420",334,130488.2,255.961841760404,FALSE,FALSE,TRUE
"230570",29,12376.6,234.313139311281,FALSE,FALSE,TRUE
"230820",33,14904.6,221.408155871342,FALSE,FALSE,TRUE
"230760",126,58892,213.950961081301,FALSE,FALSE,TRUE
"230180",13,6240,208.333333333333,FALSE,FALSE,TRUE
"230185",37,18049.8,204.988420924332,FALSE,FALSE,TRUE
"231135",30,15175.2,197.690969476514,FALSE,FALSE,TRUE
"231040",23,11716.2,196.309383588536,FALSE,FALSE,TRUE
"230900",28,14424.6,194.112835017955,FALSE,FALSE,TRUE
"230655",78,41144.2,189.577145745937,FALSE,FALSE,TRUE
"230060",14,7468.6,187.451463460354,FALSE,FALSE,TRUE
"231025",59,32440.2,181.873108057287,FALSE,FALSE,TRUE
"230990",11,6267,175.522578586245,FALSE,FALSE,TRUE
"231350",93,55179.6,168.540547593676,FALSE,FALSE,TRUE
"230205",24,14913.6,160.926939169617,FALSE,FALSE,TRUE
"231370",12,7693.2,155.981906098893,FALSE,FALSE,TRUE
"230495",40,26159.8,152.906367785686,FALSE,FALSE,TRUE
"231400",60,40436.4,148.381161527732,FALSE,FALSE,TRUE
"230950",29,21385.2,135.607803527673,FALSE,FALSE,TRUE
"231126",27,20882.2,129.296721609792,FALSE,FALSE,TRUE
"230690",44,34584.6,127.224255882676,FALSE,FALSE,TRUE
"230380",32,25184,127.064803049555,FALSE,FALSE,TRUE
"230426",12,9531.6,125.897016240715,FALSE,FALSE,TRUE
"231195",19,16345.8,116.237810324365,FALSE,FALSE,TRUE
"230020",71,62064.4,114.397303446098,FALSE,FALSE,TRUE
"230490",12,10986.8,109.221975461463,FALSE,FALSE,TRUE
"230720",8,7898.8,101.281207271991,FALSE,FALSE,TRUE
"230430",19,18940.4,100.314671284661,FALSE,FALSE,TRUE
"230890",22,22216.4,99.025944797537,FALSE,FALSE,FALSE
"230600",14,14163.6,98.8449264311333,FALSE,FALSE,FALSE
"230725",19,19412.6,97.8745763061105,FALSE,FALSE,FALSE
"230880",7,8629.6,81.1161583387411,FALSE,FALSE,FALSE
"230150",6,7799.6,76.9270218985589,FALSE,FALSE,FALSE
"231410",44,59936.6,73.4109041887595,FALSE,FALSE,FALSE
"230730",196,270157.2,72.5503521653319,FALSE,FALSE,FALSE
"231310",22,30504.4,72.1207432370412,FALSE,FALSE,FALSE
"230230",23,32381.6,71.0279912048818,FALSE,FALSE,FALSE
"230750",22,31433.8,69.9883564825125,FALSE,FALSE,FALSE
"230425",16,24090.2,66.4170492565441,FALSE,FALSE,FALSE
"231123",4,6366,62.8338045868677,FALSE,FALSE,FALSE
"230075",24,42818,56.0511934233266,FALSE,FALSE,FALSE
"231095",6,10798.4,55.5637872277374,FALSE,FALSE,FALSE
