week_start,variable,q025,q25,median,q75,q975
2015-01-04,posterior_predictive_cases,0,0,0,0,1
2015-01-11,posterior_predictive_cases,0,0,0,0,1
2015-01-18,posterior_predictive_cases,0,0,0,0,1
2015-01-25,posterior_predictive_cases,0,0,0,0,2
2015-02-01,posterior_predictive_cases,0,0,0,1,2
2015-02-08,posterior_predictive_cases,0,0,0,1,3
2015-02-15,posterior_predictive_cases,0,0,0,1,3
2015-02-22,posterior_predictive_cases,0,0,1,1,4
2015-03-01,posterior_predictive_cases,0,0,1,2,5
2015-03-08,posterior_predictive_cases,0,0,1,2,5
2015-03-15,posterior_predictive_cases,0,0,1,2,6
2015-03-22,posterior_predictive_cases,0,0,1,3,7
2015-03-29,posterior_predictive_cases,0,1,2,3,8
2015-04-05,posterior_predictive_cases,0,1,2,4,9
2015-04-12,posterior_predictive_cases,0,1,2,5,11
2015-04-19,posterior_predictive_cases,0,1,3,5,12
2015-04-26,posterior_predictive_cases,0,1,3,6,14
2015-05-03,posterior_predictive_cases,0,2,3,6,15
2015-05-10,posterior_predictive_cases,0,2,4,6,15
2015-05-17,posterior_predictive_cases,0,2,4,7,15
2015-05-24,posterior_predictive_cases,0,2,4,7,16
2015-05-31,posterior_predictive_cases,0,2,4,7,16
2015-06-07,posterior_predictive_cases,0,2,4,7,16
2015-06-14,posterior_predictive_cases,0,2,4,7,15
2015-06-21,posterior_predictive_cases,0,2,3,6,15
2015-06-28,posterior_predictive_cases,0,1,3,6,14
2015-07-05,posterior_predictive_cases,0,1,3,6,13
2015-07-12,posterior_predictive_cases,0,1,3,5,12
2015-07-19,posterior_predictive_cases,0,1,3,5,11
2015-07-26,posterior_predictive_cases,0,1,2,4,10
2015-08-02,posterior_predictive_cases,0,1,2,4,9
2015-08-09,posterior_predictive_cases,0,1,2,3.25,9
2015-08-16,posterior_predictive_cases,0,1,2,3,8
2015-08-23,posterior_predictive_cases,0,0,1,3,8
2015-08-30,posterior_predictive_cases,0,0,1,3,7
2015-09-06,posterior_predictive_cases,0,0,1,2,6
2015-09-13,posterior_predictive_cases,0,0,1,2,6
2015-09-20,posterior_predictive_cases,0,0,1,2,6
2015-09-27,posterior_predictive_cases,0,0,1,2,5
2015-10-04,posterior_predictive_cases,0,0,1,2,6
2015-10-11,posterior_predictive_cases,0,0,1,2,5
2015-10-18,posterior_predictive_cases,0,0,1,2,5
2015-10-25,posterior_predictive_cases,0,0,1,2,5
2015-11-01,posterior_predictive_cases,0,0,1,2,6
2015-11-08,posterior_predictive_cases,0,0,1,2,6
2015-11-15,posterior_predictive_cases,0,0,1,2,6
2015-11-22,posterior_predictive_cases,0,0,1,3,7
2015-11-29,posterior_predictive_cases,0,0,1,3,7
2015-12-06,posterior_predictive_cases,0,0,2,3,8
2015-12-13,posterior_predictive_cases,0,1,2,4,9
2015-12-20,posterior_predictive_cases,0,1,2,4,10
2015-12-27,posterior_predictive_cases,0,1,3,5,12
2016-01-03,posterior_predictive_cases,0,2,4,7,17
2016-01-10,posterior_predictive_cases,0,2,5,9,21
2016-01-17,posterior_predictive_cases,0,3,7,12,28
2016-01-24,posterior_predictive_cases,0,5,9,16,35
2016-01-31,posterior_predictive_cases,1,6,12,21,49
2016-02-07,posterior_predictive_cases,1,9,17,28,64
2016-02-14,posterior_predictive_cases,2,12,22,38,84
2016-02-21,posterior_predictive_cases,3,17,31,52,114
2016-02-28,posterior_predictive_cases,4,23,42,70,153
2016-03-06,posterior_predictive_cases,6,30,54,90,201
2016-03-13,posterior_predictive_cases,8,40,73,122,261.0250000000001
2016-03-20,posterior_predictive_cases,13,50,96,159,360
2016-03-27,posterior_predictive_cases,15,69,125,209,447
2016-04-03,posterior_predictive_cases,20,90,159,265,602.0500000000002
2016-04-10,posterior_predictive_cases,24,111,193,320,688.0250000000001
2016-04-17,posterior_predictive_cases,29,133,236,391,871.0250000000001
2016-04-24,posterior_predictive_cases,40,164,288,474,1020
2016-05-01,posterior_predictive_cases,39,186,338,548,1179.1500000000005
2016-05-08,posterior_predictive_cases,42,209.75,377,626,1352.1250000000005
2016-05-15,posterior_predictive_cases,51,236,433,710,1554.1000000000004
2016-05-22,posterior_predictive_cases,63.97500000000001,273,481,805,1674.2250000000008
2016-05-29,posterior_predictive_cases,69,295,530,872,1900.1250000000005
2016-06-05,posterior_predictive_cases,70.97500000000001,283,529,867.25,1949.1000000000004
2016-06-12,posterior_predictive_cases,77.95000000000002,325.75,562.5,914.5,2064
2016-06-19,posterior_predictive_cases,69.97500000000001,327.75,598,976.25,2099.1750000000006
2016-06-26,posterior_predictive_cases,73.97500000000001,319.75,561,937,2033.0750000000003
2016-07-03,posterior_predictive_cases,67,313,580,940,2032.250000000001
2016-07-10,posterior_predictive_cases,64.97500000000001,309.75,560,926.25,1990.025
2016-07-17,posterior_predictive_cases,70,311,559,913.25,1852.025
