year,observed_cases,expected_cases_q025,expected_cases_median,expected_cases_q975,infections_q025,infections_median,infections_q975,S_start_median,S_end_median,annual_attack_median
2015,25,97.33234638279919,122.37878048117409,152.4274965070055,973.3234633079917,1223.7878042917407,1524.2749645500548,1,0.9998661552347321,1.3926652373518386e-4
2016,30862,21605.92606767077,26445.761903074665,32602.499361008002,216059.2606761877,264457.6190302266,326024.99360956,0.9998621981285458,0.972617482818628,0.029898585990027246
2017,107421,87451.59312303204,111805.66694319487,150519.7523802381,874515.9312297903,1118056.6694314186,1505197.5238018509,0.9702192243281065,0.8461156696942636,0.12564014595091133
2018,1454,2211.0202311302573,2717.1834031067538,3309.7840508645095,22110.202310782573,27171.834030547536,33097.84050812509,0.8461309272389048,0.845418345428741,0.0030354559305286145
2019,1202,1160.5116322506206,1386.456990047689,1671.9007715279581,11605.116321986206,13864.569899956889,16719.00771475958,0.8454497785634453,0.8460646161325327,0.0015392797227389793
2020,1013,968.3242647705551,1160.997144726028,1425.1884620419767,9683.24264718555,11609.971446740281,14251.884619899765,0.8460921107956187,0.8467908406948343,0.0012810284730783658
2021,1318,4128.3783866879985,5023.56149706973,6217.577742254535,41283.78386635998,50235.6149701773,62175.77742202535,0.8468197975353329,0.843457587085944,0.0055145713600938916
2022,50986,20994.614677023033,24562.83923031968,29213.660219253652,209946.14676971035,245628.3923026768,292136.6021920165,0.8433287639527336,0.8186090146662964,0.026855003745844194
2023,2017,4285.935588150696,5312.857685620778,6736.292549799798,42859.35588097697,53128.57685567778,67362.92549746798,0.8185608902813506,0.8148735398343527,0.005787456894217825
2024,890,675.5882700447559,811.4949017108646,978.2744814013988,6755.882699927558,8114.9490165886455,9782.74481349399,0.8149068765740741,0.8160851134482965,8.805406144955495e-4
2025,679,674.335035842132,826.8360646237827,1018.3445186045141,6743.3503579113185,8268.360645727826,10183.445185535144,0.8161155571532003,0.8172662396087238,8.937052245739119e-4
