variable,rhat,ess_bulk,ess_tail
z_year[6],1.008971804530459,487.7724400909154,731.24404553595
z_year[3],1.0089577050558416,485.38157947629304,722.4730536553241
z_year[10],1.0083653836965392,491.590659314878,708.0438437177069
z_year[8],1.008304497534942,488.5149623744383,700.5065342153144
z_year[5],1.0079693220260617,482.80556392834734,752.6380842820466
z_year[7],1.0079397949392177,483.1404307237354,712.493372967563
z_year[9],1.0078956572827056,484.83052466144267,722.0749344914294
z_year[1],1.0078296347910172,495.45006382811624,690.478110286928
z_year[2],1.0077543701991782,480.8251104989475,743.551450960857
z_year[4],1.0075584426107758,487.1813437565215,744.4665579066531
z_year[11],1.007065853174516,487.4867781264142,734.5395992797041
beta_sin,1.0023436697081918,2539.999403104399,2000.5423219432564
phi_obs,1.001312177584421,2784.73526174343,2465.8704525710514
alpha_R,1.0011425774353575,1959.2507017445269,1454.5409048314466
beta_cos,1.0004783278576301,2480.060832286086,1898.5691693324115
