week_start,variable,q025,q25,median,q75,q975
2015-01-04,posterior_predictive_cases,0,0,0,0,1
2015-01-11,posterior_predictive_cases,0,0,0,0,1
2015-01-18,posterior_predictive_cases,0,0,0,0,1
2015-01-25,posterior_predictive_cases,0,0,0,0,2
2015-02-01,posterior_predictive_cases,0,0,0,1,2
2015-02-08,posterior_predictive_cases,0,0,0,1,3
2015-02-15,posterior_predictive_cases,0,0,0,1,3
2015-02-22,posterior_predictive_cases,0,0,1,1,4
2015-03-01,posterior_predictive_cases,0,0,1,2,4
2015-03-08,posterior_predictive_cases,0,0,1,2,5
2015-03-15,posterior_predictive_cases,0,0,1,2,6
2015-03-22,posterior_predictive_cases,0,1,2,3,7
2015-03-29,posterior_predictive_cases,0,1,2,3,8
2015-04-05,posterior_predictive_cases,0,1,2,4,9
2015-04-12,posterior_predictive_cases,0,1,2,5,11
2015-04-19,posterior_predictive_cases,0,1,3,5,12
2015-04-26,posterior_predictive_cases,0,1,3,6,14
2015-05-03,posterior_predictive_cases,0,2,3,6,14
2015-05-10,posterior_predictive_cases,0,2,4,7,15
2015-05-17,posterior_predictive_cases,0,2,4,7,15.025000000000091
2015-05-24,posterior_predictive_cases,0,2,4,7,16
2015-05-31,posterior_predictive_cases,0,2,4,7,17
2015-06-07,posterior_predictive_cases,0,2,4,7,16
2015-06-14,posterior_predictive_cases,0,2,4,7,15
2015-06-21,posterior_predictive_cases,0,1,3,6,14
2015-06-28,posterior_predictive_cases,0,1,3,6,13
2015-07-05,posterior_predictive_cases,0,1,3,6,13
2015-07-12,posterior_predictive_cases,0,1,3,5,12
2015-07-19,posterior_predictive_cases,0,1,2,5,11
2015-07-26,posterior_predictive_cases,0,1,2,4,10
2015-08-02,posterior_predictive_cases,0,1,2,4,10
2015-08-09,posterior_predictive_cases,0,1,2,3,9
2015-08-16,posterior_predictive_cases,0,1,2,3,8
2015-08-23,posterior_predictive_cases,0,0,1,3,7
2015-08-30,posterior_predictive_cases,0,0,1,3,7
2015-09-06,posterior_predictive_cases,0,0,1,3,7
2015-09-13,posterior_predictive_cases,0,0,1,2,6
2015-09-20,posterior_predictive_cases,0,0,1,2,6
2015-09-27,posterior_predictive_cases,0,0,1,2,6
2015-10-04,posterior_predictive_cases,0,0,1,2,5
2015-10-11,posterior_predictive_cases,0,0,1,2,5
2015-10-18,posterior_predictive_cases,0,0,1,2,5
2015-10-25,posterior_predictive_cases,0,0,1,2,6
2015-11-01,posterior_predictive_cases,0,0,1,2,6
2015-11-08,posterior_predictive_cases,0,0,1,2,6
2015-11-15,posterior_predictive_cases,0,0,1,2,6
2015-11-22,posterior_predictive_cases,0,0,1,3,7
2015-11-29,posterior_predictive_cases,0,0,1,3,7
2015-12-06,posterior_predictive_cases,0,1,2,3,8
2015-12-13,posterior_predictive_cases,0,1,2,4,9
2015-12-20,posterior_predictive_cases,0,1,2,4,10
2015-12-27,posterior_predictive_cases,0,1,3,5,12
2016-01-03,posterior_predictive_cases,0,2,4,7,17
2016-01-10,posterior_predictive_cases,0,2,5,9,21
2016-01-17,posterior_predictive_cases,0,3,7,12,28
2016-01-24,posterior_predictive_cases,0,5,9,16,34
2016-01-31,posterior_predictive_cases,1,6,12,22,46
2016-02-07,posterior_predictive_cases,1,9,17,29,64
2016-02-14,posterior_predictive_cases,2,12,23,38.25,85
2016-02-21,posterior_predictive_cases,3,17,32,53,115
2016-02-28,posterior_predictive_cases,5,22,42,71,154
2016-03-06,posterior_predictive_cases,6,31,58,93,208.0250000000001
2016-03-13,posterior_predictive_cases,9,41,76,124,265
2016-03-20,posterior_predictive_cases,13,54,98,160,342
2016-03-27,posterior_predictive_cases,15,68,124,203,454.0250000000001
2016-04-03,posterior_predictive_cases,19,87,165,266,549
2016-04-10,posterior_predictive_cases,23,108,193,325,705.0250000000001
2016-04-17,posterior_predictive_cases,30.97500000000001,138,240,391.25,789.1000000000004
2016-04-24,posterior_predictive_cases,30,160,289,474,1022
2016-05-01,posterior_predictive_cases,40,185.75,335,551.25,1178.1500000000005
2016-05-08,posterior_predictive_cases,51,213,391,645.25,1369.1250000000005
2016-05-15,posterior_predictive_cases,52,238.75,433,725.25,1505.025
2016-05-22,posterior_predictive_cases,66,275,485,806,1719
2016-05-29,posterior_predictive_cases,65,292,527,858,1884.025
2016-06-05,posterior_predictive_cases,66,299,536,876,1821.300000000001
2016-06-12,posterior_predictive_cases,63,313,562,926,2001.1500000000005
2016-06-19,posterior_predictive_cases,73,329,589,959.25,1974.250000000001
2016-06-26,posterior_predictive_cases,77.97500000000001,325.5,581.5,945.25,2062.0750000000003
2016-07-03,posterior_predictive_cases,66.95000000000002,308.75,570,925,2050.025
2016-07-10,posterior_predictive_cases,71,324,569,940,1943.3500000000013
2016-07-17,posterior_predictive_cases,67,303,545,899,1862.2000000000007
