year,observed_cases,expected_cases_q025,expected_cases_median,expected_cases_q975,infections_median
2015,25,91.02014625452546,125.50180669885546,233.8855687688883,987.6001239633729
2016,30862,18491.59014338165,26864.59559008414,38140.16664202488,211403.15541112082
2017,107421,89540.27263503743,118803.66630533108,679161.3400936193,934891.0482264808
2018,1454,2270.658477868257,2896.637870747917,461351.67222650157,22794.25290048576
2019,1202,1168.6884092995633,1458.971140602066,140773.33946201208,11480.950894361737
2020,1013,995.4139031409588,1239.1070306033305,2811.621780078978,9750.793950080897
2021,1318,1222.46690400237,4903.875573813313,6250.782365483895,38589.62873877462
2022,50986,18872.266737208083,23568.37059746517,28342.57717259964,185464.46736910904
2023,2017,1581.3361267581072,5093.396304868364,6699.742402272967,40081.007249438466
2024,890,654.5475523563082,814.4017412056578,1043.974145703,6408.6986634585755
2025,679,684.7160258409025,874.9397662175713,50335.78649157494,6885.085120392096
