year,observed_cases,expected_cases_q025,expected_cases_median,expected_cases_q975
2015,25,153.5543441788305,184.95385886782753,227.33074688163825
2016,30862,15221.280292872709,17380.521061499036,19524.51624181302
2017,107421,70312.22579978514,82686.00253765161,97767.29216038492
2018,1454,1618.4226899525029,1864.9463085763862,2178.222179399472
2019,1202,1043.9410615080392,1201.2588910829413,1393.762799401513
2020,1013,857.4514186032538,998.9403472677325,1165.9285734440255
2021,1318,1742.468183861166,2053.376783189105,2451.5247782273786
2022,50986,71153.795222273955,86818.01391859484,104883.42265301858
2023,2017,1942.681628501297,2256.546474498931,2651.403572606766
2024,890,711.7918217517805,803.9753952808826,923.6713415837218
2025,679,568.0889457642738,674.5303957719898,800.3729413550078
