week_start,variable,q025,q25,median,q75,q975
2015-01-04,posterior_predictive_cases,0,0,0,0,1
2015-01-11,posterior_predictive_cases,0,0,0,0,1
2015-01-18,posterior_predictive_cases,0,0,0,0,1
2015-01-25,posterior_predictive_cases,0,0,0,0,1
2015-02-01,posterior_predictive_cases,0,0,0,0,1
2015-02-08,posterior_predictive_cases,0,0,0,0,1
2015-02-15,posterior_predictive_cases,0,0,0,0,2
2015-02-22,posterior_predictive_cases,0,0,0,0,2
2015-03-01,posterior_predictive_cases,0,0,0,1,2
2015-03-08,posterior_predictive_cases,0,0,0,1,2
2015-03-15,posterior_predictive_cases,0,0,0,1,3
2015-03-22,posterior_predictive_cases,0,0,0,1,3
2015-03-29,posterior_predictive_cases,0,0,1,2,4
2015-04-05,posterior_predictive_cases,0,0,1,2,4
2015-04-12,posterior_predictive_cases,0,0,1,2,5
2015-04-19,posterior_predictive_cases,0,0,1,3,6
2015-04-26,posterior_predictive_cases,0,1,2,3,7
2015-05-03,posterior_predictive_cases,0,1,2,3,7
2015-05-10,posterior_predictive_cases,0,1,2,4,8
2015-05-17,posterior_predictive_cases,0,1,2,4,9
2015-05-24,posterior_predictive_cases,0,1,3,4,8.024999999999977
2015-05-31,posterior_predictive_cases,0,1,3,5,10
2015-06-07,posterior_predictive_cases,0,1,3,5,10
2015-06-14,posterior_predictive_cases,0,1,3,5,12
2015-06-21,posterior_predictive_cases,0,1,3,5,10
2015-06-28,posterior_predictive_cases,0,2,3,5,11
2015-07-05,posterior_predictive_cases,0,2,3,5,11
2015-07-12,posterior_predictive_cases,0,1,3,5,10
2015-07-19,posterior_predictive_cases,0,2,3,5,11
2015-07-26,posterior_predictive_cases,0,2,3,5,11
2015-08-02,posterior_predictive_cases,0,2,3,5,10
2015-08-09,posterior_predictive_cases,0,1,3,5,12
2015-08-16,posterior_predictive_cases,0,1,3,5,10
2015-08-23,posterior_predictive_cases,0,1,3,5,10
2015-08-30,posterior_predictive_cases,0,1,3,5,10
2015-09-06,posterior_predictive_cases,0,1,3,5,10.024999999999977
2015-09-13,posterior_predictive_cases,0,1,3,5,10
2015-09-20,posterior_predictive_cases,0,1,3,5,11
2015-09-27,posterior_predictive_cases,0,1,3,5,11.024999999999977
2015-10-04,posterior_predictive_cases,0,1,3,5,11
2015-10-11,posterior_predictive_cases,0,2,3,5,11
2015-10-18,posterior_predictive_cases,0,2,4,6,12
2015-10-25,posterior_predictive_cases,0,2,4,6,12
2015-11-01,posterior_predictive_cases,0,2,4,7,15.024999999999977
2015-11-08,posterior_predictive_cases,0,2,5,7,14
2015-11-15,posterior_predictive_cases,0,3,5,8,18
2015-11-22,posterior_predictive_cases,0.9750000000000014,3,6,10,19
2015-11-29,posterior_predictive_cases,1,4,7,11,24
2015-12-06,posterior_predictive_cases,1,5,8,12,27
2015-12-13,posterior_predictive_cases,1,5.75,9,16,33
2015-12-20,posterior_predictive_cases,2,8,12,19,35.02499999999998
2015-12-27,posterior_predictive_cases,2,9,15,23,46.02499999999998
2016-01-03,posterior_predictive_cases,4,11,17,26,46
2016-01-10,posterior_predictive_cases,5,13,23,34,57
2016-01-17,posterior_predictive_cases,4,16,27,40,71.04999999999995
2016-01-24,posterior_predictive_cases,7,20,33.5,51,98.02499999999998
2016-01-31,posterior_predictive_cases,8,26,41,62,106
2016-02-07,posterior_predictive_cases,10.975000000000001,32,51,77,146
2016-02-14,posterior_predictive_cases,14,41,63,91,208.04999999999995
2016-02-21,posterior_predictive_cases,18,51.75,78,118,223.02499999999998
2016-02-28,posterior_predictive_cases,22.950000000000003,66,101,143,240.02499999999998
2016-03-06,posterior_predictive_cases,23.925000000000004,76,122.5,186.25,348.17499999999984
2016-03-13,posterior_predictive_cases,33,93,145.5,222.25,410.17499999999984
2016-03-20,posterior_predictive_cases,39.925000000000004,115.75,184.5,261,455.14999999999986
2016-03-27,posterior_predictive_cases,54.975,137,217,315,576.05
2016-04-03,posterior_predictive_cases,57.925000000000004,160,236.5,370,684.1499999999999
2016-04-10,posterior_predictive_cases,56.975,176,278,410,758.1249999999999
2016-04-17,posterior_predictive_cases,63.95,203,319,469.5,884.5749999999995
2016-04-24,posterior_predictive_cases,80.94999999999999,243.75,367,534,1003.1749999999989
2016-05-01,posterior_predictive_cases,82.92500000000001,264,403,600.25,1100.4749999999995
2016-05-08,posterior_predictive_cases,100.775,300.75,471.5,664.75,1101.2999999999997
2016-05-15,posterior_predictive_cases,107.975,309.75,487.5,697.75,1401.4249999999995
2016-05-22,posterior_predictive_cases,117.975,312,507,722.5,1329.6749999999984
2016-05-29,posterior_predictive_cases,132.9,332,526,741.25,1408.8999999999992
2016-06-05,posterior_predictive_cases,102.97500000000001,318,494,769.5,1394.4749999999995
2016-06-12,posterior_predictive_cases,108.925,335.75,520,762,1398.0749999999998
