week_start,week_of_year,t,year,cases,population
2015-01-04,1,2,2015,0,6476631
2015-01-11,2,3,2015,0,6476631
2015-01-18,3,4,2015,0,6476631
2015-01-25,4,5,2015,0,6476631
2015-02-01,5,6,2015,0,6476631
2015-02-08,6,7,2015,0,6476631
2015-02-15,7,8,2015,0,6476631
2015-02-22,8,9,2015,0,6476631
2015-03-01,9,10,2015,0,6476631
2015-03-08,10,11,2015,0,6476631
2015-03-15,11,12,2015,0,6476631
2015-03-22,12,13,2015,0,6476631
2015-03-29,13,14,2015,0,6476631
2015-04-05,14,15,2015,0,6476631
2015-04-12,15,16,2015,0,6476631
2015-04-19,16,17,2015,0,6476631
2015-04-26,17,18,2015,0,6476631
2015-05-03,18,19,2015,0,6476631
2015-05-10,19,20,2015,0,6476631
2015-05-17,20,21,2015,0,6476631
2015-05-24,21,22,2015,0,6476631
2015-05-31,22,23,2015,0,6476631
2015-06-07,23,24,2015,0,6476631
2015-06-14,24,25,2015,0,6476631
2015-06-21,25,26,2015,0,6476631
2015-06-28,26,27,2015,0,6476631
2015-07-05,27,28,2015,0,6476631
2015-07-12,28,29,2015,0,6476631
2015-07-19,29,30,2015,0,6476631
2015-07-26,30,31,2015,0,6476631
2015-08-02,31,32,2015,0,6476631
2015-08-09,32,33,2015,0,6476631
2015-08-16,33,34,2015,0,6476631
2015-08-23,34,35,2015,0,6476631
2015-08-30,35,36,2015,0,6476631
2015-09-06,36,37,2015,0,6476631
2015-09-13,37,38,2015,0,6476631
2015-09-20,38,39,2015,0,6476631
2015-09-27,39,40,2015,0,6476631
2015-10-04,40,41,2015,0,6476631
2015-10-11,41,42,2015,0,6476631
2015-10-18,42,43,2015,0,6476631
2015-10-25,43,44,2015,0,6476631
2015-11-01,44,45,2015,0,6476631
2015-11-08,45,46,2015,0,6476631
2015-11-15,46,47,2015,0,6476631
2015-11-22,47,48,2015,0,6476631
2015-11-29,48,49,2015,0,6476631
2015-12-06,49,50,2015,0,6476631
2015-12-13,50,51,2015,1,6476631
2015-12-20,51,52,2015,0,6476631
2015-12-27,52,53,2015,1,6476631
2016-01-03,53,54,2016,1,6498837
2016-01-10,1,55,2016,1,6498837
2016-01-17,2,56,2016,0,6498837
2016-01-24,3,57,2016,0,6498837
2016-01-31,4,58,2016,3,6498837
2016-02-07,5,59,2016,2,6498837
2016-02-14,6,60,2016,3,6498837
2016-02-21,7,61,2016,2,6498837
2016-02-28,8,62,2016,1,6498837
2016-03-06,9,63,2016,1,6498837
2016-03-13,10,64,2016,3,6498837
2016-03-20,11,65,2016,4,6498837
2016-03-27,12,66,2016,7,6498837
2016-04-03,13,67,2016,5,6498837
2016-04-10,14,68,2016,10,6498837
2016-04-17,15,69,2016,6,6498837
2016-04-24,16,70,2016,14,6498837
2016-05-01,17,71,2016,12,6498837
2016-05-08,18,72,2016,18,6498837
2016-05-15,19,73,2016,8,6498837
2016-05-22,20,74,2016,8,6498837
