current_path,file_type,scientific_pipeline,scientific_stage,artifact_class,producer_script,consumer_scripts,current_or_legacy,proposed_path,action,notes
"02_Script/stan/annual_foi_shape_v2_M1v2_NB_s0_75.rds","R data (.rds)","07_national_pipeline","","fitted_model","","","current","03_Output/07_national_pipeline/model_fits/annual_foi_shape_v2/annual_foi_shape_v2_M1v2_NB_s0_75.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/annual_foi_shape_v2_M1v2_SHAPE_foisd1_5.rds","R data (.rds)","07_national_pipeline","","fitted_model","","","current","03_Output/07_national_pipeline/model_fits/annual_foi_shape_v2/annual_foi_shape_v2_M1v2_SHAPE_foisd1_5.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/annual_foi_shape_v2_M1v2_SHAPE_foisd2.rds","R data (.rds)","07_national_pipeline","","fitted_model","","","current","03_Output/07_national_pipeline/model_fits/annual_foi_shape_v2/annual_foi_shape_v2_M1v2_SHAPE_foisd2.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/annual_foi_shape_v2_M1v2_SHAPE_s0_5.rds","R data (.rds)","07_national_pipeline","","fitted_model","","","current","03_Output/07_national_pipeline/model_fits/annual_foi_shape_v2/annual_foi_shape_v2_M1v2_SHAPE_s0_5.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/annual_foi_shape_v2_M1v2_SHAPE_s0_75.rds","R data (.rds)","07_national_pipeline","","fitted_model","","","current","03_Output/07_national_pipeline/model_fits/annual_foi_shape_v2/annual_foi_shape_v2_M1v2_SHAPE_s0_75.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/annual_foi_shape_v2_M1v2_SHAPE_s1_0.rds","R data (.rds)","07_national_pipeline","","fitted_model","","","current","03_Output/07_national_pipeline/model_fits/annual_foi_shape_v2/annual_foi_shape_v2_M1v2_SHAPE_s1_0.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/ceara_episode_susceptibility_ce_wave_01_refit.rds","R data (.rds)","07_national_pipeline","","fitted_model","","","current","03_Output/07_national_pipeline/model_fits/episode_susceptibility/ceara_episode_susceptibility_ce_wave_01_refit.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/ceara_episode_susceptibility_periods.rds","R data (.rds)","01_data_pipeline (input)","","processed_input","","","current","01_Data/processed/model_inputs/ceara_episode_susceptibility_periods.rds","moved",""
"02_Script/stan/ceara_episode_susceptibility_pilot_v1_fit.rds","R data (.rds)","07_national_pipeline","","fitted_model","","","current","03_Output/07_national_pipeline/model_fits/episode_susceptibility/ceara_episode_susceptibility_pilot_v1_fit.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/ceara_weekly.rds","R data (.rds)","90_development_archive","","legacy","","","legacy","02_Script/90_development_archive/08_old_stan_models/ceara_weekly.rds","moved",""
"02_Script/stan/ceara_weekly.stan","Stan source","90_development_archive","","source_Stan","","","legacy","02_Script/90_development_archive/08_old_stan_models/ceara_weekly.stan","moved","No live pipeline references this file; see MODEL_REGISTRY.md"
"02_Script/stan/ceara_weekly_v12.rds","R data (.rds)","90_development_archive","","legacy","","","legacy","02_Script/90_development_archive/08_old_stan_models/ceara_weekly_v12.rds","moved",""
"02_Script/stan/ceara_weekly_v12.stan","Stan source","90_development_archive","","source_Stan","","","legacy","02_Script/90_development_archive/08_old_stan_models/ceara_weekly_v12.stan","moved","No live pipeline references this file; see MODEL_REGISTRY.md"
"02_Script/stan/ceara_weekly_v12d.stan","Stan source","90_development_archive","","source_Stan","","","legacy","02_Script/90_development_archive/08_old_stan_models/ceara_weekly_v12d.stan","moved","No live pipeline references this file; see MODEL_REGISTRY.md"
"02_Script/stan/ceara_weekly_v12e.rds","R data (.rds)","90_development_archive","","legacy","","","legacy","02_Script/90_development_archive/08_old_stan_models/ceara_weekly_v12e.rds","moved",""
"02_Script/stan/ceara_weekly_v12e.stan","Stan source","90_development_archive","","source_Stan","","","legacy","02_Script/90_development_archive/08_old_stan_models/ceara_weekly_v12e.stan","moved","No live pipeline references this file; see MODEL_REGISTRY.md"
"02_Script/stan/ceara_weekly_v12f.rds","R data (.rds)","90_development_archive","","legacy","","","legacy","02_Script/90_development_archive/08_old_stan_models/ceara_weekly_v12f.rds","moved",""
"02_Script/stan/ceara_weekly_v12f.stan","Stan source","90_development_archive","","source_Stan","","","legacy","02_Script/90_development_archive/08_old_stan_models/ceara_weekly_v12f.stan","moved","No live pipeline references this file; see MODEL_REGISTRY.md"
"02_Script/stan/ceara_weekly_v12f_demography.rds","R data (.rds)","90_development_archive","","legacy","","","legacy","02_Script/90_development_archive/08_old_stan_models/ceara_weekly_v12f_demography.rds","moved",""
"02_Script/stan/ceara_weekly_v12f_demography.stan","Stan source","90_development_archive","","source_Stan","","","legacy","02_Script/90_development_archive/08_old_stan_models/ceara_weekly_v12f_demography.stan","moved","No live pipeline references this file; see MODEL_REGISTRY.md"
"02_Script/stan/ceara_weekly_v13.rds","R data (.rds)","90_development_archive","","legacy","","","legacy","02_Script/90_development_archive/08_old_stan_models/ceara_weekly_v13.rds","moved",""
"02_Script/stan/ceara_weekly_v13.stan","Stan source","90_development_archive","","source_Stan","","","legacy","02_Script/90_development_archive/08_old_stan_models/ceara_weekly_v13.stan","moved","No live pipeline references this file; see MODEL_REGISTRY.md"
"02_Script/stan/ceara_weekly_v6.rds","R data (.rds)","90_development_archive","","legacy","","","legacy","02_Script/90_development_archive/08_old_stan_models/ceara_weekly_v6.rds","moved",""
"02_Script/stan/ceara_weekly_v6.stan","Stan source","90_development_archive","","source_Stan","","","legacy","02_Script/90_development_archive/08_old_stan_models/ceara_weekly_v6.stan","moved","No live pipeline references this file; see MODEL_REGISTRY.md"
"02_Script/stan/ceara_weekly_v8.rds","R data (.rds)","90_development_archive","","legacy","","","legacy","02_Script/90_development_archive/08_old_stan_models/ceara_weekly_v8.rds","moved",""
"02_Script/stan/ceara_weekly_v8.stan","Stan source","90_development_archive","","source_Stan","","","legacy","02_Script/90_development_archive/08_old_stan_models/ceara_weekly_v8.stan","moved","No live pipeline references this file; see MODEL_REGISTRY.md"
"02_Script/stan/ceara_weekly_v9.stan","Stan source","90_development_archive","","source_Stan","","","legacy","02_Script/90_development_archive/08_old_stan_models/ceara_weekly_v9.stan","moved","No live pipeline references this file; see MODEL_REGISTRY.md"
"02_Script/stan/chik_dynamic_annual_foi.rds","R data (.rds)","90_development_archive","","fitted_model","","","legacy","03_Output/90_development_archive/model_fits/dynamic_annual_foi/chik_dynamic_annual_foi.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/chik_dynamic_annual_foi.stan","Stan source","90_development_archive","","source_Stan","","","legacy","02_Script/90_development_archive/08_old_stan_models/chik_dynamic_annual_foi.stan","moved","No live pipeline references this file; see MODEL_REGISTRY.md"
"02_Script/stan/chik_dynamic_annual_foi_nb_v2.rds","R data (.rds)","07_national_pipeline","annual_foi_shape_v2","fitted_model","","11_annual_foi_shape_v2/02_fit_annual_foi_shape_v2.R","current","03_Output/07_national_pipeline/model_fits/annual_foi_shape_v2/chik_dynamic_annual_foi_nb_v2.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/chik_dynamic_annual_foi_nb_v2.stan","Stan source","07_national_pipeline","annual_foi_shape_v2","source_Stan","","11_annual_foi_shape_v2/02_fit_annual_foi_shape_v2.R","current","02_Script/00_shared/stan/current/national/chik_dynamic_annual_foi_nb_v2.stan","moved","See MODEL_REGISTRY.md for full status/consumer detail"
"02_Script/stan/chik_dynamic_annual_foi_shape_v2.rds","R data (.rds)","07_national_pipeline","annual_foi_shape_v2 / national_wave_analysis","fitted_model","","06_national_wave_analysis/02_fit_brazil_annual_shape_susceptibility.R;11_annual_foi_shape_v2/*.R","current","03_Output/07_national_pipeline/model_fits/annual_foi_shape_v2/chik_dynamic_annual_foi_shape_v2.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/chik_dynamic_annual_foi_shape_v2.stan","Stan source","07_national_pipeline","annual_foi_shape_v2 / national_wave_analysis","source_Stan","","06_national_wave_analysis/02_fit_brazil_annual_shape_susceptibility.R;11_annual_foi_shape_v2/*.R","current","02_Script/00_shared/stan/current/national/chik_dynamic_annual_foi_shape_v2.stan","moved","See MODEL_REGISTRY.md for full status/consumer detail"
"02_Script/stan/dynamic_annual_foi_ceara_M0_Q1.rds","R data (.rds)","90_development_archive","","fitted_model","","","legacy","03_Output/90_development_archive/model_fits/dynamic_annual_foi/dynamic_annual_foi_ceara_M0_Q1.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/dynamic_annual_foi_ceara_M1_Q1.rds","R data (.rds)","90_development_archive","","fitted_model","","","legacy","03_Output/90_development_archive/model_fits/dynamic_annual_foi/dynamic_annual_foi_ceara_M1_Q1.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/dynamic_annual_foi_ceara_M1_Q1_foi_sd1_5.rds","R data (.rds)","90_development_archive","","fitted_model","","","legacy","03_Output/90_development_archive/model_fits/dynamic_annual_foi/dynamic_annual_foi_ceara_M1_Q1_foi_sd1_5.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/dynamic_annual_foi_ceara_M1_Q1_foi_sd2.rds","R data (.rds)","90_development_archive","","fitted_model","","","legacy","03_Output/90_development_archive/model_fits/dynamic_annual_foi/dynamic_annual_foi_ceara_M1_Q1_foi_sd2.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/dynamic_annual_foi_ceara_M1_Q2.rds","R data (.rds)","90_development_archive","","fitted_model","","","legacy","03_Output/90_development_archive/model_fits/dynamic_annual_foi/dynamic_annual_foi_ceara_M1_Q2.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/dynamic_annual_foi_ceara_M1_Q3.rds","R data (.rds)","90_development_archive","","fitted_model","","","legacy","03_Output/90_development_archive/model_fits/dynamic_annual_foi/dynamic_annual_foi_ceara_M1_Q3.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/episode_sequential_susceptibility.rds","R data (.rds)","07_national_pipeline","episode_susceptibility_reconstruction","fitted_model","","03_episode_susceptibility_reconstruction/02_fit_ceara_episode_susceptibility.R","current","03_Output/07_national_pipeline/model_fits/episode_susceptibility/episode_sequential_susceptibility.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/episode_sequential_susceptibility.stan","Stan source","07_national_pipeline","episode_susceptibility_reconstruction","source_Stan","","03_episode_susceptibility_reconstruction/02_fit_ceara_episode_susceptibility.R","current","02_Script/00_shared/stan/current/national/episode_sequential_susceptibility.stan","moved","See MODEL_REGISTRY.md for full status/consumer detail"
"02_Script/stan/national_wave_analysis/brazil_chik_annual_shape_fits.rds","R data (.rds)","07_national_pipeline","","fitted_model","","","current","03_Output/07_national_pipeline/model_fits/national_wave_analysis/brazil_chik_annual_shape_fits.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/national_wave_analysis/brazil_chik_major_wave_early_re_fits.rds","R data (.rds)","07_national_pipeline","","fitted_model","","","current","03_Output/07_national_pipeline/model_fits/national_wave_analysis/brazil_chik_major_wave_early_re_fits.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
